,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688518,联赢激光,16.03,1.84,0.29,-0.13,6.83,2.77,5.46,3.71亿,3.39亿,54.35亿,18.70
1,2,300489,光智科技,21.26,1.38,0.29,0.05,5.2,2.37,13.97,1.49亿,1.37亿,29.16亿,--
2,3,002008,大族激光,18.46,-1.39,-0.26,-0.05,0.74,1.55,3.15,1.35亿,9.79亿,180.78亿,23.03
3,4,300747,锐科激光,19.49,-1.86,-0.37,0.1,0.47,0.89,3.07,0.47亿,5.09亿,99.26亿,49.25
4,5,688559,海目星,31.01,-1.9,-0.6,-0.19,0.66,0.89,3.29,0.42亿,2.04亿,63.25亿,19.39
5,6,688167,炬光科技,75.01,-2.81,-2.17,0.23,1.21,0.94,3.56,0.62亿,0.69亿,51.59亿,75.58
6,7,300227,光韵达,6.51,-2.84,-0.19,0.0,1.6,0.81,3.28,0.44亿,4.18亿,27.20亿,43.98
7,8,000988,华工科技,31.64,-2.88,-0.94,0.0,2.87,0.73,4.24,9.18亿,10.05亿,317.98亿,31.60
8,9,688170,德龙激光,25.96,-3.1,-0.83,0.04,0.75,0.82,4.37,0.15亿,0.78亿,20.33亿,68.27
9,10,688025,杰普特,46.45,-3.29,-1.58,-0.26,0.89,0.8,3.62,0.40亿,0.95亿,44.12亿,40.90
10,11,688646,逸飞激光,33.71,-3.41,-1.19,-0.18,6.69,1.21,2.87,0.43亿,0.19亿,6.42亿,31.32
11,12,301021,英诺激光,17.4,-3.71,-0.67,-0.17,1.52,0.75,4.21,0.19亿,0.70亿,12.17亿,--
