,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002800,天顺股份,9.04,4.63,0.4,75150,68432307.52,10.3,9.5,8.61,8.61,8.64,5.31,86.99,2.66
1,2,600119,长江投资,6.41,2.72,0.17,211030,137193679.0,7.69,6.8,6.32,6.45,6.24,5.78,-77.71,12.25
2,3,603648,畅联股份,7.72,2.12,0.16,57107,43974964.0,3.84,7.88,7.59,7.66,7.56,1.58,17.48,1.45
3,4,872351,华光源海,5.46,1.68,0.09,2420,1306918.78,4.28,5.56,5.33,5.42,5.37,0.69,33.8,1.07
4,5,603066,音飞储存,9.28,1.42,0.13,43584,40150050.0,2.19,9.29,9.09,9.1,9.15,1.48,17.5,1.94
5,6,001202,炬申股份,10.88,1.3,0.14,6739,7262523.0,2.79,10.92,10.62,10.84,10.74,0.75,17.72,1.97
6,7,603813,原尚股份,9.1,1.22,0.11,10005,9054000.0,2.78,9.17,8.92,9.02,8.99,1.11,-25.26,1.54
7,8,002492,恒基达鑫,4.24,1.19,0.05,19568,8263250.34,2.86,4.28,4.16,4.19,4.19,0.49,22.04,1.03
8,9,002682,龙洲股份,3.47,1.17,0.04,95576,32852875.0,2.33,3.48,3.4,3.43,3.43,1.7,-28.68,1.32
9,10,300240,飞力达,5.67,0.89,0.05,154484,86639651.84,2.67,5.68,5.53,5.64,5.62,4.26,49.16,1.47
10,11,603569,长久物流,6.3,0.8,0.05,46097,28797492.0,2.24,6.31,6.17,6.3,6.25,0.76,36.16,1.33
11,12,002769,普路通,5.06,0.8,0.04,36380,18296628.0,2.59,5.09,4.96,5.03,5.02,1.09,-18.53,1.59
12,13,002889,东方嘉盛,16.32,0.74,0.12,120495,194977892.62,5.43,16.65,15.77,15.8,16.2,6.88,17.01,1.89
13,14,001317,三羊马,23.1,0.65,0.15,8577,19613745.0,2.22,23.15,22.64,22.9,22.95,2.92,90.08,2.28
14,15,000906,浙商中拓,4.76,0.63,0.03,62333,29433821.06,2.75,4.78,4.65,4.71,4.73,0.89,5.29,0.71
15,16,603967,中创物流,8.27,0.61,0.05,16997,13947078.0,1.95,8.28,8.12,8.26,8.22,0.49,10.82,1.28
16,17,603223,恒通股份,8.69,0.58,0.05,36429,31588975.0,0.81,8.69,8.62,8.66,8.64,0.66,43.37,1.67
17,18,603329,上海雅仕,10.85,0.56,0.06,25147,27422263.0,4.36,11.19,10.72,10.88,10.79,1.58,60.4,1.57
18,19,603836,海程邦达,11.09,0.54,0.06,5981,6581259.0,2.09,11.12,10.89,11.02,11.03,0.29,15.97,1.27
19,20,603871,嘉友国际,17.66,0.46,0.08,94712,167665731.0,2.96,17.99,17.47,17.58,17.58,0.97,11.36,3.23
20,21,605050,福然德,7.98,0.38,0.03,8087,6403627.0,1.64,7.99,7.86,7.94,7.95,0.16,16.74,0.96
21,22,603713,密尔克卫,43.22,0.28,0.12,7963,34201781.0,3.5,43.89,42.38,43.89,43.1,0.49,11.41,1.7
22,23,002352,顺丰控股,36.23,0.22,0.08,72434,261500747.32,1.19,36.33,35.9,36.17,36.15,0.15,18.15,1.97
23,24,600794,保税科技,2.93,0.0,0.0,73106,21353562.0,2.05,2.95,2.89,2.94,2.93,0.6,12.61,1.37
24,25,600179,安通控股,2.09,0.0,0.0,152062,31589543.0,2.39,2.11,2.06,2.1,2.09,0.41,28.62,0.86
25,26,300013,*ST新宁,2.49,0.0,0.0,169729,41785379.14,6.43,2.54,2.38,2.45,2.49,3.8,-32.81,-7.24
26,27,002120,韵达股份,7.33,0.0,0.0,200602,146376943.0,1.64,7.36,7.24,7.34,7.33,0.71,10.21,1.09
