,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600117,ST西钢,2.34,1.74,0.04,0.43,0.09,0.74,3.04,0.07亿,32.55亿,76.17亿,--
1,2,603995,甬金股份,19.2,1.27,0.24,0.0,0.72,1.02,1.64,0.51亿,3.66亿,70.20亿,14.37
2,3,002443,金洲管道,5.94,1.02,0.06,-0.17,1.09,0.71,1.53,0.33亿,5.19亿,30.85亿,15.73
3,4,002075,沙钢股份,4.27,0.71,0.03,0.0,0.8,0.56,1.89,0.75亿,21.94亿,93.68亿,55.15
4,5,600507,方大特钢,4.17,0.24,0.01,-0.24,0.45,0.79,0.96,0.43亿,23.13亿,96.46亿,26.01
5,6,600399,抚顺特钢,6.31,0.16,0.01,-0.16,1.29,1.01,2.38,1.61亿,19.72亿,124.44亿,27.16
6,7,002478,常宝股份,5.59,-0.36,-0.02,-0.18,0.99,0.82,0.89,0.39亿,7.12亿,39.81亿,7.59
7,8,000708,中信特钢,15.09,-0.59,-0.09,-0.33,0.53,3.09,1.78,4.05亿,50.47亿,761.62亿,14.00
8,9,002318,久立特材,24.17,-0.66,-0.16,0.17,0.41,0.91,2.59,0.96亿,9.54亿,230.65亿,17.99
9,10,000825,太钢不锈,3.78,-1.31,-0.05,-0.26,0.44,1.08,1.57,0.96亿,56.96亿,215.32亿,1612.18
10,11,688186,广大特材,12.2,-2.09,-0.26,-0.08,1.19,1.2,2.33,0.31亿,2.14亿,26.14亿,139.82
11,12,603191,望变电气,15.68,-2.37,-0.38,0.0,5.52,0.89,3.98,1.62亿,1.87亿,29.28亿,55.02
12,13,300881,盛德鑫泰,26.41,-4.52,-1.25,-0.08,6.63,1.06,5.21,1.02亿,0.57亿,15.16亿,14.59
