,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600176,中国巨石,13.07,3.32,0.42,0.0,1.2,0.95,3.79,6.20亿,40.03亿,523.21亿,37.34
1,2,002080,中材科技,16.79,1.21,0.2,0.0,1.26,0.91,2.95,3.53亿,16.78亿,281.76亿,32.58
2,3,000012,南玻A,5.7,0.35,0.02,-0.18,0.72,0.89,1.58,0.81亿,19.59亿,111.68亿,13.45
3,4,605006,山东玻纤,5.83,0.34,0.02,0.0,0.45,0.76,2.93,0.16亿,6.00亿,34.98亿,--
4,5,601636,旗滨集团,7.89,0.25,0.02,-0.13,0.78,0.57,1.91,1.63亿,26.84亿,211.73亿,11.98
5,6,600819,耀皮玻璃,4.91,0.2,0.01,-0.2,1.12,0.85,2.65,0.41亿,7.47亿,36.70亿,94.68
6,7,002613,北玻股份,4.05,0.0,0.0,-0.25,1.66,0.78,1.73,0.41亿,6.04亿,24.46亿,21.52
7,8,603256,宏和科技,7.22,-0.55,-0.04,0.0,0.33,0.56,2.07,0.21亿,8.80亿,63.52亿,--
8,9,600293,三峡新材,2.94,-0.68,-0.02,0.0,1.09,0.91,1.69,0.37亿,11.60亿,34.11亿,31.38
9,10,300196,长海股份,12.13,-0.98,-0.12,0.25,1.79,0.7,3.27,0.54亿,2.46亿,29.88亿,24.40
10,11,002201,正威新材,5.84,-1.18,-0.07,-0.17,1.0,0.69,2.37,0.38亿,6.50亿,37.97亿,107.02
11,12,301526,国际复材,4.13,-1.43,-0.06,-0.24,4.66,0.8,2.39,1.05亿,5.46亿,22.55亿,--
12,13,603601,再升科技,3.31,-1.49,-0.05,0.0,1.84,0.99,2.68,0.63亿,10.22亿,33.82亿,26.12
