,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301588,美新科技,25.66,3.55,0.88,-0.04,19.14,0.77,6.05,1.10亿,0.23亿,5.79亿,42.66
1,2,000910,大亚圣象,6.96,1.75,0.12,0.14,0.73,1.52,3.07,0.28亿,5.47亿,38.08亿,--
2,3,603221,爱丽家居,9.87,1.54,0.15,0.0,1.86,0.94,2.78,0.44亿,2.40亿,23.69亿,16.93
3,4,301356,天振股份,14.92,1.36,0.2,-0.27,0.77,0.68,2.17,0.06亿,0.55亿,8.18亿,--
4,5,003011,海象新材,14.5,0.83,0.12,-0.07,2.14,1.26,2.09,0.24亿,0.77亿,11.10亿,33.89
5,6,603226,菲林格尔,3.58,0.28,0.01,0.0,0.57,0.44,1.68,0.07亿,3.55亿,12.73亿,--
6,7,002162,悦心健康,3.17,0.0,0.0,0.0,0.72,0.39,1.58,0.21亿,9.26亿,29.36亿,--
7,8,002798,帝欧家居,3.86,-0.26,-0.01,0.0,1.41,0.79,1.55,0.17亿,3.15亿,12.17亿,--
8,9,002918,蒙娜丽莎,11.03,-0.72,-0.08,0.0,1.52,0.69,1.53,0.37亿,2.19亿,24.21亿,118.82
9,10,003012,东鹏控股,6.91,-1.57,-0.11,0.44,0.95,0.73,4.56,0.78亿,11.67亿,80.62亿,--
