,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300907,康平科技,20.6,6.19,1.2,-0.19,4.15,1.22,8.97,0.79亿,0.96亿,19.78亿,27.30
1,2,000922,佳电股份,12.83,1.91,0.24,0.0,1.51,0.7,2.86,1.13亿,5.87亿,75.35亿,20.55
2,3,002823,凯中精密,11.9,1.02,0.12,0.08,7.4,0.58,3.4,1.57亿,1.79亿,21.26亿,30.92
3,4,002801,微光股份,23.04,-0.22,-0.05,-0.26,1.17,0.6,2.99,0.31亿,1.16亿,26.68亿,18.16
4,5,002249,大洋电机,5.31,-0.38,-0.02,0.0,1.16,0.61,1.88,1.10亿,17.93亿,95.20亿,15.31
5,6,603819,神力股份,12.96,-0.46,-0.06,-0.15,0.63,0.83,3.3,0.18亿,2.18亿,28.22亿,76.78
6,7,002576,通达动力,13.63,-0.51,-0.07,0.0,1.77,1.03,3.07,0.39亿,1.62亿,22.07亿,42.26
7,8,003021,兆威机电,67.29,-0.61,-0.41,-0.02,9.03,1.04,6.13,3.67亿,0.61亿,41.11亿,51.95
8,9,301023,江南奕帆,31.7,-1.25,-0.4,0.0,1.92,0.74,3.58,0.14亿,0.24亿,7.52亿,33.71
9,10,300626,华瑞股份,7.79,-1.27,-0.1,-0.13,2.45,0.63,4.31,0.34亿,1.77亿,13.81亿,67.84
10,11,300660,江苏雷利,27.65,-1.39,-0.39,0.0,1.29,0.51,1.71,1.13亿,3.17亿,87.61亿,30.00
11,12,002892,科力尔,13.72,-1.44,-0.2,0.0,2.71,0.73,2.44,1.03亿,2.76亿,37.80亿,140.25
12,13,603320,迪贝电气,13.79,-1.64,-0.23,0.15,2.06,0.79,4.57,0.37亿,1.30亿,17.93亿,31.34
13,14,603344,星德胜,27.81,-1.91,-0.54,0.0,10.14,0.83,2.79,1.35亿,0.48亿,13.25亿,33.99
14,15,603988,中电电机,10.01,-1.96,-0.2,-0.1,5.57,0.93,2.84,1.32亿,2.35亿,23.54亿,--
15,16,301226,祥明智能,16.8,-2.04,-0.35,0.12,6.67,0.61,3.38,0.55亿,0.49亿,8.25亿,72.02
16,17,600416,湘电股份,12.95,-2.04,-0.27,-0.08,1.06,0.66,2.87,1.54亿,11.16亿,144.56亿,70.97
17,18,603489,八方股份,36.77,-2.21,-0.83,0.03,0.57,0.72,3.19,0.35亿,1.68亿,61.77亿,93.46
18,19,002196,方正电机,5.21,-2.25,-0.12,0.0,2.27,0.74,3.0,0.57亿,4.82亿,25.14亿,--
19,20,301502,华阳智能,36.76,-2.83,-1.07,0.03,7.86,0.93,3.89,0.39亿,0.14亿,4.97亿,67.35
20,21,603728,鸣志电器,52.8,-3.72,-2.04,0.0,1.18,0.81,4.23,2.63亿,4.19亿,221.17亿,854.7
21,22,600580,卧龙电驱,14.57,-3.96,-0.6,-0.14,6.8,0.83,6.72,13.08亿,13.08亿,190.62亿,21.46
