,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603032,德新科技,14.01,9.97,1.27,231372,320183101.0,9.42,14.01,12.81,12.88,12.74,10.05,210.59,2.61
1,2,301511,德福科技,11.76,5.47,0.61,268306,305741180.92,7.98,11.76,10.87,11.24,11.15,7.18,-35.15,1.79
2,3,300648,星云股份,18.14,4.31,0.75,56403,100224305.6,6.5,18.18,17.05,17.52,17.39,5.31,-33.06,3.26
3,4,300619,金银河,23.47,3.03,0.69,79374,186090972.29,11.06,24.54,22.02,22.6,22.78,7.22,-120.78,1.92
4,5,300953,震裕科技,47.71,2.45,1.14,7707,36155088.6,4.34,47.95,45.93,46.65,46.57,1.13,18.61,1.98
5,6,688819,天能股份,26.93,2.4,0.63,29308,78054143.0,3.35,27.06,26.18,26.18,26.3,0.3,10.96,1.67
6,7,600241,时代万恒,6.11,2.0,0.12,114786,69010106.0,8.51,6.22,5.71,5.8,5.99,3.9,94.37,1.55
7,8,688155,先惠技术,32.5,1.85,0.59,8075,26008908.0,1.91,32.5,31.89,31.98,31.91,0.75,15.68,2.14
8,9,002733,雄韬股份,10.82,1.22,0.13,23699,25295804.0,2.71,10.84,10.55,10.65,10.69,0.64,28.94,1.56
9,10,002580,圣阳股份,6.36,1.11,0.07,69024,43511561.0,2.38,6.38,6.23,6.35,6.29,1.53,12.55,1.38
10,11,301222,浙江恒威,20.92,1.11,0.23,4575,9512675.18,2.56,21.09,20.56,20.72,20.69,1.56,17.14,1.56
11,12,300530,领湃科技,15.47,1.11,0.17,18233,28212762.0,2.88,15.7,15.26,15.3,15.3,1.15,-14.97,21.74
12,13,688148,芳源股份,3.67,1.1,0.04,31510,11418273.0,3.03,3.68,3.57,3.61,3.63,0.62,-14.14,2.48
13,14,301152,天力锂能,25.45,1.03,0.26,21538,54500682.4,2.66,25.56,24.89,25.19,25.19,2.87,-19.06,1.71
14,15,688184,帕瓦股份,11.35,0.98,0.11,2540,2861389.0,1.78,11.35,11.15,11.22,11.24,0.25,-3.08,0.69
15,16,301121,紫建电子,33.67,0.93,0.31,12126,40485367.0,3.69,33.98,32.75,33.4,33.36,3.36,55.56,1.45
16,17,605378,野马电池,14.99,0.87,0.13,13939,20765833.0,1.75,15.02,14.76,14.86,14.86,0.75,20.5,2.33
17,18,688345,博力威,13.69,0.66,0.09,3812,5161565.0,2.87,13.79,13.4,13.76,13.6,0.38,-30.32,1.22
18,19,688499,利元亨,18.59,0.65,0.12,15273,28092265.0,2.92,18.65,18.11,18.47,18.47,1.24,-6.65,1.1
19,20,688339,亿华通-U,20.16,0.5,0.1,15438,30753724.0,3.79,20.38,19.62,20.06,20.06,0.97,-16.5,1.61
20,21,835237,力佳科技,10.59,0.28,0.03,3765,3948777.09,2.56,10.65,10.38,10.65,10.56,0.58,10.88,1.53
21,22,688275,万润新能,25.07,0.28,0.07,7880,19517457.0,3.24,25.19,24.38,24.92,25.0,1.0,-3.91,0.52
22,23,833523,德瑞锂电,11.17,0.27,0.03,5587,6209936.6,1.53,11.19,11.02,11.18,11.14,0.92,8.99,2.23
23,24,603031,安孚科技,22.2,0.23,0.05,5180,11437823.0,2.3,22.38,21.87,22.38,22.15,0.25,25.16,2.66
24,25,301210,金杨股份,26.24,0.19,0.05,3800,9950492.0,3.09,26.74,25.93,26.16,26.19,1.23,40.35,1.18
25,26,002759,天际股份,5.82,0.17,0.01,45221,26019273.5,3.1,5.86,5.68,5.79,5.81,0.9,-11.42,0.66
26,27,603906,龙蟠科技,6.81,0.15,0.01,46387,31483471.0,2.94,6.88,6.68,6.8,6.8,0.82,-8.71,1.27
27,28,688778,厦钨新能,26.77,0.07,0.02,11666,31073046.0,3.07,27.1,26.28,27.05,26.75,0.28,23.56,1.33
28,29,601311,骆驼股份,7.44,-0.13,-0.01,78141,57777167.0,2.42,7.5,7.32,7.45,7.45,0.67,13.91,0.91
29,30,002850,科达利,78.33,-0.14,-0.11,13505,105726262.74,2.26,79.22,77.45,78.88,78.44,0.7,16.36,2.01
30,31,300457,赢合科技,13.88,-0.14,-0.02,92825,128180936.96,3.17,14.05,13.61,13.95,13.9,1.46,13.33,1.41
31,32,002074,国轩高科,18.29,-0.22,-0.04,86748,157360185.7,2.78,18.44,17.93,18.34,18.33,0.65,60.42,1.33
32,33,688779,五矿新能,4.43,-0.23,-0.01,91976,40486881.0,3.38,4.49,4.34,4.44,4.44,0.48,-64.81,1.19
33,34,002245,蔚蓝锂芯,7.19,-0.28,-0.02,124159,88499534.85,3.33,7.27,7.03,7.22,7.21,1.14,24.75,1.26
34,35,688567,孚能科技,8.99,-0.33,-0.03,52278,46618634.0,2.99,9.07,8.8,9.07,9.02,0.43,-28.86,1.08
35,36,300207,欣旺达,15.94,-0.38,-0.06,239093,376976703.3,3.13,16.08,15.58,16.04,16.0,1.38,18.02,1.26
36,37,301150,中一科技,17.55,-0.4,-0.07,13500,23610362.68,1.93,17.67,17.33,17.52,17.62,1.46,-30.34,0.89
37,38,836239,长虹能源,15.96,-0.44,-0.07,4682,7472508.92,2.87,16.19,15.73,16.18,16.03,0.94,12.02,2.6
38,39,688573,信宇人,14.2,-0.56,-0.08,8138,11484941.0,3.22,14.36,13.9,14.1,14.28,1.78,-18.77,1.61
39,40,300014,亿纬锂能,32.36,-0.58,-0.19,102354,330081726.61,1.9,32.61,31.99,32.51,32.55,0.55,15.49,1.85
40,41,300037,新宙邦,31.86,-0.69,-0.22,34781,110559546.1,2.65,32.23,31.38,32.08,32.08,0.64,28.88,2.68
41,42,688005,容百科技,20.23,-0.74,-0.15,53338,107481062.0,3.09,20.53,19.9,20.47,20.38,1.69,475.37,1.17
42,43,301587,中瑞股份,21.91,-0.81,-0.18,13786,30084895.76,2.26,22.1,21.6,21.96,22.09,4.76,35.86,1.62
43,44,688638,誉辰智能,22.52,-0.84,-0.19,2056,4633890.0,3.83,23.0,22.13,22.94,22.71,1.19,-13.93,1.18
44,45,001283,豪鹏科技,33.61,-0.86,-0.29,9243,31268460.4,2.89,34.28,33.3,34.1,33.9,1.6,50.31,1.25
