,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,000404,长虹华意,7.24,3.28,0.23,-0.14,4.99,1.6,3.57,2.48亿,6.94亿,50.22亿,13.91
1,2,000921,海信家电,32.17,1.87,0.59,0.09,0.61,0.65,4.08,1.76亿,9.03亿,290.44亿,15.74
2,3,002418,康盛股份,2.89,1.76,0.05,0.0,3.93,1.04,3.17,1.28亿,11.36亿,32.84亿,86.66
3,4,600690,海尔智家,26.35,1.5,0.39,-0.08,0.68,0.97,3.12,11.25亿,63.09亿,1662.30亿,14.98
4,5,002420,毅昌科技,4.97,1.43,0.07,0.0,6.21,0.78,8.16,1.24亿,4.01亿,19.92亿,--
5,6,600983,惠而浦,8.77,1.39,0.12,0.0,0.18,0.9,2.08,0.12亿,7.66亿,67.22亿,356.19
6,7,002290,禾盛新材,14.6,1.25,0.18,-0.07,1.14,0.76,3.4,0.41亿,2.47亿,36.07亿,43.76
7,8,000651,格力电器,40.37,0.95,0.38,0.03,0.46,0.69,1.55,10.26亿,55.83亿,2253.97亿,8.49
8,9,603657,春光科技,12.66,0.8,0.1,0.0,4.67,0.98,5.1,0.78亿,1.35亿,17.12亿,32.82
9,10,000333,美的集团,66.73,0.72,0.48,0.03,0.3,0.64,1.39,13.71亿,68.36亿,4561.89亿,13.79
10,11,002668,奥马电器,8.04,0.38,0.03,0.13,1.39,0.86,3.75,1.20亿,10.84亿,87.16亿,11.08
11,12,430718,合肥高科,10.75,0.28,0.03,0.0,1.1,0.57,2.24,0.03亿,0.24亿,2.62亿,15.84
12,13,603112,华翔股份,12.17,0.25,0.03,-0.25,0.39,0.87,2.8,0.20亿,4.33亿,52.69亿,14.17
13,14,600336,澳柯玛,5.13,0.0,0.0,0.0,1.67,0.75,3.12,0.68亿,7.98亿,40.94亿,28.33
14,15,002011,盾安环境,12.62,-0.4,-0.05,0.0,0.96,0.83,2.37,1.11亿,9.16亿,115.64亿,18.67
15,16,300160,秀强股份,5.14,-0.58,-0.03,-0.39,1.11,1.06,2.32,0.41亿,7.24亿,37.19亿,19.14
16,17,300217,东方电热,5.14,-0.58,-0.03,0.0,2.13,0.9,1.74,1.35亿,12.27亿,63.07亿,11.60
17,18,601956,东贝集团,5.02,-0.59,-0.03,0.0,0.93,0.9,1.78,0.29亿,6.16亿,30.90亿,17.36
18,19,002860,星帅尔,10.39,-0.67,-0.07,0.0,1.55,0.66,1.72,0.33亿,2.06亿,21.43亿,13.13
19,20,603150,万朗磁塑,27.65,-0.86,-0.24,0.0,1.47,0.88,2.01,0.21亿,0.52亿,14.46亿,17.53
20,21,603311,金海高科,8.93,-0.89,-0.08,0.11,0.77,0.77,2.11,0.16亿,2.36亿,21.06亿,36.60
21,22,001268,联合精密,19.61,-0.96,-0.19,0.15,4.46,0.68,2.98,0.36亿,0.42亿,8.17亿,34.45
22,23,603519,立霸股份,12.36,-0.96,-0.12,0.08,0.72,0.98,2.24,0.24亿,2.66亿,32.92亿,4.01
23,24,831768,拾比佰,4.87,-1.02,-0.05,0.0,1.5,0.69,2.64,0.06亿,0.77亿,3.75亿,--
24,25,301008,宏昌科技,23.72,-1.08,-0.26,0.04,3.16,0.84,3.92,0.18亿,0.25亿,5.85亿,24.92
25,26,600619,海立股份,5.97,-1.16,-0.07,0.0,1.6,0.53,3.64,0.75亿,7.89亿,47.11亿,--
26,27,603677,奇精机械,12.34,-1.28,-0.16,-0.08,1.88,0.86,3.52,0.44亿,1.92亿,23.71亿,34.29
27,28,603075,热威股份,19.72,-1.35,-0.27,0.0,2.84,0.79,2.95,0.22亿,0.40亿,7.89亿,30.36
28,29,603726,朗迪集团,12.51,-1.65,-0.21,0.0,1.39,0.92,2.91,0.32亿,1.86亿,23.23亿,19.99
29,30,603578,三星新材,13.95,-2.1,-0.3,-0.22,1.07,0.67,3.58,0.27亿,1.80亿,25.16亿,15.70
30,31,000521,长虹美菱,9.09,-2.57,-0.24,0.22,3.06,0.91,4.93,2.45亿,8.75亿,79.57亿,12.63
31,32,300403,汉宇集团,7.84,-3.21,-0.26,0.26,4.0,0.77,4.57,1.28亿,4.06亿,31.85亿,19.97
32,33,001387,雪祺电气,21.22,-3.33,-0.73,0.09,15.0,0.57,4.83,1.07亿,0.34亿,7.11亿,22.52
33,34,002050,三花智控,22.31,-4.66,-1.09,-0.05,1.85,2.32,5.0,15.25亿,36.90亿,823.26亿,28.92
34,35,002676,顺威股份,4.34,-6.47,-0.3,0.0,8.84,0.63,5.82,2.79亿,7.20亿,31.25亿,76.94
35,36,300342,天银机电,13.79,-7.64,-1.14,-0.07,9.12,0.91,8.04,5.32亿,4.16亿,57.40亿,102.58
