,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300905,宝丽迪,40.9,2.05,0.82,-0.05,17.63,0.84,9.11,8.56亿,1.17亿,48.05亿,69.84
1,2,301190,善水科技,17.91,-0.56,-0.1,0.06,2.15,0.53,3.33,0.27亿,0.71亿,12.72亿,51.72
2,3,002440,闰土股份,6.69,-0.89,-0.06,-0.15,0.51,0.45,1.93,0.33亿,9.59亿,64.15亿,1466.66
3,4,600352,浙江龙盛,9.3,-0.96,-0.09,-0.22,0.53,0.58,1.6,1.60亿,32.53亿,302.56亿,38.29
4,5,002054,德美化工,6.01,-1.15,-0.07,0.17,1.0,0.43,2.63,0.23亿,3.83亿,23.02亿,40.88
5,6,603790,雅运股份,11.34,-1.65,-0.19,-0.09,1.53,0.69,2.77,0.34亿,1.91亿,21.70亿,21.73
6,7,605566,福莱蒽特,18.4,-2.18,-0.41,0.0,2.18,0.92,3.62,0.25亿,0.62亿,11.46亿,40.61
7,8,603188,亚邦股份,2.94,-2.97,-0.09,0.34,4.66,0.56,5.28,0.79亿,5.70亿,16.76亿,59.07
8,9,603172,万丰股份,14.08,-3.23,-0.47,0.0,13.86,0.7,4.61,0.99亿,0.50亿,7.05亿,80.62
9,10,300798,锦鸡股份,7.39,-3.78,-0.29,0.27,4.14,0.78,5.6,1.14亿,3.70亿,27.33亿,125.01
10,11,603980,吉华集团,4.48,-4.27,-0.2,-0.44,3.17,0.53,5.13,1.01亿,7.00亿,31.36亿,7.36
11,12,300067,安诺其,4.88,-5.61,-0.29,-0.2,14.28,0.68,6.77,5.51亿,7.72亿,37.65亿,271.75
12,13,300107,建新股份,12.44,-8.26,-1.12,0.08,33.34,0.97,15.78,15.32亿,3.41亿,42.48亿,212.9
