,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603192,汇得科技,15.44,0.85,0.13,0.0,0.64,0.92,1.83,0.14亿,1.39亿,21.41亿,36.33
1,2,834261,一诺威,6.96,0.29,0.02,0.0,0.12,0.31,1.87,0.01亿,1.27亿,8.85亿,12.37
2,3,603041,美思德,11.58,0.09,0.01,0.0,0.65,0.83,1.73,0.14亿,1.83亿,21.21亿,17.16
3,4,002165,红宝丽,3.75,0.0,0.0,-0.27,4.34,0.98,4.0,1.19亿,7.28亿,27.29亿,23.91
4,5,301216,万凯新材,11.94,-0.5,-0.06,0.17,0.59,0.98,1.33,0.20亿,2.85亿,33.99亿,33.95
5,6,301090,华润材料,8.34,-0.83,-0.07,0.0,0.85,1.07,1.19,0.16亿,2.22亿,18.51亿,--
6,7,600309,万华化学,87.55,-1.49,-1.32,-0.06,0.37,1.13,2.79,10.35亿,31.40亿,2748.85亿,16.53
7,8,300848,美瑞新材,15.81,-2.1,-0.34,0.13,1.01,0.97,3.84,0.39亿,2.39亿,37.85亿,132.79
8,9,600230,沧州大化,12.08,-3.21,-0.4,-0.08,2.82,0.69,3.77,1.41亿,4.12亿,49.75亿,61.95
9,10,300200,高盟新材,8.15,-4.0,-0.34,0.0,5.99,0.88,3.42,2.09亿,4.24亿,34.54亿,16.67
