,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,001288,运机集团,25.87,9.99,2.35,0.0,7.14,4.21,9.91,1.11亿,0.61亿,15.91亿,33.88
1,2,300275,梅安森,11.1,3.45,0.37,0.0,2.45,0.99,5.59,0.67亿,2.49亿,27.68亿,67.65
2,3,603698,航天工程,13.29,3.34,0.43,-0.08,1.32,2.99,5.44,0.93亿,5.36亿,71.23亿,138.83
3,4,300099,尤洛卡,5.08,2.42,0.12,0.2,1.42,1.1,3.02,0.42亿,5.81亿,29.54亿,87.72
4,5,300095,华伍股份,6.08,2.36,0.14,0.0,1.44,0.81,3.7,0.29亿,3.36亿,20.46亿,38.14
5,6,001332,锡装股份,27.17,2.14,0.57,-0.18,4.93,1.14,5.56,0.36亿,0.27亿,7.34亿,18.73
6,7,002730,电光科技,7.3,1.96,0.14,0.0,1.33,1.12,2.79,0.34亿,3.46亿,25.26亿,29.59
7,8,002691,冀凯股份,5.3,1.92,0.1,0.0,0.64,0.86,1.92,0.11亿,3.36亿,17.79亿,162.47
8,9,688420,美腾科技,21.53,1.8,0.38,0.0,0.6,1.06,2.55,0.04亿,0.30亿,6.48亿,63.69
9,10,603966,法兰泰克,8.51,1.79,0.15,0.12,1.89,1.52,5.14,0.58亿,3.59亿,30.52亿,30.82
10,11,002204,大连重工,4.66,1.75,0.08,0.0,0.71,1.65,3.27,0.64亿,19.31亿,90.00亿,15.78
11,12,601399,国机重装,2.92,1.74,0.05,0.0,0.3,1.09,1.74,0.62亿,72.14亿,210.64亿,48.39
12,13,603135,中重科技,14.03,1.74,0.24,-0.07,0.83,1.23,2.32,0.21亿,1.81亿,25.37亿,103.53
13,14,002535,林州重机,3.28,1.55,0.05,-0.3,1.64,0.8,3.1,0.39亿,7.34亿,24.09亿,24.20
14,15,600560,金自天正,14.4,1.34,0.19,0.0,1.22,1.16,1.83,0.39亿,2.24亿,32.20亿,68.38
15,16,603012,创力集团,5.16,1.18,0.06,-0.39,0.53,0.77,1.37,0.18亿,6.42亿,33.14亿,13.86
16,17,688633,星球石墨,26.98,1.12,0.3,-0.19,0.64,1.71,2.62,0.18亿,1.03亿,27.74亿,24.83
17,18,300084,海默科技,5.8,1.04,0.06,-0.34,1.35,1.1,3.66,0.26亿,3.30亿,19.13亿,--
18,19,688377,迪威尔,15.92,0.95,0.15,-0.06,0.41,0.83,2.35,0.13亿,1.93亿,30.68亿,27.45
19,20,301158,德石股份,13.53,0.74,0.1,-0.22,1.97,0.62,1.94,0.21亿,0.80亿,10.84亿,38.69
20,21,002523,天桥起重,2.74,0.73,0.02,0.0,0.44,0.77,1.1,0.17亿,14.12亿,38.68亿,193.63
21,22,833781,瑞奇智造,4.4,0.69,0.03,0.0,0.55,0.34,1.14,0.02亿,0.91亿,4.01亿,39.36
22,23,600320,振华重工,3.6,0.56,0.02,0.0,0.58,0.93,1.4,0.69亿,33.22亿,119.59亿,27.91
23,24,600169,太原重工,2.03,0.49,0.01,0.0,0.33,0.68,1.49,0.22亿,33.33亿,67.66亿,66.59
24,25,002483,润邦股份,5.0,0.4,0.02,0.2,1.03,0.57,1.61,0.46亿,8.85亿,44.26亿,17.73
25,26,601106,中国一重,2.54,0.4,0.01,0.0,0.19,1.01,1.19,0.33亿,68.58亿,174.19亿,--
26,27,600262,北方股份,18.53,0.38,0.07,0.0,1.0,0.55,2.0,0.31亿,1.70亿,31.50亿,15.16
27,28,001225,和泰机电,31.01,0.36,0.11,-0.39,0.96,0.69,1.59,0.05亿,0.18亿,5.63亿,24.69
28,29,001360,南矿集团,14.19,0.28,0.04,-0.14,2.94,0.67,3.6,0.35亿,0.82亿,11.60亿,52.06
29,30,002564,*ST天沃,4.2,0.24,0.01,-0.24,1.8,0.8,1.67,0.65亿,8.58亿,36.05亿,60.72
30,31,600980,北矿科技,14.03,0.07,0.01,-0.36,0.77,0.66,1.28,0.19亿,1.76亿,24.65亿,33.80
31,32,002353,杰瑞股份,34.93,-0.14,-0.05,-0.14,1.04,0.81,2.69,2.53亿,6.93亿,242.22亿,23.82
32,33,601608,中信重工,4.11,-0.24,-0.01,-0.24,0.41,0.79,0.73,0.74亿,43.39亿,178.35亿,49.66
33,34,000852,石化机械,5.89,-0.34,-0.02,-0.17,0.46,0.81,1.52,0.25亿,9.41亿,55.42亿,55.64
34,35,603036,如通股份,11.4,-0.35,-0.04,-0.18,0.49,0.52,1.75,0.12亿,2.06亿,23.48亿,29.10
35,36,873703,广厦环能,16.86,-0.35,-0.06,0.0,1.51,0.7,1.0,0.07亿,0.29亿,4.95亿,11.61
