,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688239,航宇科技,40.8,4.0,1.57,49414,199564938.0,5.58,41.2,39.01,39.44,39.23,3.45,29.15,3.42
1,2,688287,观典防务,6.92,3.9,0.26,185377,128033083.0,6.76,7.1,6.65,6.76,6.66,5.0,-31.18,2.75
2,3,600765,中航重机,21.6,3.7,0.77,314396,671461256.0,4.51,21.69,20.75,20.84,20.83,2.14,22.14,2.67
3,4,688543,国科军工,59.02,3.24,1.85,70287,408675122.0,6.87,60.01,56.08,57.2,57.17,8.61,52.11,4.65
4,5,002023,海特高新,11.33,2.91,0.32,372254,419379837.44,2.82,11.4,11.09,11.09,11.01,5.02,89.15,1.97
5,6,002985,北摩高科,24.64,2.54,0.61,70549,172994823.12,4.16,25.0,24.0,24.04,24.03,3.4,61.34,3.2
6,7,688237,超卓航科,23.43,2.45,0.56,13956,32492600.0,2.75,23.53,22.9,23.25,22.87,3.17,68.41,1.7
7,8,688066,航天宏图,22.9,2.28,0.51,173327,397811368.0,5.94,23.43,22.1,22.48,22.39,6.63,-20.23,3.03
8,9,600391,航发科技,20.28,1.86,0.37,226763,457096443.0,3.97,20.49,19.7,19.7,19.91,6.87,218.85,4.16
9,10,000697,炼石航空,8.06,1.64,0.13,180145,145202040.01,3.28,8.19,7.93,7.93,7.93,3.19,-26.46,23.58
10,11,300965,*ST恒宇,32.66,1.59,0.51,4928,16079525.19,1.9,32.85,32.24,32.24,32.15,3.0,108.44,1.61
11,12,002625,光启技术,38.81,1.57,0.6,1571978,6194629273.3,10.78,41.88,37.76,38.8,38.21,8.85,115.7,9.7
12,13,688586,江航装备,10.65,1.53,0.16,91891,97604377.0,2.67,10.73,10.45,10.49,10.49,1.16,40.46,3.4
13,14,000768,中航西飞,29.41,1.48,0.43,222432,648394115.06,2.07,29.45,28.85,28.99,28.98,0.8,62.25,4.1
14,15,688563,航材股份,60.15,1.47,0.87,35173,210077873.0,2.36,60.3,58.9,59.26,59.28,3.05,43.5,2.68
15,16,600316,洪都航空,33.99,1.22,0.41,405005,1378675294.0,5.93,34.89,32.9,33.5,33.58,5.65,3438.47,4.61
16,17,600038,中直股份,42.65,1.21,0.51,76447,325928865.0,2.44,42.97,41.94,41.98,42.14,1.3,58.77,2.19
17,18,603261,立航科技,32.17,1.2,0.38,40803,132044293.0,3.84,32.81,31.59,31.8,31.79,15.52,-51.66,3.16
18,19,002297,博云新材,6.99,1.16,0.08,88798,61886005.48,1.59,7.01,6.9,6.93,6.91,1.55,867.24,1.89
19,20,000738,航发控制,23.57,0.9,0.21,122829,288018447.97,2.18,23.69,23.18,23.22,23.36,0.93,33.0,2.57
20,21,300775,三角防务,28.61,0.74,0.21,254299,727621530.58,3.35,29.19,28.24,28.65,28.4,4.78,27.0,2.83
21,22,300719,安达维尔,23.26,0.74,0.17,279336,658437386.95,5.11,24.1,22.92,23.09,23.09,15.55,206.82,5.64
