,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000663,永安林业,4.36,5.06,0.21,213906,93380175.41,8.43,4.55,4.2,4.21,4.15,6.98,-35.75,1.36
1,2,301227,森鹰窗业,15.48,3.75,0.56,23636,36637245.04,14.08,16.85,14.75,14.75,14.92,6.72,1453.33,0.85
2,3,603378,亚士创能,7.19,3.3,0.23,80444,56725822.0,4.45,7.2,6.89,6.89,6.96,1.88,-80.53,1.85
3,4,002457,青龙管业,8.84,2.91,0.25,269147,236888255.56,4.54,8.91,8.52,8.56,8.59,8.04,20.63,1.28
4,5,603833,欧派家居,41.38,2.27,0.92,24476,100109092.0,4.13,41.7,40.03,40.76,40.46,0.4,12.73,1.49
5,6,301010,晶雪节能,11.35,2.16,0.24,13059,14675378.12,2.7,11.39,11.09,11.16,11.11,1.21,40.52,1.48
6,7,300749,顶固集创,5.23,1.55,0.08,19578,10206157.0,3.11,5.29,5.13,5.16,5.15,1.24,-110.93,1.49
7,8,002718,友邦吊顶,9.04,1.46,0.13,10391,9326379.8,2.81,9.07,8.82,8.92,8.91,1.59,-23.28,1.19
8,9,603326,我乐家居,5.14,1.38,0.07,23827,12114847.0,2.56,5.15,5.02,5.09,5.07,0.76,18.28,1.47
9,10,001211,双枪科技,14.76,1.37,0.2,4611,6740747.0,2.06,14.78,14.48,14.56,14.56,0.67,39.81,1.24
10,11,603226,菲林格尔,3.11,1.3,0.04,24198,7474109.0,2.61,3.13,3.05,3.08,3.07,0.68,-36.74,1.14
11,12,601996,丰林集团,1.68,1.2,0.02,76139,12712384.0,2.41,1.69,1.65,1.66,1.66,0.68,134.08,0.69
12,13,603268,松发股份,13.39,1.13,0.15,15495,19908466.0,8.76,13.66,12.5,13.66,13.24,1.25,-23.94,41.07
13,14,002652,扬子新材,2.7,1.12,0.03,65777,17609401.6,3.0,2.71,2.63,2.69,2.67,1.29,43.51,5.02
14,15,300234,开尔新材,3.68,1.1,0.04,18850,6895793.13,1.92,3.69,3.62,3.65,3.64,0.55,120.14,1.66
15,16,603600,XD永艺股,9.45,1.07,0.1,17605,16465481.0,2.67,9.46,9.21,9.39,9.35,0.59,12.39,1.46
16,17,603661,恒林股份,30.49,1.03,0.31,4889,14713139.0,3.21,30.69,29.72,30.21,30.18,0.35,9.64,1.17
17,18,603992,松霖科技,17.71,1.03,0.18,10702,18747929.0,2.85,17.78,17.28,17.5,17.53,0.27,16.33,2.67
18,19,603838,四通股份,3.94,1.03,0.04,31166,12159192.0,2.82,3.95,3.84,3.89,3.9,0.97,-69.39,1.28
19,20,603180,金牌家居,16.02,1.01,0.16,7367,11813729.0,3.03,16.23,15.75,16.14,15.86,0.48,17.79,0.93
20,21,001238,浙江正特,21.36,0.95,0.2,3712,7895113.0,1.65,21.38,21.03,21.25,21.16,1.16,27.46,2.09
21,22,002323,雅博股份,1.08,0.93,0.01,142512,15318259.35,2.8,1.09,1.06,1.08,1.07,0.67,-25.41,3.98
22,23,603389,亚振家居,5.88,0.86,0.05,142101,82601106.0,3.77,5.91,5.69,5.86,5.83,5.41,-27.5,4.43
23,24,300599,雄塑科技,4.93,0.82,0.04,27203,13352353.0,2.66,4.98,4.85,4.9,4.89,1.28,-24.91,0.84
24,25,000619,海螺新材,3.92,0.77,0.03,27484,10664804.5,2.31,3.93,3.84,3.89,3.89,0.76,-71.79,0.64
25,26,301429,森泰股份,13.75,0.73,0.1,5687,7729565.0,2.56,13.77,13.42,13.77,13.65,1.29,20.86,1.23
26,27,603709,中源家居,8.3,0.73,0.06,11940,9877402.0,2.55,8.37,8.16,8.3,8.24,0.96,169.97,1.74
27,28,600076,康欣新材,1.42,0.71,0.01,63707,8945032.0,2.84,1.42,1.38,1.41,1.41,0.47,-10.94,0.45
28,29,002631,德尔未来,3.87,0.52,0.02,45475,17508367.0,2.86,3.91,3.8,3.84,3.85,0.69,-53.19,1.53
29,30,603610,麒盛科技,7.97,0.5,0.04,15374,12179216.0,2.27,8.02,7.84,7.98,7.93,0.43,16.79,0.96
30,31,603208,江山欧派,16.09,0.44,0.07,6015,9592828.0,2.81,16.16,15.71,16.04,16.02,0.34,13.58,2.21
31,32,603898,好莱客,7.23,0.42,0.03,7413,5341521.0,1.53,7.25,7.14,7.19,7.2,0.24,25.08,0.75
32,33,002333,罗普斯金,4.87,0.41,0.02,17958,8717512.0,1.65,4.9,4.82,4.9,4.85,0.28,51.88,1.77
33,34,002798,帝欧家居,3.15,0.32,0.01,46029,14595301.25,5.41,3.29,3.12,3.25,3.14,1.46,-11.01,0.66
34,35,002398,垒知集团,3.38,0.3,0.01,47050,15813307.33,2.37,3.4,3.32,3.38,3.37,0.81,16.3,0.67
35,36,002694,顾地科技,3.39,0.3,0.01,15344,5169615.6,2.37,3.41,3.33,3.38,3.38,0.28,-32.2,4.96
36,37,603816,顾家家居,23.0,0.17,0.04,38597,88371807.0,3.27,23.29,22.54,22.99,22.96,0.47,10.55,2.03
37,38,001322,箭牌家居,7.05,0.14,0.01,16422,11524558.12,2.41,7.12,6.95,7.05,7.04,0.99,89.85,1.39
38,39,603137,恒尚节能,9.5,0.11,0.01,5785,5463671.0,2.53,9.55,9.31,9.55,9.49,0.78,13.01,1.47
39,40,002088,鲁阳节能,9.76,0.1,0.01,19022,18432385.44,3.08,9.85,9.55,9.73,9.75,0.38,12.07,1.91
40,41,002372,伟星新材,10.77,0.09,0.01,111624,119013801.7,3.25,10.84,10.49,10.75,10.76,0.76,25.23,3.7
41,42,002572,索菲亚,13.09,0.08,0.01,68611,89088010.0,2.45,13.15,12.83,13.13,13.08,1.05,11.16,1.91
42,43,300715,凯伦股份,6.27,0.0,0.0,15268,9512274.17,2.23,6.31,6.17,6.31,6.27,0.45,155.43,1.04
43,44,300616,尚品宅配,9.66,0.0,0.0,16462,15805214.97,2.28,9.71,9.49,9.67,9.66,1.06,-10.24,0.6
44,45,300198,纳川股份,1.36,0.0,0.0,263428,35627608.0,3.68,1.38,1.33,1.36,1.36,2.57,-18.16,1.96
45,46,000910,大亚圣象,6.14,0.0,0.0,10630,6503373.0,1.95,6.18,6.06,6.1,6.14,0.19,26.45,0.5
46,47,603801,志邦家居,9.36,-0.11,-0.01,48358,44823882.0,2.88,9.44,9.17,9.38,9.37,1.11,13.73,1.29
47,48,300737,科顺股份,4.04,-0.25,-0.01,105053,42008921.4,3.46,4.1,3.96,4.06,4.05,1.17,25.33,0.93
48,49,002641,公元股份,3.89,-0.26,-0.01,52923,20460446.9,2.05,3.91,3.83,3.89,3.9,0.47,19.08,0.88
49,50,002853,皮阿诺,6.98,-0.29,-0.02,31627,22000040.0,3.71,7.12,6.86,7.08,7.0,2.39,145.9,0.96
50,51,603856,东宏股份,10.1,-0.3,-0.03,9740,9826631.0,1.97,10.21,10.01,10.14,10.13,0.38,8.6,1.11
51,52,002790,瑞尔特,6.54,-0.3,-0.02,28995,18843008.5,2.74,6.6,6.42,6.58,6.56,1.11,15.02,1.32
52,53,002392,北京利尔,3.08,-0.32,-0.01,122030,37402716.0,2.91,3.12,3.03,3.1,3.09,1.34,8.61,0.68
53,54,603008,喜临门,13.77,-0.43,-0.06,31570,43094294.0,3.4,13.96,13.49,13.84,13.83,0.83,11.17,1.4
54,55,002271,东方雨虹,10.15,-0.49,-0.05,273759,276024304.1,3.04,10.28,9.97,10.21,10.2,1.42,13.11,0.9
55,56,001216,华瓷股份,12.14,-0.49,-0.06,69235,83293359.12,4.43,12.29,11.75,12.03,12.2,11.0,15.52,1.89
56,57,002043,兔 宝 宝,9.34,-0.64,-0.06,54909,50928690.0,3.3,9.47,9.16,9.42,9.4,0.75,15.92,2.64
57,58,002066,瑞泰科技,7.57,-0.66,-0.05,27729,21013686.04,4.07,7.73,7.42,7.69,7.62,1.2,23.33,2.52
58,59,603313,梦百合,5.55,-0.72,-0.04,66438,36843621.0,3.22,5.66,5.48,5.63,5.59,1.16,30.11,0.81
59,60,000786,北新建材,23.51,-0.72,-0.17,98026,230731901.65,2.32,23.85,23.3,23.66,23.68,0.6,8.97,1.64
60,61,600337,美克家居,1.35,-0.74,-0.01,114528,15392486.0,4.41,1.38,1.32,1.38,1.36,0.77,-3.62,0.6
61,62,003012,东鹏控股,5.29,-0.75,-0.04,44543,23353979.28,3.19,5.36,5.19,5.34,5.33,0.38,14.74,0.82
62,63,002785,万里石,23.59,-0.92,-0.22,67298,153867084.0,10.75,24.6,22.04,23.81,23.81,4.01,620.33,5.51
63,64,002918,蒙娜丽莎,7.1,-1.25,-0.09,43651,31006472.2,2.64,7.24,7.05,7.2,7.19,1.99,17.84,0.89
64,65,002791,坚朗五金,21.13,-1.26,-0.27,25934,54524268.0,3.88,21.52,20.69,21.47,21.4,1.58,764.56,1.32
65,66,300117,*ST嘉寓,1.83,-1.61,-0.03,190142,34859729.8,3.76,1.87,1.8,1.84,1.86,2.65,-3.97,-0.8
66,67,603737,三棵树,27.13,-1.63,-0.45,34338,92403826.0,3.99,27.65,26.55,27.58,27.58,0.65,34.04,5.56
67,68,002225,濮耐股份,3.23,-2.42,-0.08,259790,84164922.0,8.76,3.44,3.15,3.3,3.31,3.15,12.25,0.97
68,69,002162,悦心健康,2.82,-2.42,-0.07,173938,49518277.0,4.15,2.92,2.8,2.9,2.89,1.89,534.24,2.67
69,70,603818,曲美家居,2.29,-3.78,-0.09,344437,78998991.0,4.62,2.37,2.26,2.36,2.38,5.02,-6.33,0.71
