,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,001229,魅视科技,35.64,10.0,3.24,7131,25415953.2,0.0,35.64,35.64,35.64,32.4,2.43,51.27,3.69
1,2,870976,视声智能,26.69,6.85,1.71,51908,135182914.46,16.25,28.36,24.3,24.5,24.98,20.14,39.39,6.93
2,3,603660,苏州科达,7.55,6.49,0.46,526371,398791532.0,11.57,7.8,6.98,7.11,7.09,10.65,-8.0,6.13
3,4,001339,智微智能,38.06,5.58,2.01,67515,250115755.68,7.35,38.3,35.65,36.0,36.05,9.25,87.18,4.7
4,5,430198,微创光电,16.18,5.34,0.82,63467,99807471.67,8.79,16.5,15.15,15.29,15.36,9.04,-35.12,6.82
5,6,600764,中国海防,28.41,3.88,1.06,65140,183303850.0,5.23,28.6,27.17,27.24,27.35,0.92,101.58,2.49
6,7,003004,声迅股份,26.1,3.78,0.95,48881,130020137.82,10.14,27.67,25.12,25.17,25.15,7.03,-56.6,3.14
7,8,301042,安联锐视,40.07,3.38,1.31,22003,87316061.25,6.22,40.73,38.32,38.88,38.76,5.14,27.85,2.68
8,9,300807,天迈科技,35.94,2.86,1.0,31628,111570274.0,5.72,36.3,34.3,34.77,34.94,6.45,-34.69,4.97
9,10,603019,中科曙光,79.44,2.24,1.74,641347,5049850329.0,5.43,80.5,76.28,76.79,77.7,4.4,113.29,6.06
10,11,300270,中威电子,7.77,2.1,0.16,109006,84426973.0,6.18,8.0,7.53,7.68,7.61,4.25,-35.03,3.8
11,12,300045,华力创通,26.3,1.98,0.51,242223,631550824.15,2.75,26.38,25.67,25.8,25.79,4.99,-453.95,10.19
12,13,688208,道通科技,35.97,1.9,0.67,139409,509767894.0,4.87,37.22,35.5,35.99,35.3,3.09,22.52,5.18
13,14,301157,华塑科技,40.05,1.68,0.66,17167,68224613.72,5.59,40.5,38.3,38.84,39.39,8.31,82.37,2.24
14,15,688288,鸿泉物联,17.93,1.59,0.28,12725,22633183.0,2.78,17.98,17.49,17.49,17.65,1.26,-45.18,2.57
15,16,002512,达华智能,4.7,1.51,0.07,256732,120977250.5,2.81,4.78,4.65,4.66,4.63,2.45,1313.73,11.58
16,17,300449,汉邦高科,7.43,1.5,0.11,43363,31978345.0,2.32,7.46,7.29,7.38,7.32,1.46,-84.53,7.26
17,18,600100,同方股份,7.58,1.47,0.11,422424,318305198.0,3.35,7.65,7.4,7.42,7.47,1.26,255.11,1.68
18,19,600855,航天长峰,12.73,1.43,0.18,95987,121997260.0,3.75,12.9,12.43,12.56,12.55,2.05,-44.98,3.4
19,20,002970,锐明技术,46.04,1.19,0.54,16552,75626578.28,2.51,46.1,44.96,45.51,45.5,1.43,27.67,4.92
20,21,300155,安居宝,5.15,1.18,0.06,72815,37133937.0,3.14,5.19,5.03,5.04,5.09,2.2,-101.99,2.24
21,22,300884,狄耐克,11.23,0.9,0.1,41205,46261778.0,3.5,11.41,11.02,11.17,11.13,2.15,121.77,2.19
22,23,300771,智莱科技,11.43,0.88,0.1,29275,33379385.44,1.77,11.5,11.3,11.39,11.33,1.62,62.2,1.43
23,24,002835,同为股份,17.88,0.79,0.14,24984,44547075.0,1.86,17.94,17.61,17.77,17.74,1.96,20.03,3.47
24,25,000977,浪潮信息,49.26,0.76,0.37,478572,2357562393.57,2.64,49.79,48.5,48.78,48.89,3.25,42.02,3.84
25,26,603516,淳中科技,40.76,0.67,0.27,114574,473039739.0,5.98,42.32,39.9,40.0,40.49,5.68,119.79,6.04
26,27,300479,神思电子,19.48,0.57,0.11,31603,61520630.0,2.68,19.67,19.15,19.22,19.37,1.6,-25.56,9.03
27,28,688592,司南导航,40.29,0.47,0.19,3787,15229050.0,2.47,40.5,39.51,40.49,40.1,1.35,-238.49,2.53
28,29,002376,新北洋,6.99,0.43,0.03,76052,52873105.52,1.72,7.01,6.89,6.91,6.96,1.09,96.93,1.53
29,30,603106,恒银科技,9.47,0.42,0.04,117468,110577795.0,2.86,9.53,9.26,9.4,9.43,2.26,-103.26,4.01
30,31,002177,御银股份,4.62,0.22,0.01,319283,147624029.7,2.6,4.69,4.57,4.6,4.61,4.77,209.99,2.07
31,32,002152,广电运通,12.8,0.08,0.01,427040,548547268.52,3.13,13.05,12.65,12.8,12.79,1.72,35.43,2.58
32,33,000066,中国长城,19.86,0.05,0.01,2947760,5796123344.85,7.0,20.39,19.0,19.39,19.85,9.37,-69.87,5.33
33,34,300368,ST汇金,4.39,0.0,0.0,77465,33884137.0,1.82,4.43,4.35,4.38,4.39,1.46,-59.82,6.96
34,35,002180,纳思达,27.57,-0.18,-0.05,55329,153563843.0,2.82,28.26,27.48,27.53,27.62,0.41,27.17,3.78
35,36,301391,卡莱特,41.29,-0.51,-0.21,6960,28676370.96,2.05,41.52,40.67,41.3,41.5,1.41,251.43,1.81
36,37,000034,神州数码,35.19,-0.62,-0.22,90614,320032520.0,2.09,35.74,35.0,35.11,35.41,1.64,19.78,2.54
37,38,002383,合众思壮,9.2,-0.76,-0.07,304335,282993584.94,3.99,9.49,9.12,9.2,9.27,4.94,-80.16,3.72
38,39,002415,海康威视,30.86,-0.77,-0.24,135038,417514640.77,1.0,31.11,30.8,31.11,31.1,0.15,26.36,3.71
39,40,301608,博实结,63.4,-0.88,-0.56,6650,42340126.7,1.66,64.18,63.12,63.89,63.96,3.93,31.41,2.87
40,41,002236,大华股份,16.99,-0.99,-0.17,181522,309368550.39,1.28,17.18,16.96,17.07,17.16,0.86,16.5,1.57
41,42,688522,纳睿雷达,58.05,-1.04,-0.61,10704,62428409.0,2.22,58.95,57.65,58.62,58.66,1.26,362.47,5.76
42,43,300455,航天智装,14.38,-1.1,-0.16,67424,97263360.0,3.03,14.63,14.19,14.54,14.54,0.95,280.6,5.7
43,44,002197,ST证通,4.4,-1.12,-0.05,76092,33519728.61,2.25,4.46,4.36,4.44,4.45,1.42,-35.68,1.11
44,45,301589,诺瓦星云,182.22,-1.18,-2.18,4361,79614869.16,1.26,183.62,181.3,182.72,184.4,2.36,27.42,4.64
45,46,300546,雄帝科技,18.34,-1.24,-0.23,70013,128845388.5,2.91,18.7,18.16,18.62,18.57,5.26,237.57,3.16
46,47,300130,新国都,24.65,-2.41,-0.61,136329,338297927.2,2.41,25.18,24.57,25.02,25.26,3.19,34.85,3.23
47,48,300551,古鳌科技,13.29,-2.49,-0.34,160484,215331732.33,3.52,13.66,13.18,13.55,13.63,5.33,-18.17,6.12
48,49,300531,优博讯,16.92,-2.7,-0.47,106804,182032605.08,2.7,17.3,16.83,17.05,17.39,3.39,238.3,3.69
49,50,300177,中海达,12.98,-3.21,-0.43,589776,761305157.01,2.39,13.1,12.78,12.97,13.41,9.73,-281.1,5.84
