,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603421,鼎信通讯,4.54,9.93,0.41,114414,49544718.0,10.65,4.54,4.1,4.15,4.13,1.75,-30.43,0.89
1,2,002123,梦网科技,6.37,6.52,0.39,485344,299976444.12,11.04,6.5,5.84,5.98,5.98,7.07,276.03,3.12
2,3,300571,平治信息,20.16,4.62,0.89,34336,67815178.0,6.75,20.23,18.93,19.25,19.27,2.97,463.33,1.78
3,4,300560,中富通,12.24,3.99,0.47,259386,309317793.5,7.48,12.32,11.44,11.7,11.77,13.87,126.58,2.58
4,5,603220,中贝通信,18.16,3.42,0.6,135966,242613716.0,5.98,18.34,17.29,17.6,17.56,3.13,37.55,4.15
5,6,002467,二六三,3.34,3.41,0.11,255448,83623853.46,4.95,3.35,3.19,3.23,3.23,1.87,45.19,2.48
6,7,688081,兴图新科,8.83,3.4,0.29,8404,7355991.0,4.45,8.88,8.5,8.5,8.54,0.82,-16.46,1.86
7,8,603602,纵横通信,12.65,3.35,0.41,41161,51310894.0,4.17,12.71,12.2,12.28,12.24,2.0,161.61,3.7
8,9,300959,线上线下,25.01,3.09,0.75,10452,25741666.12,4.62,25.04,23.92,24.29,24.26,2.74,475.33,1.73
9,10,603206,嘉环科技,12.37,3.08,0.37,41793,51036641.0,5.75,12.5,11.81,12.07,12.0,4.79,30.75,1.71
10,11,002929,润建股份,24.8,2.78,0.67,37133,90694949.61,5.14,25.1,23.86,24.15,24.13,1.74,14.81,1.13
11,12,300081,恒信东方,4.61,2.67,0.12,187273,84154900.0,6.24,4.63,4.35,4.5,4.49,3.1,-17.76,1.88
12,13,300513,恒实科技,7.37,2.65,0.19,58282,42221221.56,4.18,7.39,7.09,7.19,7.18,2.07,-22.68,0.98
13,14,301139,元道通信,19.22,2.51,0.47,19233,36130853.0,4.85,19.29,18.38,18.7,18.75,2.68,38.77,1.21
14,15,300578,会畅通讯,13.61,2.48,0.33,44164,58918083.0,5.72,13.67,12.91,13.28,13.28,2.28,78.14,2.31
15,16,000889,ST中嘉,1.67,2.45,0.04,213877,35810601.6,5.52,1.71,1.62,1.63,1.63,2.46,-53.94,12.9
16,17,002148,北纬科技,4.65,2.42,0.11,141704,65007318.37,4.85,4.68,4.46,4.55,4.54,3.15,122.99,2.15
17,18,300603,立昂技术,7.28,2.39,0.17,69228,49585757.0,4.5,7.3,6.98,7.09,7.11,1.94,-101.59,2.38
18,19,002093,国脉科技,5.97,2.23,0.13,62554,36667855.0,3.77,5.97,5.75,5.86,5.84,0.62,38.62,1.68
19,20,300211,亿通科技,5.58,1.82,0.1,90525,49847627.0,4.93,5.64,5.37,5.49,5.48,3.03,-49.73,3.38
20,21,300597,吉大通信,7.35,1.8,0.13,127889,92218811.21,5.68,7.39,6.98,7.14,7.22,4.71,138.17,1.94
21,22,300025,华星创业,8.05,1.77,0.14,53133,42044393.05,4.68,8.08,7.71,7.94,7.91,1.23,-89.99,6.28
22,23,600941,中国移动,101.92,1.66,1.66,69955,710266326.0,2.14,102.35,100.2,100.27,100.26,0.92,13.63,1.63
23,24,002544,普天科技,16.33,1.55,0.25,49919,80485357.38,4.85,16.53,15.75,16.1,16.08,0.74,141.32,2.96
24,25,601698,中国卫通,14.46,1.47,0.21,103292,147938732.0,2.6,14.49,14.12,14.28,14.25,0.24,75.14,3.91
25,26,300183,东软载波,12.46,1.47,0.18,50018,61310927.0,3.75,12.52,12.06,12.32,12.28,1.39,50.38,1.83
26,27,603322,超讯通信,25.92,1.05,0.27,45165,115508446.0,4.09,26.03,24.98,25.45,25.65,2.87,72.33,12.62
27,28,601728,中国电信,6.19,0.49,0.03,891184,551516392.0,1.79,6.23,6.12,6.14,6.16,0.44,12.98,1.24
28,29,300050,世纪鼎利,4.12,0.24,0.01,705395,286839716.38,7.06,4.22,3.93,4.15,4.11,12.95,-78.42,4.8
29,30,688682,霍莱沃,26.3,0.23,0.06,8066,20947759.0,4.27,26.61,25.49,26.24,26.24,1.11,155.28,2.93
30,31,002231,奥维通信,4.49,0.22,0.01,163654,72805082.0,3.35,4.53,4.38,4.5,4.48,5.55,-123.48,4.98
31,32,600050,中国联通,4.56,0.22,0.01,853305,389243502.0,0.88,4.58,4.54,4.54,4.55,0.28,12.01,0.88
32,33,300921,南凌科技,18.92,0.21,0.04,27651,51775116.0,3.65,19.07,18.38,18.77,18.88,3.48,202.63,3.07
33,34,600289,*ST信通,1.33,0.0,0.0,48527,6458887.0,6.02,1.37,1.29,1.32,1.33,0.86,51.57,1.2
34,35,300292,吴通控股,3.51,0.0,0.0,558990,192525576.0,4.56,3.53,3.37,3.51,3.51,5.01,51.47,3.53
35,36,600804,*ST鹏博,1.72,-4.97,-0.09,242949,42080095.0,2.76,1.77,1.72,1.74,1.81,1.74,-5.35,4.19
36,37,603559,*ST通脉,7.25,-4.98,-0.38,47854,35119516.0,4.85,7.62,7.25,7.62,7.63,3.34,-8.75,17.84
37,38,300310,宜通世纪,4.95,-5.71,-0.3,1344724,666535088.45,8.38,5.25,4.81,5.15,5.25,19.44,60.83,2.25
38,39,300736,百邦科技,9.2,-8.55,-0.86,304490,278998431.28,7.46,9.66,8.91,9.5,10.06,23.6,-37.45,12.99
