,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300628,亿联网络,30.95,7.17,2.07,0.16,1.47,1.55,8.45,3.23亿,7.23亿,223.77亿,19.33
1,2,300590,移为通信,11.08,2.78,0.3,2.12,8.8,6.7,8.81,3.24亿,3.53亿,39.13亿,34.64
2,3,832149,利尔达,5.04,2.02,0.1,0.0,1.9,1.48,5.47,0.11亿,1.15亿,5.77亿,--
3,4,300555,ST路通,6.84,1.03,0.07,0.0,0.25,0.38,2.66,0.03亿,1.98亿,13.51亿,--
4,5,688100,威胜信息,34.4,-0.66,-0.23,0.12,0.23,0.94,2.31,0.39亿,5.00亿,172.00亿,32.75
5,6,003031,中瓷电子,64.6,-1.34,-0.88,-0.06,0.84,0.96,2.64,0.46亿,0.84亿,54.33亿,45.44
6,7,301191,菲菱科思,78.51,-1.62,-1.29,0.08,2.48,0.66,2.77,0.51亿,0.26亿,20.52亿,33.61
7,8,688159,有方科技,41.3,-2.2,-0.93,0.0,0.86,0.61,2.96,0.33亿,0.92亿,37.86亿,835.59
8,9,300627,华测导航,26.8,-2.3,-0.63,-0.11,1.29,0.79,3.17,1.55亿,4.47亿,119.84亿,32.45
9,10,002104,恒宝股份,6.31,-2.47,-0.16,0.16,0.84,1.12,2.94,0.31亿,5.92亿,37.37亿,24.02
10,11,600775,南京熊猫,9.34,-2.5,-0.24,0.43,1.64,0.79,3.24,1.03亿,6.72亿,62.75亿,--
11,12,603118,共进股份,8.11,-2.64,-0.22,0.0,0.96,0.88,2.4,0.62亿,7.87亿,63.85亿,26.80
12,13,603083,剑桥科技,36.86,-2.64,-1.0,0.14,2.78,0.81,3.17,2.74亿,2.65亿,97.71亿,104.00
13,14,300504,天邑股份,13.76,-2.69,-0.38,0.15,0.68,1.03,3.4,0.21亿,2.18亿,30.01亿,22.74
14,15,600734,ST实达,3.34,-2.91,-0.1,-0.3,0.56,1.4,5.23,0.39亿,21.00亿,70.15亿,296.07
15,16,603236,移远通信,37.65,-2.96,-1.15,-0.03,0.7,0.97,3.33,0.70亿,2.65亿,99.61亿,--
16,17,003040,楚天龙,12.37,-3.06,-0.39,-0.08,0.68,1.39,3.6,0.39亿,4.57亿,56.51亿,58.30
17,18,002017,东信和平,8.86,-3.06,-0.28,-0.11,0.74,0.93,3.28,0.38亿,5.79亿,51.29亿,37.13
18,19,600198,大唐电信,5.85,-3.15,-0.19,0.0,1.16,0.88,3.31,0.60亿,8.80亿,51.51亿,--
19,20,300638,广和通,15.48,-3.19,-0.51,0.19,1.96,0.72,3.31,1.62亿,5.31亿,82.19亿,21.04
20,21,002313,日海智能,8.92,-3.36,-0.31,0.11,2.08,1.07,4.22,0.70亿,3.74亿,33.38亿,--
21,22,300615,欣天科技,11.33,-3.41,-0.4,0.09,1.45,0.96,4.35,0.22亿,1.30亿,14.68亿,36.00
22,23,688592,司南导航,39.78,-3.49,-1.44,0.08,2.19,0.51,3.95,0.12亿,0.14亿,5.40亿,60.52
23,24,300689,澄天伟业,13.93,-3.73,-0.54,-0.29,0.72,0.85,4.49,0.10亿,1.01亿,14.09亿,95.55
24,25,603803,瑞斯康达,6.56,-3.81,-0.26,0.15,1.02,1.05,4.11,0.29亿,4.25亿,27.87亿,--
25,26,600355,精伦电子,3.74,-4.35,-0.17,0.0,3.36,1.26,5.12,0.63亿,4.92亿,18.40亿,--
26,27,688027,国盾量子,166.0,-4.41,-7.66,-0.01,2.01,1.1,5.35,2.69亿,0.80亿,133.42亿,--
27,28,300205,ST天喻,6.65,-8.4,-0.61,-0.45,1.89,0.83,7.85,0.55亿,4.25亿,28.24亿,58.79
