,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300818,耐普矿机,40.65,11.8,4.29,-0.25,8.41,1.58,13.92,2.05亿,0.63亿,25.78亿,53.70
1,2,000410,沈阳机床,7.29,4.29,0.3,0.0,1.94,5.46,6.29,2.38亿,16.81亿,122.54亿,--
2,3,301032,新柴股份,8.36,3.98,0.32,0.6,11.59,2.46,9.83,0.79亿,0.83亿,6.90亿,331.13
3,4,873305,九菱科技,16.36,3.54,0.56,0.0,11.77,3.34,11.77,0.22亿,0.11亿,1.83亿,20.93
4,5,600558,大西洋,4.44,3.26,0.14,0.0,4.45,1.41,6.05,1.76亿,8.98亿,39.85亿,41.86
5,6,873570,坤博精工,54.88,2.87,1.53,0.0,12.08,1.15,4.89,0.51亿,0.08亿,4.22亿,33.30
6,7,300402,宝色股份,17.61,2.86,0.49,0.06,6.12,1.99,11.1,2.59亿,2.44亿,42.90亿,66.91
7,8,836807,奔朗新材,5.51,2.8,0.15,0.0,2.96,4.04,8.96,0.13亿,0.80亿,4.41亿,22.16
8,9,688257,新锐股份,23.3,2.73,0.62,0.3,1.1,1.13,3.92,0.24亿,0.95亿,22.24亿,18.00
9,10,002884,凌霄泵业,20.03,2.67,0.52,-0.05,1.1,1.1,4.15,0.60亿,2.73亿,54.69亿,19.20
10,11,605100,华丰股份,16.01,2.37,0.37,-0.31,7.15,1.2,9.14,1.99亿,1.70亿,27.21亿,34.42
11,12,831855,浙江大农,9.21,1.99,0.18,0.0,4.73,1.51,4.98,0.09亿,0.21亿,1.94亿,15.38
12,13,688648,中邮科技,27.13,1.92,0.51,0.0,18.85,0.84,8.04,1.44亿,0.29亿,7.80亿,51.54
13,14,300193,佳士科技,8.02,1.65,0.13,0.0,1.68,1.18,3.42,0.58亿,4.37亿,35.02亿,19.44
14,15,300228,富瑞特装,8.25,1.23,0.1,-0.12,3.32,1.24,3.19,1.47亿,5.43亿,44.79亿,90.85
15,16,600202,哈空调,5.1,1.19,0.06,0.0,2.29,1.27,3.57,0.44亿,3.83亿,19.55亿,62.38
16,17,002444,巨星科技,26.7,0.87,0.23,-0.15,1.58,1.11,5.44,4.90亿,11.51亿,307.38亿,15.99
17,18,301448,开创电气,27.61,0.77,0.21,-0.11,11.83,0.76,4.56,0.66亿,0.20亿,5.52亿,41.52
18,19,002871,伟隆股份,9.31,0.65,0.06,0.0,3.75,0.95,3.35,0.41亿,1.19亿,11.12亿,16.16
19,20,301559,中集环科,17.01,0.41,0.07,0.12,2.42,1.24,1.59,0.35亿,0.85亿,14.37亿,17.13
20,21,300179,四方达,7.99,0.38,0.03,0.25,1.3,1.04,2.89,0.39亿,3.76亿,30.04亿,28.22
21,22,603201,常润股份,24.72,0.33,0.08,0.0,1.38,0.74,2.35,0.16亿,0.46亿,11.35亿,16.55
22,23,688211,中科微至,31.2,0.29,0.09,0.26,0.29,0.73,1.35,0.06亿,0.65亿,20.28亿,200.15
23,24,002639,雪人股份,7.12,0.28,0.02,0.0,2.29,1.06,3.52,1.05亿,6.51亿,46.32亿,232.16
24,25,000039,中集集团,9.61,0.21,0.02,-0.1,2.26,1.69,4.38,4.95亿,23.01亿,221.16亿,123.02
25,26,300992,泰福泵业,18.95,0.16,0.03,-0.11,4.82,1.63,3.33,0.39亿,0.44亿,8.25亿,33.73
26,27,603090,宏盛股份,22.77,0.13,0.03,-0.04,1.04,0.51,2.46,0.24亿,1.00亿,22.77亿,42.34
27,28,002342,巨力索具,3.66,0.0,0.0,0.0,1.23,1.03,1.91,0.43亿,9.55亿,34.94亿,239.61
28,29,300157,新锦动力,3.03,0.0,0.0,0.33,3.79,1.1,4.95,0.80亿,6.97亿,21.13亿,--
29,30,301261,恒工精密,46.7,0.0,0.0,0.06,4.78,0.69,4.07,0.46亿,0.21亿,9.76亿,37.82
30,31,603699,纽威股份,17.73,0.0,0.0,0.0,0.75,1.19,2.6,0.99亿,7.49亿,132.81亿,17.18
31,32,834950,迅安科技,18.01,0.0,0.0,0.0,1.45,0.88,1.11,0.03亿,0.12亿,2.16亿,15.00
32,33,839725,惠丰钻石,14.34,0.0,0.0,0.0,2.4,0.57,3.98,0.15亿,0.42亿,6.03亿,18.93
33,34,688577,浙海德曼,67.2,-0.01,-0.01,0.02,0.67,0.85,4.7,0.24亿,0.54亿,36.43亿,121.42
34,35,688557,兰剑智能,31.09,-0.03,-0.01,-0.03,2.38,1.49,3.06,0.54亿,0.73亿,22.70亿,20.55
35,36,688251,井松智能,22.15,-0.09,-0.02,0.41,1.47,0.87,4.65,0.11亿,0.35亿,7.81亿,30.88
36,37,603277,银都股份,28.69,-0.1,-0.03,-0.21,0.16,0.68,2.68,0.19亿,4.17亿,119.75亿,22.25
37,38,601369,陕鼓动力,9.11,-0.11,-0.01,0.11,0.42,0.51,1.43,0.64亿,16.91亿,154.04亿,15.38
38,39,603187,海容冷链,15.7,-0.13,-0.02,-0.06,0.7,0.66,1.91,0.42亿,3.84亿,60.36亿,14.69
39,40,601882,海天精工,27.47,-0.14,-0.04,0.0,0.35,0.51,1.56,0.49亿,5.22亿,143.39亿,23.53
40,41,002282,博深股份,6.67,-0.15,-0.01,0.0,0.86,0.92,1.65,0.28亿,4.87亿,32.47亿,28.17
41,42,300861,美畅股份,28.43,-0.18,-0.05,0.0,1.56,0.99,1.97,1.24亿,2.79亿,79.44亿,7.37
42,43,000530,冰山冷热,4.44,-0.23,-0.01,-0.45,3.26,0.76,2.7,0.86亿,6.00亿,26.64亿,39.06
43,44,301160,翔楼新材,38.35,-0.23,-0.09,0.16,2.15,0.77,2.29,0.34亿,0.42亿,16.11亿,16.58
