,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,000777,中核科技,19.06,3.87,0.71,0.05,9.06,1.3,4.3,6.56亿,3.83亿,73.08亿,--
1,2,301309,万得凯,28.41,2.67,0.74,0.0,3.91,1.0,3.72,0.28亿,0.25亿,7.10亿,17.29
2,3,002150,通润装备,15.43,2.05,0.31,0.0,4.56,2.13,5.42,2.45亿,3.55亿,54.81亿,91.28
3,4,603969,银龙股份,6.15,1.49,0.09,0.0,2.67,1.3,2.81,1.38亿,8.42亿,51.76亿,33.40
4,5,301368,丰立智能,47.47,1.3,0.61,-0.04,12.59,0.91,5.97,3.83亿,0.64亿,30.44亿,310.51
5,6,002438,江苏神通,13.47,1.28,0.17,0.0,4.37,1.22,5.19,2.76亿,4.69亿,63.16亿,20.42
6,7,300402,宝色股份,16.58,0.85,0.14,-0.06,4.24,1.61,5.78,1.73亿,2.44亿,40.39亿,54.93
7,8,301151,冠龙节能,16.17,0.12,0.02,0.0,4.63,0.72,2.17,0.41亿,0.55亿,8.82亿,116.45
8,9,002896,中大力德,33.52,0.12,0.04,0.0,2.76,0.98,3.14,1.41亿,1.51亿,50.67亿,77.34
9,10,603278,大业股份,8.73,0.12,0.01,-0.11,1.7,1.12,4.93,0.50亿,3.42亿,29.84亿,106.22
10,11,688257,新锐股份,25.91,0.08,0.02,0.0,0.75,0.59,2.01,0.18亿,0.95亿,24.74亿,19.58
11,12,002132,恒星科技,2.69,-0.37,-0.01,-0.37,0.83,0.86,2.59,0.31亿,13.99亿,37.65亿,--
12,13,600114,东睦股份,15.41,-0.45,-0.07,0.0,1.78,0.67,3.42,1.71亿,6.16亿,94.98亿,29.25
13,14,002445,中南文化,1.95,-0.51,-0.01,0.0,0.71,0.55,2.04,0.33亿,23.81亿,46.44亿,--
14,15,001306,夏厦精密,61.25,-0.55,-0.34,-0.02,10.99,1.17,5.91,1.01亿,0.15亿,9.30亿,49.19
15,16,873169,七丰精工,6.11,-0.65,-0.04,0.0,2.1,0.66,6.5,0.07亿,0.50亿,3.08亿,78.37
16,17,301160,翔楼新材,43.87,-0.66,-0.29,0.05,2.26,0.45,1.95,0.42亿,0.42亿,18.43亿,17.14
17,18,300421,力星股份,8.88,-0.67,-0.06,-0.11,2.61,1.03,4.03,0.53亿,2.31亿,20.47亿,42.41
18,19,600558,大西洋,4.25,-0.7,-0.03,-0.24,1.36,0.68,2.1,0.52亿,8.98亿,38.15亿,31.75
19,20,301261,恒工精密,44.64,-0.78,-0.35,0.14,5.41,1.12,4.38,0.51亿,0.21亿,9.33亿,31.46
20,21,601002,晋亿实业,3.72,-0.8,-0.03,-0.27,0.42,0.59,1.87,0.15亿,9.54亿,35.51亿,--
21,22,301255,通力科技,31.32,-0.82,-0.26,0.0,3.29,0.64,2.6,0.28亿,0.27亿,8.52亿,56.12
22,23,300092,科新机电,10.76,-0.83,-0.09,-0.19,3.57,0.94,2.86,0.80亿,2.10亿,22.58亿,15.48
