,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,601077,渝农商行,5.16,2.79,0.14,-0.19,1.12,1.83,2.99,5.10亿,88.36亿,455.94亿,4.16
1,2,601128,常熟银行,7.79,1.96,0.15,0.0,1.16,1.24,2.88,2.61亿,29.08亿,226.51亿,6.17
2,3,002966,苏州银行,8.0,1.27,0.1,0.25,1.11,0.76,2.15,3.17亿,35.64亿,285.10亿,5.04
3,4,601009,南京银行,10.37,1.17,0.12,0.29,0.25,0.78,1.66,2.42亿,92.13亿,955.35亿,4.7
4,5,601998,中信银行,7.21,1.12,0.08,0.0,0.09,0.66,2.1,2.35亿,385.74亿,2781.21亿,5.02
5,6,601328,交通银行,7.05,1.0,0.07,-0.42,0.26,1.19,1.58,7.30亿,392.51亿,2767.19亿,5.24
6,7,600919,江苏银行,8.27,0.98,0.08,0.0,0.48,0.88,1.1,7.24亿,182.70亿,1510.91亿,4.2
7,8,002807,江阴银行,4.14,0.98,0.04,0.24,1.15,0.77,1.71,1.16亿,24.59亿,101.82亿,7.29
8,9,603323,苏农银行,5.24,0.96,0.05,0.19,1.36,0.77,1.54,1.10亿,15.45亿,80.94亿,5.71
9,10,601997,贵阳银行,5.86,0.69,0.04,0.17,0.83,0.76,1.38,1.73亿,35.69亿,209.15亿,3.46
10,11,601988,中国银行,4.44,0.68,0.03,0.0,0.06,0.84,0.91,5.97亿,2107.66亿,9357.99亿,5.84
11,12,601963,重庆银行,7.85,0.64,0.05,-0.25,0.48,0.68,1.15,0.49亿,12.97亿,101.78亿,4.42
12,13,601818,光大银行,3.24,0.62,0.02,-0.31,0.23,0.9,1.24,3.43亿,464.07亿,1503.58亿,3.85
13,14,002936,郑州银行,1.91,0.53,0.01,0.0,0.59,0.61,1.05,0.76亿,66.99亿,127.94亿,4.49
14,15,601169,北京银行,5.82,0.52,0.03,-0.17,0.25,0.95,1.21,3.10亿,211.43亿,1230.52亿,3.91
15,16,600016,民生银行,3.91,0.51,0.02,-0.26,0.36,1.02,0.77,5.03亿,354.62亿,1386.57亿,3.19
16,17,601838,成都银行,15.8,0.51,0.08,-0.13,0.41,0.96,1.27,2.49亿,38.07亿,601.44亿,5.28
17,18,600908,无锡银行,5.65,0.35,0.02,0.18,0.68,0.6,1.24,0.73亿,19.10亿,107.93亿,5.18
18,19,002958,青农商行,2.83,0.35,0.01,0.0,0.68,0.77,1.77,0.96亿,49.26亿,139.42亿,3.59
19,20,600928,西安银行,3.57,0.28,0.01,0.28,0.4,0.68,1.12,0.63亿,44.21亿,157.84亿,5.81
20,21,002948,青岛银行,3.63,0.28,0.01,0.28,0.95,0.71,1.93,1.07亿,31.10亿,112.89亿,4.89
21,22,601187,厦门银行,5.86,0.17,0.01,0.0,0.93,0.66,1.37,0.70亿,12.82亿,75.15亿,5.14
22,23,600015,华夏银行,6.89,0.14,0.01,-0.15,0.26,1.3,1.31,2.76亿,153.87亿,1060.18亿,4.65
23,24,601939,建设银行,7.04,0.14,0.01,-0.14,0.87,0.83,0.57,5.89亿,95.94亿,675.39亿,5.07
24,25,002142,宁波银行,24.77,0.04,0.01,0.45,0.36,0.84,1.86,5.74亿,65.25亿,1616.25亿,5.83
25,26,600926,杭州银行,13.59,0.0,0.0,0.3,0.35,0.82,1.18,2.53亿,53.63亿,728.80亿,3.92
26,27,001227,兰州银行,2.53,0.0,0.0,0.0,0.85,0.49,0.79,0.60亿,27.68亿,70.04亿,6.6
27,28,601288,农业银行,4.39,0.0,0.0,0.0,0.07,0.69,0.68,9.52亿,3192.44亿,14014.80亿,5.46
28,29,002839,张家港行,4.39,0.0,0.0,0.0,0.95,0.71,1.37,0.87亿,20.72亿,90.98亿,4.37
29,30,601916,浙商银行,2.98,0.0,0.0,0.0,0.38,0.88,1.34,2.42亿,215.44亿,642.02亿,3.46
30,31,000001,平安银行,11.11,-0.09,-0.01,-0.09,0.43,0.6,0.72,9.21亿,194.06亿,2155.96亿,3.61
31,32,600036,招商银行,34.28,-0.17,-0.06,-0.18,0.25,0.86,0.93,17.53亿,206.29亿,7071.60亿,5.68
32,33,601398,工商银行,5.43,-0.18,-0.01,-0.37,0.08,0.94,0.73,11.10亿,2696.12亿,14639.90亿,5.52
33,34,601528,瑞丰银行,5.22,-0.19,-0.01,-0.19,1.36,0.69,1.15,0.56亿,7.90亿,41.26亿,6.44
34,35,601665,齐鲁银行,5.0,-0.2,-0.01,-0.2,0.56,0.67,1.2,0.72亿,25.74亿,128.69亿,5.13
35,36,601166,兴业银行,17.89,-0.28,-0.05,-0.39,0.32,0.97,0.89,12.08亿,207.74亿,3716.52亿,3.82
36,37,601577,长沙银行,8.59,-0.35,-0.03,0.0,0.41,0.81,1.16,1.40亿,40.21亿,345.37亿,4.13
37,38,601860,紫金银行,2.7,-0.37,-0.01,0.0,1.0,0.72,1.11,0.96亿,35.41亿,95.60亿,6.1
38,39,601658,邮储银行,5.03,-0.4,-0.02,-0.4,0.15,0.88,1.39,5.16亿,671.22亿,3376.26亿,4.81
39,40,601825,沪农商行,7.9,-0.63,-0.05,0.25,0.57,1.04,2.14,2.09亿,46.22亿,365.12亿,5.36
40,41,600000,浦发银行,8.34,-0.71,-0.06,0.0,0.18,1.07,1.67,4.50亿,293.52亿,2447.97亿,3.51
41,42,601229,上海银行,7.81,-0.76,-0.06,-0.38,0.33,0.8,1.14,3.58亿,138.48亿,1081.50亿,4.51
