,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301106,骏成科技,35.8,13.65,4.3,-0.28,46.22,2.61,14.92,4.65亿,0.29亿,10.45亿,42.20
1,2,301321,翰博高新,13.75,6.18,0.8,0.22,4.6,0.74,6.79,0.93亿,1.48亿,20.29亿,--
2,3,301045,天禄科技,20.28,4.86,0.94,0.0,7.37,0.84,6.21,0.82亿,0.55亿,11.22亿,108.60
3,4,002217,*ST合泰,1.37,4.58,0.06,0.74,3.22,0.95,6.87,1.34亿,31.16亿,42.69亿,--
4,5,300909,汇创达,23.95,4.31,0.99,0.04,6.49,1.19,5.66,1.78亿,1.14亿,27.36亿,80.81
5,6,002106,莱宝高科,10.97,4.18,0.44,-0.27,2.69,1.69,5.22,2.07亿,7.04亿,77.24亿,16.49
6,7,688496,清越科技,10.78,3.65,0.38,0.0,1.45,1.71,5.77,0.37亿,2.34亿,25.18亿,--
7,8,605218,伟时电子,17.99,3.63,0.63,0.0,2.05,1.56,5.82,0.78亿,2.13亿,38.29亿,85.69
8,9,300076,GQY视讯,3.7,3.35,0.12,-0.27,2.76,1.21,4.47,0.43亿,4.24亿,15.69亿,--
9,10,688055,龙腾光电,3.52,3.23,0.11,0.0,0.14,1.23,4.69,0.17亿,33.33亿,117.33亿,--
10,11,002289,ST宇顺,4.02,3.08,0.12,0.75,0.94,0.62,5.64,0.10亿,2.64亿,10.62亿,--
11,12,002845,同兴达,13.85,2.97,0.4,0.0,5.39,1.06,4.01,1.68亿,2.25亿,31.15亿,151.82
12,13,301379,天山电子,25.92,2.13,0.54,0.12,4.9,1.16,3.98,0.84亿,0.67亿,17.30亿,25.99
13,14,300120,经纬辉开,5.43,2.07,0.11,0.0,2.27,0.64,3.2,0.64亿,5.21亿,28.31亿,24.76
14,15,000020,深华发A,11.43,1.96,0.22,0.0,1.16,0.98,2.59,0.24亿,1.81亿,20.71亿,150.25
15,16,000045,深纺织A,8.78,1.86,0.16,0.11,0.81,1.11,2.9,0.32亿,4.57亿,40.13亿,53.51
16,17,002952,亚世光电,23.52,1.77,0.41,0.0,3.54,1.01,3.55,1.11亿,1.32亿,31.06亿,124.68
17,18,000536,华映科技,2.33,1.75,0.04,0.0,1.25,0.92,3.49,0.81亿,27.63亿,64.38亿,--
18,19,300088,长信科技,4.84,1.68,0.08,0.0,1.31,1.02,3.36,1.55亿,24.43亿,118.23亿,60.04
19,20,002765,蓝黛科技,5.43,1.5,0.08,-0.18,1.27,0.84,2.06,0.41亿,5.96亿,32.36亿,24.91
20,21,002387,维信诺,6.90,1.47,0.10,0.00,0.96,0.76,3.53,0.92亿,13.84亿,95.49亿,--
21,22,688299,长阳科技,12.50,1.46,0.18,0.08,1.54,1.17,2.44,0.55亿,2.87亿,35.85亿,110.27
22,23,300128,锦富技术,3.49,1.45,0.05,-0.29,1.48,0.52,4.36,0.67亿,12.99亿,45.34亿,--
23,24,600707,彩虹股份,7.09,1.29,0.09,-0.14,0.80,0.87,3.57,2.06亿,35.88亿,254.37亿,22.91
24,25,688181,八亿时空,19.12,1.27,0.24,-0.31,1.44,1.22,2.65,0.37亿,1.34亿,25.71亿,33.49
25,26,300545,联得装备,24.57,1.24,0.30,0.00,4.23,1.17,3.21,1.17亿,1.12亿,27.50亿,23.87
26,27,001308,康冠科技,23.77,1.15,0.27,0.00,2.54,1.18,1.45,0.47亿,0.77亿,18.39亿,22.01
27,28,300939,秋田微,28.60,1.13,0.32,-0.04,1.64,1.28,2.58,0.56亿,1.20亿,34.32亿,35.63
28,29,600552,凯盛科技,10.05,0.80,0.08,0.00,0.93,0.67,1.91,0.88亿,9.45亿,94.93亿,172.19
29,30,000727,冠捷科技,2.16,0.47,0.01,-0.46,0.90,1.08,2.33,0.89亿,45.30亿,97.84亿,454.86
30,31,603703,盛洋科技,10.17,0.40,0.04,-0.20,0.51,0.80,1.09,0.22亿,4.15亿,42.20亿,284.40
31,32,003019,宸展光电,27.29,0.37,0.10,0.15,2.80,0.82,2.50,1.25亿,1.64亿,44.70亿,17.12
32,33,000413,东旭光电,--,--,--,--,--,--,--,--,50.29亿,71.92亿,--
33,34,000509,华塑控股,2.98,0.00,0.00,0.00,0.31,0.63,2.35,0.10亿,10.73亿,31.98亿,2602.70
34,35,000050,深天马A,7.51,-0.13,-0.01,0.00,1.39,2.69,3.99,2.50亿,23.76亿,178.42亿,--
35,36,603773,沃格光电,22.42,-0.36,-0.08,0.00,4.86,0.47,3.73,2.24亿,2.03亿,45.58亿,--
36,37,688538,和辉光电,2.07,-0.48,-0.01,-0.48,0.53,1.47,1.92,0.64亿,57.52亿,119.07亿,--
37,38,000725,京东方A,4.08,-0.73,-0.03,0.00,0.75,0.74,2.19,11.33亿,368.56亿,1503.75亿,39.04
38,39,002876,三利谱,25.70,-0.85,-0.22,0.31,4.29,1.70,2.85,1.66亿,1.49亿,38.24亿,36.34
39,40,002955,鸿合科技,24.70,-0.92,-0.23,-0.20,1.37,0.72,2.57,0.63亿,1.85亿,45.81亿,57.95
40,41,000100,TCL科技,4.28,-0.93,-0.04,-0.23,1.34,0.98,3.01,10.52亿,180.99亿,774.62亿,83.73
41,42,873001,纬达光电,8.34,-1.53,-0.13,0.0,4.93,0.62,3.19,0.16亿,0.38亿,3.20亿,43.86
