,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603507,振江股份,21.16,5.48,1.1,48233,100777691.0,8.42,21.52,19.83,20.15,20.06,2.62,15.79,1.59
1,2,300690,双一科技,17.38,2.96,0.5,84044,145345877.7,5.81,17.74,16.76,16.81,16.88,7.63,61.07,2.04
2,3,301163,宏德股份,18.09,1.97,0.35,8080,14438844.31,2.87,18.16,17.65,17.65,17.74,2.42,39.48,1.33
3,4,002487,大金重工,19.16,1.97,0.37,84716,160925599.34,3.83,19.33,18.61,18.81,18.79,1.34,35.14,1.75
4,5,600072,中船科技,12.58,1.7,0.21,327985,412051530.0,4.85,12.85,12.25,12.6,12.37,3.03,-115.96,1.76
5,6,301040,中环海陆,10.83,1.69,0.18,22466,24177751.0,3.94,10.92,10.5,10.65,10.65,2.92,-14.69,1.19
6,7,603218,日月股份,10.93,1.58,0.17,112844,121506733.0,3.53,10.96,10.58,10.79,10.76,1.1,13.36,1.1
7,8,601218,吉鑫科技,2.72,1.49,0.04,73382,19779644.0,2.61,2.73,2.66,2.7,2.68,0.75,39.62,0.94
8,9,301063,海锅股份,13.63,1.19,0.16,12510,16890726.0,2.75,13.69,13.32,13.54,13.47,2.05,44.31,0.93
9,10,300185,通裕重工,1.79,1.13,0.02,193410,34423663.88,2.26,1.8,1.76,1.77,1.77,0.53,85.96,1.05
10,11,300904,威力传动,37.36,1.11,0.41,5394,20085305.0,1.76,37.55,36.9,36.99,36.95,2.45,75.75,3.39
11,12,301456,盘古智能,19.4,1.09,0.21,5279,10178663.0,1.77,19.45,19.11,19.24,19.19,0.93,48.85,1.38
12,13,605305,中际联合,22.22,1.09,0.24,18300,40189882.0,3.87,22.4,21.55,21.81,21.98,0.86,16.81,1.96
13,14,688660,电气风电,3.04,1.0,0.03,27476,8283426.0,2.33,3.05,2.98,3.01,3.01,0.21,-5.24,0.74
14,15,603985,恒润股份,9.32,0.98,0.09,54828,50399021.0,4.12,9.4,9.02,9.23,9.23,1.24,-64.28,1.24
15,16,688349,三一重能,23.37,0.95,0.22,11389,26501854.0,2.94,23.66,22.98,23.36,23.15,0.6,33.05,2.33
16,17,601615,明阳智能,8.43,0.6,0.05,151121,126458046.0,2.39,8.48,8.28,8.39,8.38,0.67,14.49,0.71
17,18,300129,泰胜风能,6.42,0.47,0.03,50861,32455075.0,1.88,6.44,6.32,6.42,6.39,0.77,23.17,1.37
18,19,002202,金风科技,8.22,0.37,0.03,262846,214470125.89,2.08,8.25,8.08,8.19,8.19,0.77,12.52,0.95
19,20,300569,天能重工,4.0,0.25,0.01,46031,18313423.9,2.01,4.02,3.94,4.01,3.99,0.49,31.44,0.74
20,21,600458,时代新材,8.71,0.23,0.02,35118,30290705.0,2.65,8.75,8.52,8.75,8.69,0.44,16.18,1.22
21,22,301232,飞沃科技,23.4,0.21,0.05,11089,25875417.2,2.48,23.59,23.01,23.48,23.35,2.53,-18.0,1.19
22,23,300443,金雷股份,15.15,-0.07,-0.01,27649,41558752.16,2.51,15.21,14.83,15.19,15.16,1.14,32.76,0.81
23,24,300850,新强联,14.6,-0.07,-0.01,47530,68926914.0,3.01,14.77,14.33,14.66,14.61,1.94,-25.99,1.1
24,25,002531,天顺风能,6.81,-0.29,-0.02,82181,55694635.8,2.78,6.89,6.7,6.83,6.83,0.46,28.33,1.36
25,26,603063,禾望电气,11.58,-0.34,-0.04,54754,63196665.0,3.61,11.81,11.39,11.81,11.62,1.24,16.58,1.28
26,27,301155,海力风电,38.0,-0.91,-0.35,10499,39830058.02,3.13,38.79,37.59,38.37,38.35,1.15,38.38,1.51
27,28,300772,运达股份,9.63,-1.03,-0.1,60253,58085934.08,2.36,9.77,9.54,9.73,9.73,0.87,22.91,1.26
