,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603779,威龙股份,9.99,10.02,0.91,0.0,8.71,3.63,13.0,2.78亿,3.33亿,33.24亿,--
1,2,605198,安德利,40.19,6.32,2.39,0.45,2.58,0.97,17.17,2.71亿,2.71亿,108.73亿,54.89
2,3,002568,百润股份,21.59,3.55,0.74,-0.05,4.83,1.9,5.56,7.37亿,7.17亿,154.86亿,25.55
3,4,600084,中信尼雅,6.73,3.54,0.23,0.15,0.33,1.3,4.15,0.24亿,11.24亿,75.63亿,739.14
4,5,600962,国投中鲁,10.21,3.13,0.31,0.0,2.17,1.21,9.19,0.58亿,2.62亿,26.77亿,45.98
5,6,000929,兰州黄河,8.03,2.95,0.23,0.13,6.02,1.92,4.36,0.89亿,1.86亿,14.92亿,99.86
6,7,600189,泉阳泉,9.18,2.34,0.21,0.0,2.01,0.81,4.12,1.30亿,7.15亿,65.66亿,131.07
7,8,601579,会稽山,10.47,2.15,0.22,0.19,1.22,1.16,2.63,0.61亿,4.79亿,50.20亿,30.13
8,9,600616,金枫酒业,6.01,1.69,0.1,0.0,1.4,1.05,2.37,0.56亿,6.69亿,40.21亿,38.46
9,10,000752,*ST西发,6.31,1.28,0.08,0.16,0.93,1.36,4.17,0.15亿,2.64亿,16.64亿,--
10,11,300997,欢乐家,15.87,1.15,0.18,-0.19,3.66,0.66,2.36,0.51亿,0.88亿,13.89亿,25.51
11,12,000848,承德露露,8.44,1.08,0.09,0.0,1.0,1.52,1.32,0.89亿,10.53亿,88.83亿,15.03
12,13,600300,维维股份,2.91,1.04,0.03,0.0,1.02,1.08,1.74,0.48亿,16.17亿,47.06亿,22.46
13,14,000568,泸州老窖,192.57,0.84,1.6,-0.01,0.39,1.03,2.88,11.05亿,14.67亿,2825.51亿,20.12
14,15,605337,李子园,13.01,0.7,0.09,0.15,1.2,0.47,2.4,0.61亿,3.94亿,51.32亿,20.36
15,16,600059,古越龙山,9.13,0.66,0.06,-0.11,0.99,0.69,1.1,0.82亿,9.12亿,83.22亿,20.98
16,17,603156,养元饮品,25.59,0.63,0.16,-0.04,0.2,0.88,1.77,0.64亿,12.65亿,323.84亿,18.84
17,18,600573,惠泉啤酒,9.62,0.63,0.06,0.0,1.48,0.85,1.25,0.35亿,2.50亿,24.05亿,28.18
18,19,002646,天佑德酒,11.4,0.53,0.06,-0.09,0.75,0.87,2.56,0.40亿,4.73亿,53.87亿,38.88
19,20,605388,均瑶健康,9.23,0.11,0.01,-0.11,0.84,0.87,2.28,0.33亿,4.30亿,39.69亿,36.07
20,21,605499,东鹏饮料,189.62,0.09,0.17,-0.01,0.42,1.0,1.81,1.28亿,1.59亿,302.01亿,34.36
21,22,000596,古井贡酒,267.0,0.07,0.2,0.0,0.21,0.75,2.99,2.33亿,4.09亿,1090.96亿,27.76
22,23,600519,贵州茅台,1715.11,0.07,1.12,-0.02,0.23,1.33,1.72,50.02亿,12.56亿,21545.20亿,28.83
23,24,002461,珠江啤酒,7.94,0.0,0.0,0.13,0.26,0.88,1.76,0.45亿,22.13亿,175.74亿,28.18
24,25,600238,海南椰岛,8.73,0.0,0.0,0.0,0.97,0.92,3.09,0.38亿,4.45亿,38.85亿,--
25,26,600197,伊力特,21.01,-0.05,-0.01,0.0,0.88,0.73,2.24,0.87亿,4.72亿,99.16亿,32.48
26,27,002304,洋河股份,99.98,-0.12,-0.12,0.08,0.21,0.67,1.83,3.16亿,15.02亿,1501.87亿,11.07
27,28,600809,山西汾酒,253.68,-0.24,-0.62,-0.02,0.15,0.65,1.44,4.72亿,12.20亿,3094.81亿,24.61
28,29,600600,青岛啤酒,80.8,-0.26,-0.21,0.01,0.54,0.71,1.84,3.05亿,7.05亿,569.40亿,25.83
29,30,600543,*ST莫高,5.92,-0.34,-0.02,0.0,1.46,0.57,1.85,0.28亿,3.21亿,19.01亿,--
30,31,000860,顺鑫农业,18.36,-0.43,-0.08,-0.05,1.23,0.69,2.77,1.68亿,7.42亿,136.19亿,--
31,32,603919,金徽酒,20.36,-0.44,-0.09,-0.1,0.47,0.65,2.69,0.49亿,5.07亿,103.28亿,31.41
32,33,000869,张裕A,23.55,-0.47,-0.11,0.09,0.25,0.75,1.86,0.27亿,4.53亿,106.78亿,28.80
33,34,603198,迎驾贡酒,66.07,-0.5,-0.33,-0.05,0.27,0.73,3.3,1.42亿,8.00亿,528.56亿,23.95
34,35,000799,酒鬼酒,57.62,-0.57,-0.33,-0.02,1.09,0.91,2.71,2.05亿,3.25亿,187.22亿,29.33
35,36,000858,五粮液,154.6,-0.58,-0.9,0.01,0.25,0.76,2.36,15.23亿,38.82亿,6000.84亿,19.71
36,37,603711,香飘飘,16.61,-0.6,-0.1,0.06,0.23,0.45,2.87,0.16亿,4.11亿,68.22亿,1468.72
37,38,603589,口子窖,41.11,-0.6,-0.25,0.02,0.68,0.78,2.44,1.66亿,5.97亿,245.37亿,13.72
38,39,000729,燕京啤酒,9.4,-0.63,-0.06,0.0,0.56,0.82,2.11,1.33亿,25.10亿,235.90亿,20.78
39,40,600779,水井坊,48.03,-0.72,-0.35,0.02,0.55,0.89,2.34,1.30亿,4.88亿,234.56亿,17.20
40,41,603369,今世缘,59.0,-0.76,-0.45,0.0,0.23,0.65,2.44,1.75亿,12.54亿,740.15亿,21.06
41,42,000995,皇台酒业,12.56,-0.79,-0.1,-0.48,1.25,0.93,3.24,0.28亿,1.77亿,22.28亿,476.68
42,43,600559,老白干酒,19.4,-1.02,-0.2,-0.05,1.46,0.68,2.96,2.55亿,8.97亿,174.07亿,31.83
43,44,600132,重庆啤酒,65.89,-1.42,-0.95,0.06,0.78,1.05,2.75,2.49亿,4.84亿,318.89亿,23.86
44,45,600702,舍得酒业,78.1,-1.54,-1.22,0.0,2.19,0.92,3.86,5.72亿,3.32亿,259.50亿,14.69
45,46,600199,金种子酒,16.35,-2.04,-0.34,-0.06,2.01,0.88,4.13,2.18亿,6.58亿,107.55亿,--
46,47,600696,岩石股份,13.75,-3.03,-0.43,-0.07,3.09,0.84,5.08,1.44亿,3.34亿,45.99亿,28.75
