,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300945,曼卡龙,12.02,3.89,0.45,0.0,12.34,1.36,6.48,3.51亿,2.38亿,28.63亿,24.43
1,2,603900,莱绅通灵,6.95,2.51,0.17,0.0,11.24,0.84,4.87,2.65亿,3.40亿,23.66亿,--
2,3,600612,老凤祥,78.7,1.09,0.85,0.04,0.67,0.93,3.58,1.66亿,3.17亿,249.56亿,12.84
3,4,605599,菜百股份,15.27,0.93,0.14,-0.2,0.43,0.58,2.31,0.39亿,5.87亿,89.59亿,10.90
4,5,002867,周大生,16.15,0.56,0.09,0.0,1.2,0.99,2.06,2.09亿,10.83亿,174.84亿,12.97
5,6,002345,潮宏基,6.02,0.33,0.02,-0.17,1.8,0.89,2.5,0.94亿,8.67亿,52.21亿,10.22
6,7,600916,中国黄金,11.32,0.09,0.01,0.0,0.99,1.01,2.12,1.89亿,16.80亿,190.18亿,13.09
7,8,002731,萃华珠宝,10.08,-0.2,-0.02,0.0,2.99,0.81,3.66,0.66亿,2.17亿,21.89亿,10.72
8,9,000026,飞亚达,10.19,-0.78,-0.08,-0.1,1.17,0.95,1.85,0.43亿,3.63亿,36.94亿,14.01
9,10,600439,瑞贝卡,2.43,-0.82,-0.02,-0.41,1.5,0.81,3.27,0.41亿,11.32亿,27.51亿,128.21
10,11,002574,明牌珠宝,5.33,-1.11,-0.06,-0.19,1.57,0.91,3.71,0.45亿,5.28亿,28.14亿,34.27
11,12,301177,迪阿股份,24.6,-1.12,-0.28,0.04,3.56,1.02,5.35,0.35亿,0.40亿,9.84亿,83.51
12,13,002721,*ST金一,2.56,-1.54,-0.04,-0.39,0.17,0.51,2.69,0.12亿,26.70亿,68.34亿,647.00
13,14,000017,深中华A,7.42,-2.24,-0.17,0.0,7.93,0.64,5.53,1.80亿,3.03亿,22.48亿,397.55
14,15,600735,新华锦,4.89,-3.93,-0.2,0.21,2.68,1.35,3.34,0.56亿,4.25亿,20.80亿,71.27
