,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600060,海信视像,23.48,1.65,0.38,0.0,0.62,0.85,2.47,1.87亿,12.89亿,302.68亿,14.62
1,2,688696,极米科技,88.36,-0.58,-0.52,0.01,0.5,0.46,2.58,0.31亿,0.70亿,61.85亿,49.85
2,3,002429,兆驰股份,5.09,-0.59,-0.03,-0.2,0.44,0.88,1.95,1.03亿,45.24亿,230.29亿,13.59
3,4,002848,高斯贝尔,9.58,-0.83,-0.08,0.31,9.18,0.48,4.66,1.41亿,1.62亿,15.53亿,--
4,5,000810,创维数字,10.84,-1.63,-0.18,0.0,1.03,0.64,2.45,1.25亿,11.18亿,121.16亿,20.71
5,6,688609,九联科技,11.27,-1.92,-0.22,-0.09,4.84,0.84,6.53,2.67亿,5.00亿,56.35亿,--
6,7,000016,深康佳A,3.34,-2.05,-0.07,0.0,0.97,0.94,2.93,0.52亿,15.97亿,53.33亿,--
7,8,600839,四川长虹,5.31,-2.21,-0.12,0.0,3.03,0.72,3.5,7.43亿,46.15亿,245.05亿,38.40
8,9,301578,辰奕智能,50.09,-3.02,-1.56,0.0,8.29,0.8,4.82,0.47亿,0.11亿,5.70亿,27.85
9,10,002052,ST同洲,2.19,-3.52,-0.08,0.0,1.12,0.83,5.29,0.19亿,7.46亿,16.34亿,--
10,11,000801,四川九洲,12.77,-3.77,-0.5,-0.16,6.79,0.73,6.03,8.75亿,10.23亿,130.61亿,65.19
