,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
0,600598,北大荒,9.17,10.31,2.06,4.52,4.69,"种植业与林业,粮食种植","粮食概念,农业种植,大豆,土地流转,玉米",-0.15,5.0
1,300498,温氏股份,8.32,27.98,-2.32,1.02,2.65,"养殖业,畜禽养殖","养鸡,乳业",-0.85,3.34
2,002714,牧原股份,8.99,44.79,-2.06,0.6,0.6,"养殖业,畜禽养殖",,-1.03,3.33
3,002481,双塔食品,9.58,23.54,0.45,3.44,11.91,"农产品加工,其他农产品加工","人造肉,燃料乙醇",-0.66,4.01
4,000876,新希望,9.22,10.23,-0.93,3.9,3.11,"农产品加工,饲料","猪肉,养鸡",-0.93,3.0
5,002556,辉隆股份,29.12,37.47,13.42,20.49,2.08,"农业服务,农业综合","毛发医疗,煤化工,供销社,医美概念,农村电商,化肥,土地流转,磷化工",4.84,5.0
6,601898,中煤能源,8.72,24.47,4.18,4.97,5.6,煤炭开采加工,煤炭概念,1.8,3.33
7,601918,新集能源,11.79,129.55,3.6,-5.01,-7.73,煤炭开采加工,超超临界发电,1.95,2.67
8,600871,石化油服,8.47,14.04,1.08,4.47,3.89,"油气开采及服务,油服工程","可燃冰,页岩气",-1.06,3.34
9,600339,中油工程,4.75,11.94,1.88,7.26,4.17,"油气开采及服务,油服工程",,0.93,3.0
10,300927,江天化学,47.01,45.48,-0.57,23.83,17.33,"化学原料,其他化学原料",草甘膦,-7.35,3.0
11,603227,雪峰科技,19.87,29.39,8.85,11.86,7.56,"化学原料,其他化学原料",化肥,-1.49,2.67
12,002827,高争民爆,23.27,22.98,11.7,16.5,-2.67,"化学制品,民爆用品",民爆概念,0.27,2.0
13,301036,双乐股份,15.1,53.87,-0.67,13.17,25.23,"化学制品,涂料油墨","光刻胶,染料",-1.21,1.67
14,600889,南京化纤,25.42,25.42,9.2,16.17,5.41,"化工合成材料,粘胶",,3.41,3.34
15,000949,新乡化纤,19.13,19.49,6.76,10.82,0.26,"化工合成材料,氨纶",,-0.79,1.67
16,002075,沙钢股份,7.97,31.83,0.23,12.53,1.38,"钢铁,特钢",特钢概念,1.85,5.0
17,600282,南钢股份,5.43,8.89,-0.89,-0.89,-11.02,"钢铁,普钢",C2M概念,-1.55,2.5
18,300963,中洲特材,28.5,36.36,10.69,7.84,13.84,"金属新材料,其他金属新材料",3D打印,7.98,4.67
19,688456,有研粉材,11.36,30.83,-1.14,0.68,-6.7,"金属新材料,其他金属新材料",,1.34,2.67
20,603378,亚士创能,35.38,59.84,15.17,31.11,38.7,"建筑材料,其他建材","长三角一体化,建筑节能",2.95,4.67
21,002652,扬子新材,37.39,49.12,2.88,10.42,23.28,"建筑材料,其他建材",新材料概念,2.14,2.67
22,301136,招标股份,104.04,104.88,16.82,41.11,30.43,"建筑装饰,工程咨询服务","低空经济,数据要素,时空大数据,数字经济,土壤修复,碳中和,数字乡村,新型城镇化,数字孪生,人工智能,虚拟现实,智能交通,地下管网,福建自贸区,乡村振兴,智慧城市,水利,污水处理,物联网,海峡两岸",-4.52,5.0
23,000159,国际实业,35.36,36.69,10.08,31.62,23.11,"建筑装饰,专业工程","壳资源,新疆振兴",3.26,1.34
24,002685,华东重机,82.97,70.11,-9.46,10.2,37.86,"通用设备,机床工具","新型工业化,TOPCON电池,股权转让,工业母机,光伏概念,航运概念",-0.89,2.0
25,002871,伟隆股份,15.57,30.2,14.49,14.63,17.88,通用设备,"俄乌冲突概念,军民融合,地下管网",10.01,2.0
26,600501,航天晨光,121.88,114.21,-27.77,16.33,34.54,"专用设备,其他专用设备","商业航天,可控核聚变,核污染防治,成飞概念,智能制造,天然气,氢能源,机器人概念,长三角一体化,工业4.0,垃圾分类,大飞机,高端装备,充电桩,光热发电,特高压,军工,核电",-5.5,2.67
27,301079,邵阳液压,115.3,130.81,-5.93,-22.28,28.9,"专用设备,工程机械","宁德时代概念,比亚迪概念,专精特新,工业4.0,水利",-10.06,1.67
28,300557,理工光科,19.39,64.53,-4.72,0.17,-5.62,仪器仪表,,1.56,5.0
29,600192,长城电工,52.23,50.72,16.51,20.49,18.75,"电力设备,输变电设备","燃料电池,风电,智能电网,核电",-9.85,2.33
30,603988,中电电机,85.93,79.87,-18.34,7.73,27.62,"电力设备,电机",,-7.93,1.67
31,300053,航宇微,68.66,67.42,-9.7,26.37,27.81,"半导体及元件,集成电路设计","飞行汽车(eVTOL),时空大数据,东数西算（算力）,专精特新,安防,汽车芯片,集成电路概念,人脸识别",-1.14,2.0
