,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
0,301016,雷尔伟,29.72,51.63,8.52,24.18,29.89,"非汽车交运,轨交设备",,9.42,3.0
1,300819,聚杰微纤,60.1,54.79,-7.79,13.42,21.99,"纺织制造,其他纺织",,1.43,3.0
2,000520,凤凰航运,41.8,66.81,4.32,2.84,16.0,港口航运,航运概念,-4.61,2.67
3,603713,密尔克卫,40.43,97.21,-5.33,2.23,21.16,物流,"统一大市场,自由贸易港,供应链金融,上海自贸区",0.99,3.0
4,601020,华钰矿业,60.44,96.48,11.27,16.73,55.83,"工业金属,铅锌","金属铅,金属铜,金属锌,一带一路,稀缺资源,黄金概念",7.45,3.34
5,603663,三祥新材,33.09,161.15,-11.65,-17.08,-5.63,"小金属,其他小金属",,-2.56,2.33
6,002167,东方锆业,39.61,118.7,-9.34,-13.79,-19.25,小金属,,-1.66,2.33
7,601918,新集能源,8.79,117.63,0.0,-0.1,11.25,煤炭开采,"煤化工,煤炭概念",-1.42,2.0
8,300320,海达股份,53.38,50.67,-1.45,6.5,32.29,其他橡胶制品,,3.27,3.67
9,002532,天山铝业,31.93,85.69,2.7,1.91,19.79,铝,,0.5,4.34
10,300411,金盾股份,15.53,310.4,-17.34,-13.48,-15.51,其他专用设备,"共同富裕示范区,核电",-7.73,2.0
11,000692,*ST惠天,72.22,72.22,8.0,16.55,49.31,热力,,3.51,5.34
12,002125,湘潭电化,63.39,121.37,-5.02,-20.2,26.67,电池,"金属镍,小金属概念,污水处理",2.36,3.33
13,603200,上海洗霸,27.58,92.82,-9.8,-9.96,-1.13,水务及水治理,消毒剂,-2.5,2.0
14,300056,中创环保,43.78,38.66,-3.63,3.81,23.48,综合环境治理,"PVDF概念,PM2.5",1.87,3.34
15,002086,*ST东洋,19.91,24.48,11.67,13.08,6.35,,抗原检测,3.08,2.0
16,002016,世荣兆业,22.63,49.32,-0.82,8.42,19.33,,广东自贸区,3.07,3.01
17,000682,东方电子,7.29,84.45,-0.44,-2.01,10.54,,语音技术,4.37,6.0
18,300105,龙源技术,17.72,88.32,-2.61,-11.71,-0.59,,PM2.5,2.29,3.0
