,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
0,002670,国盛金控,18.09,60.37,16.36,13.78,14.7,证券,,9.97,1.34
1,301239,普瑞眼科,23.35,110.17,15.74,10.21,51.11,医疗服务,,4.12,2.01
2,002640,跨境通,61.46,246.43,33.91,54.82,61.25,贸易行业,"昨日连板,昨日涨停_含一字,拼多多概念,进口博览,无线耳机",9.91,4.0
3,002167,东方锆业,37.89,126.45,14.62,20.63,38.55,小金属,"稀土永磁,小金属概念,黄金概念,核能核电,航母概念",-3.45,2.0
4,300870,欧陆通,35.71,154.93,21.17,19.31,59.5,电源设备,"液冷概念,氮化镓,第三代半导体,无线充电,RCEP概念",-2.09,3.34
5,000925,众合科技,35.98,67.13,24.02,32.08,37.03,交运设备,"时空大数据,无人驾驶,半导体概念,智慧灯杆",9.99,3.33
6,001696,宗申动力,20.93,265.68,5.31,20.03,-6.44,交运设备,"汽车一体化压铸,无线充电,发电机概念",-0.04,1.67
7,603338,浙江鼎力,19.91,32.26,12.67,15.82,14.75,工程机械,,-0.41,1.33
8,300108,*ST吉药,57.94,172.73,-10.94,-20.0,-12.31,中药,,-4.6,2.0
9,600708,光明地产,31.78,132.39,-2.54,25.9,28.86,房地产开发,万达概念,0.0,1.67
10,600979,广安爱众,47.55,85.15,2.83,30.75,26.88,电力行业,,10.02,2.33
11,002743,富煌钢构,24.31,89.24,11.91,14.11,17.68,水泥建材,,3.9,3.33
12,000421,南京公用,44.58,81.84,17.11,28.84,35.64,燃气,,-3.62,2.33
13,300579,数字认证,30.53,83.37,25.93,17.84,23.61,,"财税数字化,DRG/DIP,国资云概念,高送转",19.99,1.67
14,300333,兆日科技,35.06,60.71,27.99,19.9,47.48,,数据安全,20.0,1.67
15,301315,威士顿,26.61,106.67,24.26,10.18,26.32,,ERP概念,20.0,2.0
16,300769,德方纳米,29.54,136.94,13.01,17.04,26.39,,"创业成份,锂矿概念",1.5,1.34
17,002131,利欧股份,100.0,166.91,35.42,60.96,99.46,,"百度概念,字节概念,智能机器,深成500,独角兽,参股新三板,IGBT概念,参股保险,医疗器械概念,第三代半导体,AI语料,基因测序,海绵城市,水利建设,虚拟数字人,低价股",9.88,1.67
18,300473,德尔股份,40.88,119.24,4.31,25.85,21.06,,噪声防治,0.96,3.34
19,002186,全 聚 德,20.46,45.76,17.37,14.61,16.2,,白酒,3.63,2.67
20,002354,天娱数科,90.36,128.62,-10.91,9.87,40.4,,"数据确权,Kimi概念,混合现实,AI语料,短剧互动游戏",5.15,1.34
21,002848,高斯贝尔,16.09,80.4,14.3,16.51,23.95,,被动元件,10.02,2.67
22,300222,科大智能,62.46,167.65,-13.97,18.33,52.99,,"小米汽车,高压快充,特高压,换电概念",9.28,2.66
23,300024,机器人,19.47,145.21,7.95,13.28,54.97,,"人脑工程,央视50_,UWB概念",11.07,2.0
24,002426,胜利精密,34.94,111.45,16.3,26.1,44.04,,"苹果概念,复合集流体",4.67,2.0
25,430425,乐创技术,26.59,232.38,8.46,9.52,67.79,,苹果概念,9.69,2.0
26,300387,富邦股份,24.85,74.53,11.9,14.3,18.19,,合成生物,-3.32,1.34
27,301018,申菱环境,20.71,57.77,6.23,10.46,16.46,,抽水蓄能,-2.2,1.67
28,600712,南宁百货,26.87,109.09,21.57,9.02,17.49,,东盟自贸区概念,5.72,3.0
29,002403,爱仕达,86.06,182.34,-10.5,35.84,74.11,,"换电概念,土地流转",10.02,4.0
30,002638,勤上股份,47.42,111.76,5.98,20.91,19.28,,智慧灯杆,-4.66,1.67
31,000735,罗 牛 山,23.03,55.77,16.49,11.65,13.34,,猪肉概念,-4.01,3.0
32,002486,嘉麟杰,32.59,108.9,22.42,20.26,26.39,,壳资源,3.41,1.67
33,300086,康芝药业,18.33,72.91,7.82,6.96,10.02,,蒙脱石散,-0.74,3.33
34,300135,宝利国际,151.43,151.43,1.03,14.22,28.95,,通用航空,0.0,1.66
35,300189,神农种业,27.27,159.56,15.36,21.11,27.47,,水产养殖,3.51,3.67
36,002170,芭田股份,19.63,75.96,10.5,9.81,13.92,,转基因,2.55,2.0
37,600716,凤凰股份,27.68,65.41,22.09,25.0,23.89,房地产开发,,9.95,1.67
38,603988,中电电机,23.9,133.63,14.61,34.15,60.64,电机,昨日触板,5.22,2.33
39,000712,锦龙股份,49.75,114.21,49.62,39.96,57.01,证券,"券商概念,参股期货,参股保险,并购重组概念,预盈预增",9.98,4.33
40,300561,汇金科技,107.37,520.43,64.38,99.3,176.29,软件开发,"互联金融,国产软件,信创,百度概念,区块链,人工智能,创业板综,物联网,融资融券,股权转让,机构重仓",20.0,3.33
41,300377,赢时胜,63.73,646.84,25.85,55.74,120.24,软件开发,"数字货币,机器人概念,Web3.0,华为概念,深股通,富时罗素,深圳特区,粤港自贸",20.0,1.33
42,002095,生 意 宝,94.65,161.04,36.21,88.34,107.89,互联网服务,"移动支付,互联金融,数据要素,深股通,标准普尔",10.01,2.34
43,002593,日上集团,41.3,76.36,37.85,39.13,44.05,汽车零部件,"胎压监测,装配建筑",10.07,2.0
44,600628,新世界,60.66,95.83,60.96,58.42,60.96,商业百货,"退税商店,进口博览,内贸流通,证金持股,中药概念",9.99,3.0
45,301066,万事利,94.48,148.26,91.53,80.91,104.1,纺织服装,"AIGC概念,化妆品概念,口罩",20.02,3.33
46,002127,南极电商,48.42,84.5,8.88,41.64,50.81,贸易行业,"户外露营,化妆品概念",9.91,1.34
47,300607,拓斯达,167.76,245.37,-1.67,29.27,141.41,通用设备,"机器视觉,工业互联,工业母机,智能机器,工业4.0,飞行汽车(eVTOL),物联网,口罩,转债标的,低空经济",20.02,2.0
