,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300521,爱司凯,27.4,7.07,1.81,0.0,11.5,1.13,8.48,4.38亿,1.44亿,39.46亿,--
1,2,300331,苏大维格,25.87,7.08,1.71,0.04,19.0,3.92,13.62,9.80亿,2.01亿,51.96亿,127.97
2,3,300177,中海达,15.47,11.29,1.57,0.0,38.27,2.54,23.17,35.74亿,6.06亿,93.80亿,--
3,4,300930,屹通新材,30.95,4.0,1.19,-0.03,17.38,1.71,13.95,2.53亿,0.47亿,14.59亿,58.12
4,5,300866,安克创新,90.4,1.25,1.12,-0.09,1.5,1.02,5.15,4.02亿,2.96亿,267.95亿,24.48
5,6,688716,中研股份,42.27,2.4,0.99,-0.05,25.58,1.03,11.6,7.51亿,0.68亿,28.57亿,129.22
6,7,300220,金运激光,18.21,3.11,0.55,0.11,14.76,1.03,9.06,4.07亿,1.51亿,27.50亿,2019.18
7,8,002348,高乐股份,4.9,6.52,0.3,0.0,23.69,1.57,10.22,10.46亿,8.89亿,43.56亿,--
8,9,002339,积成电子,7.82,2.62,0.2,-0.13,10.82,2.29,9.05,4.06亿,4.79亿,37.44亿,--
9,10,301555,惠柏新材,28.66,0.04,0.01,0.04,14.29,2.57,6.88,2.03亿,0.48亿,13.86亿,--
10,11,001368,通达创智,21.66,0.00,0.00,-0.09,18.45,3.40,6.46,1.28亿,0.31亿,6.82亿,22.05
11,12,603958,哈森股份,--,--,--,--,--,--,--,--,2.19亿,32.58亿,--
12,13,002721,ST金一,2.59,-1.15,-0.03,0.39,1.36,0.71,2.29,0.94亿,26.70亿,69.14亿,8451.82
13,14,603977,国泰集团,13.95,-0.29,-0.04,-0.14,1.28,0.98,4.07,1.13亿,6.21亿,86.66亿,29.74
14,15,600115,中国东航,4.25,-1.39,-0.06,-0.24,0.41,0.59,2.09,3.02亿,171.15亿,727.37亿,--
15,16,300230,永利股份,5.06,-1.94,-0.10,0.00,3.10,0.65,1.94,0.99亿,6.30亿,31.87亿,19.15
16,17,603002,宏昌电子,6.26,-1.57,-0.10,0.00,5.10,0.42,3.15,3.54亿,11.02亿,69.00亿,145.02
17,18,002361,神剑股份,4.52,-2.38,-0.11,0.44,4.41,0.66,2.38,1.60亿,8.02亿,36.25亿,110.39
18,19,002545,东方铁塔,7.56,-1.43,-0.11,0.00,1.57,0.65,2.61,1.35亿,11.30亿,85.44亿,15.13
19,20,002375,亚厦股份,4.50,-2.60,-0.12,0.00,2.74,0.59,3.46,1.65亿,13.27亿,59.71亿,17.87
20,21,605005,合兴股份,16.65,-0.72,-0.12,-0.12,0.34,0.79,1.55,0.23亿,4.01亿,66.77亿,25.48
21,22,002084,海鸥住工,3.58,-3.5,-0.13,0.28,2.62,1.0,4.31,0.61亿,6.42亿,22.98亿,--
22,23,002526,山东矿机,4.44,-2.85,-0.13,0.0,16.97,0.62,6.78,13.45亿,17.58亿,78.03亿,54.18
23,24,002529,海源复材,9.17,-1.4,-0.13,0.11,5.1,0.72,3.66,1.24亿,2.60亿,23.84亿,--
24,25,600705,中航产融,4.0,-3.15,-0.13,0.0,1.41,0.9,2.66,5.01亿,88.04亿,352.18亿,44.17
25,26,300221,银禧科技,6.69,-2.34,-0.16,-0.15,6.7,0.72,2.19,2.04亿,4.53亿,30.28亿,61.24
26,27,002698,博实股份,18.45,-0.97,-0.18,0.0,3.65,0.63,3.22,5.74亿,8.41亿,155.25亿,31.02
27,28,002691,冀凯股份,6.51,-2.84,-0.19,0.15,2.61,0.57,2.98,0.57亿,3.36亿,21.87亿,--
28,29,002730,电光科技,8.32,-2.35,-0.2,0.0,1.39,0.64,2.35,0.40亿,3.46亿,28.79亿,33.62
29,30,000928,中钢国际,6.81,-2.99,-0.21,0.0,2.2,1.3,3.13,2.17亿,14.35亿,97.70亿,11.44
30,31,002420,毅昌科技,6.26,-3.25,-0.21,0.0,3.08,1.03,2.94,0.77亿,3.95亿,24.71亿,26.80
31,32,300024,机器人,21.78,-0.95,-0.21,-0.05,12.11,0.85,5.96,40.90亿,15.33亿,333.84亿,--
32,33,300227,光韵达,10.01,-2.06,-0.21,0.1,7.44,0.95,3.13,3.13亿,4.13亿,41.30亿,114.53
33,34,301069,凯盛新材,16.64,-1.25,-0.21,0.24,3.14,0.61,2.85,2.07亿,3.92亿,65.22亿,100.48
34,35,600579,克劳斯,7.45,-2.74,-0.21,0.13,2.28,0.81,2.87,0.85亿,4.95亿,36.86亿,--
35,36,605376,博迁新材,31.25,-0.7,-0.22,-0.13,1.38,0.6,2.64,1.13亿,2.62亿,81.75亿,72.06
36,37,603928,兴业股份,9.72,-2.31,-0.23,0.1,1.61,0.6,2.41,0.41亿,2.62亿,25.47亿,52.23
37,38,688203,海正生材,10.71,-2.1,-0.23,0.0,1.27,0.98,2.56,0.16亿,1.18亿,12.61亿,48.66
38,39,000009,中国宝安,9.71,-2.41,-0.24,-0.1,1.22,1.44,2.61,3.03亿,25.51亿,247.74亿,48.74
39,40,002786,银宝山新,11.44,-2.06,-0.24,0.0,3.62,0.79,2.14,2.06亿,4.94亿,56.53亿,--
40,41,300345,华民股份,6.54,-3.68,-0.25,0.0,2.58,0.76,3.09,0.76亿,4.44亿,29.04亿,--
41,42,300004,南风股份,6.87,-3.65,-0.26,0.0,3.06,1.02,3.23,1.02亿,4.80亿,32.98亿,58.93
42,43,600720,中交设计,9.27,-2.73,-0.26,0.43,3.28,2.28,3.36,2.37亿,7.76亿,71.95亿,16.27
43,44,000837,秦川机床,9.92,-2.84,-0.29,-0.1,4.15,0.69,5.49,4.06亿,9.68亿,96.07亿,133.42
44,45,002540,亚太科技,6.39,-4.34,-0.29,-0.31,3.84,1.0,4.04,2.17亿,8.68亿,55.44亿,17.10
45,46,688786,悦安新材,25.37,-1.21,-0.31,0.08,0.9,0.44,2.65,0.27亿,1.20亿,30.40亿,40.48
46,47,688231,隆达股份,15.52,-2.02,-0.32,0.06,0.97,0.87,1.51,0.19亿,1.26亿,19.62亿,48.06
47,48,300433,蓝思科技,21.98,-1.48,-0.33,0.23,0.62,0.83,1.93,6.77亿,49.65亿,1091.33亿,34.65
48,49,301216,万凯新材,11.15,-2.88,-0.33,0.18,2.1,1.35,3.05,0.67亿,2.85亿,31.74亿,--
49,50,603112,华翔股份,13.41,-2.4,-0.33,0.0,1.77,2.02,3.64,1.04亿,4.36亿,58.51亿,13.87
50,51,688236,春立医疗,14.41,-2.24,-0.33,-0.07,2.23,0.8,2.92,0.26亿,0.79亿,11.43亿,67.79
51,52,000969,安泰科技,11.79,-2.8,-0.34,-0.09,3.24,0.73,2.14,3.95亿,10.26亿,120.97亿,27.32
52,53,600980,北矿科技,16.18,-2.12,-0.35,-0.43,1.76,1.01,2.12,0.50亿,1.76亿,28.42亿,29.15
53,54,603527,众源新材,10.16,-3.42,-0.36,0.0,6.74,0.76,3.33,2.19亿,3.17亿,32.20亿,26.35
54,55,688433,华曙高科,26.15,-1.36,-0.36,0.0,2.54,0.92,4.83,1.22亿,1.88亿,49.09亿,185.46
55,56,002171,楚江新材,9.18,-3.87,-0.37,0.0,3.87,0.99,6.18,5.16亿,14.54亿,133.45亿,629.03
56,57,688102,斯瑞新材,9.66,-3.69,-0.37,-0.1,2.04,0.87,3.69,0.83亿,4.18亿,40.41亿,67.33
57,58,002302,西部建设,7.32,-4.93,-0.38,0.0,3.1,0.75,4.42,2.92亿,12.62亿,92.40亿,715.28
58,59,300963,中洲特材,9.44,-3.87,-0.38,-0.21,3.47,0.77,3.77,0.66亿,2.01亿,18.93亿,31.86
59,60,688199,久日新材,17.35,-2.31,-0.41,-0.12,1.65,0.84,2.65,0.47亿,1.61亿,27.97亿,--
60,61,300337,银邦股份,13.01,-3.2,-0.43,0.0,5.12,0.89,2.75,4.78亿,7.11亿,92.55亿,73.25
61,62,603308,应流股份,13.47,-3.23,-0.45,-0.22,1.45,1.38,3.09,1.34亿,6.79亿,91.47亿,30.25
62,63,605589,圣泉集团,23.39,-2.05,-0.49,0.09,1.67,1.15,2.64,3.04亿,7.79亿,182.10亿,25.57
63,64,688291,金橙子,21.9,-2.19,-0.49,-0.05,2.46,0.85,3.62,0.18亿,0.34亿,7.37亿,61.36
64,65,300210,森远股份,12.29,-3.91,-0.5,-0.08,4.38,1.11,5.47,2.63亿,4.84亿,59.43亿,--
65,66,300653,正海生物,22.86,-2.14,-0.5,0.0,1.29,0.73,2.44,0.53亿,1.80亿,41.15亿,24.68
66,67,688210,统联精密,20.49,-2.38,-0.5,0.1,4.49,1.0,3.72,1.00亿,1.07亿,21.95亿,47.22
67,68,002886,沃特股份,18.39,-2.75,-0.52,0.0,15.21,0.77,5.66,5.99亿,2.08亿,38.28亿,144.81
68,69,002182,宝武镁业,12.61,-4.03,-0.53,-0.08,6.78,0.59,4.72,6.74亿,7.79亿,98.20亿,61.00
69,70,688355,明志科技,18.67,-2.76,-0.53,0.05,1.07,0.91,3.49,0.25亿,1.24亿,23.14亿,32.80
70,71,300134,大富科技,14.41,-3.61,-0.54,-0.14,3.27,0.75,3.68,3.41亿,7.12亿,102.66亿,--
71,72,300446,航天智造,18.36,-2.86,-0.54,0.27,6.83,0.89,4.34,3.96亿,3.12亿,57.20亿,21.72
72,73,002901,大博医疗,31.84,-1.7,-0.55,-0.13,0.4,1.09,2.25,0.37亿,2.89亿,91.86亿,41.22
73,74,002189,中光学,22.53,-2.47,-0.57,0.04,2.95,0.61,3.07,1.75亿,2.61亿,58.84亿,--
74,75,300285,国瓷材料,18.14,-3.1,-0.58,-0.06,2.02,1.0,2.99,2.97亿,8.04亿,145.84亿,28.13
75,76,688161,威高骨科,27.74,-2.15,-0.61,2.02,0.45,1.8,4.06,0.49亿,4.00亿,110.96亿,50.65
