,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002853,皮阿诺,11.56,6.15,0.67,0.26,4.55,0.85,7.25,0.69亿,1.32亿,15.30亿,196.59
1,2,002631,德尔未来,4.75,9.95,0.43,0.0,5.46,1.04,10.65,1.89亿,7.60亿,36.08亿,2160.27
2,3,300382,斯莱克,11.6,3.66,0.41,0.09,7.71,0.97,11.08,5.47亿,6.28亿,72.89亿,--
3,4,600702,舍得酒业,68.38,0.57,0.39,0.0,1.41,0.82,1.87,3.20亿,3.33亿,227.44亿,25.54
4,5,300378,鼎捷数智,27.28,1.38,0.37,-0.07,5.92,1.03,5.87,4.43亿,2.70亿,73.55亿,111.30
5,6,603313,梦百合,7.16,3.77,0.26,0.14,1.73,1.04,4.64,0.70亿,5.71亿,40.85亿,--
6,7,603076,乐惠国际,23.11,0.87,0.2,0.0,0.93,0.66,2.66,0.26亿,1.21亿,27.89亿,51.62
7,8,603833,欧派家居,70.19,0.26,0.18,0.01,0.41,1.01,5.23,1.76亿,6.09亿,427.56亿,15.79
8,9,301362,民爆光电,40.66,0.3,0.12,0.17,1.28,0.7,1.68,0.16亿,0.30亿,12.06亿,17.06
9,10,300195,长荣股份,5.94,1.71,0.1,0.0,3.14,0.75,3.6,0.59亿,3.14亿,18.65亿,557.83
10,11,002574,明牌珠宝,4.77,2.14,0.1,0.0,1.0,0.72,3.43,0.25亿,5.28亿,25.19亿,246.83
11,12,000726,鲁泰A,6.59,1.54,0.1,0.3,0.99,0.78,2.16,0.38亿,5.89亿,38.79亿,14.03
12,13,002612,朗姿股份,17.13,0.53,0.09,0.06,2.19,0.53,2.64,0.95亿,2.54亿,43.43亿,27.16
13,14,600448,华纺股份,2.74,3.4,0.09,-0.36,2.94,0.74,5.28,0.51亿,6.30亿,17.26亿,512.93
14,15,300170,汉得信息,13.83,0.58,0.08,-0.58,16.75,1.01,8.44,22.61亿,9.48亿,131.05亿,75.23
15,16,002397,梦洁股份,2.68,3.08,0.08,-0.37,3.26,0.71,5.38,0.51亿,5.88亿,15.75亿,72.94
16,17,002094,青岛金王,5.82,1.39,0.08,0.0,5.7,0.79,4.18,2.30亿,6.90亿,40.18亿,46.52
17,18,002571,德力股份,4.24,1.68,0.07,0.0,2.73,0.64,3.36,0.35亿,2.98亿,12.65亿,--
18,19,002489,浙江永强,3.37,1.81,0.06,0.0,1.36,0.79,4.23,0.88亿,19.13亿,64.47亿,11.25
19,20,600337,美克家居,1.95,2.63,0.05,0.0,3.17,0.69,6.84,0.89亿,14.37亿,28.02亿,--
20,21,300067,安诺其,5.16,0.78,0.04,0.00,3.48,0.85,4.10,1.70亿,9.37亿,48.37亿,363.98
21,22,300466,赛摩智能,7.92,0.51,0.04,0.00,2.52,0.72,2.79,0.85亿,4.20亿,33.26亿,--
22,23,300918,南山智尚,10.61,0.28,0.03,0.28,0.59,0.92,2.55,0.23亿,3.66亿,38.82亿,23.37
23,24,603116,红蜻蜓,5.82,0.17,0.01,0.00,1.74,0.47,3.44,0.59亿,5.76亿,33.53亿,--
24,25,603668,天马科技,12.76,0.08,0.01,0.00,0.71,0.54,2.20,0.46亿,5.02亿,64.10亿,69.25
25,26,603001,奥康国际,--,--,--,--,--,--,--,--,4.01亿,28.39亿,--
26,27,603808,歌力思,7.25,0.00,0.00,0.00,1.24,0.82,3.59,0.33亿,3.69亿,26.76亿,93.24
27,28,002042,华孚时尚,4.51,-0.22,-0.01,0.00,2.18,0.43,3.32,1.69亿,17.01亿,76.70亿,120.41
28,29,603608,*ST天创,3.84,-0.52,-0.02,-0.52,0.69,1.27,2.59,0.11亿,4.20亿,16.12亿,--
29,30,600282,南钢股份,4.63,-1.28,-0.06,-0.22,0.46,0.93,2.77,1.31亿,61.65亿,285.44亿,12.21
30,31,300307,慈星股份,8.33,-1.07,-0.09,0.0,4.14,1.01,2.73,2.71亿,7.84亿,65.29亿,16.03
31,32,002154,报喜鸟,4.72,-2.28,-0.11,0.0,6.13,0.52,3.31,3.45亿,11.80亿,55.69亿,12.44
32,33,300608,思特奇,11.16,-1.06,-0.12,0.0,2.78,0.57,3.19,0.87亿,2.75亿,30.70亿,--
33,34,300687,赛意信息,19.25,-0.77,-0.15,-0.05,2.71,0.87,2.94,1.72亿,3.25亿,62.64亿,62.55
34,35,603992,松霖科技,18.7,-1.53,-0.29,0.05,0.32,0.91,3.27,0.26亿,4.20亿,78.60亿,18.68
35,36,603193,润本股份,24.12,-1.23,-0.3,0.13,2.46,0.61,2.38,0.61亿,1.03亿,24.92亿,28.05
36,37,002403,爱仕达,15.39,-2.22,-0.35,-0.13,9.45,0.62,5.34,4.37亿,2.97亿,45.73亿,2367.76
37,38,300840,酷特智能,19.61,-2.1,-0.42,-0.05,14.29,0.89,4.34,4.90亿,1.71亿,33.57亿,22.65
38,39,301004,嘉益股份,111.51,-2.43,-2.78,-0.17,0.53,0.67,3.25,0.57亿,0.96亿,106.69亿,16.36
