,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603259,药明康德,58.98,6.81,3.76,-0.02,6.25,3.08,4.31,92.28亿,25.01亿,1475.04亿,19.55
1,2,301509,金凯生科,31.12,7.38,2.14,0.1,13.17,4.13,7.87,2.29亿,0.57亿,17.66亿,71.55
2,3,301393,昊帆生物,48.57,3.36,1.58,0.0,9.25,2.15,3.23,1.59亿,0.36亿,17.32亿,40.84
3,4,430478,峆一药业,24.39,6.37,1.46,0.0,34.51,2.89,22.59,3.07亿,0.34亿,8.35亿,27.50
4,5,300149,睿智医药,8.5,20.06,1.42,0.0,6.72,2.97,7.34,2.83亿,4.97亿,42.25亿,--
5,6,301201,诚达药业,23.48,6.34,1.4,0.0,9.4,5.94,14.9,1.96亿,0.87亿,20.47亿,67.45
6,7,002821,凯莱英,86.3,1.65,1.4,0.02,2.34,1.94,4.3,6.74亿,3.29亿,283.63亿,33.51
7,8,300725,药石科技,38.42,2.48,0.93,0.0,12.12,3.55,5.68,8.05亿,1.68亿,64.70亿,43.67
8,9,301363,美好医疗,31.16,2.57,0.78,-0.13,2.89,1.83,4.12,1.02亿,1.12亿,34.95亿,36.86
9,10,300404,博济医药,10.33,7.72,0.74,0.1,22.55,5.85,16.58,6.52亿,2.76亿,28.49亿,68.44
10,11,688076,诺泰生物,52.24,1.36,0.7,0.1,2.37,1.16,2.91,2.73亿,2.20亿,114.81亿,24.59
11,12,603669,灵康药业,8.67,8.11,0.65,-0.12,6.09,0.86,7.48,3.74亿,7.21亿,62.53亿,--
12,13,300412,迦南科技,6.03,12.08,0.65,0.0,22.6,1.36,15.43,6.44亿,4.73亿,28.52亿,149.37
13,14,000953,河化股份,6.55,10.08,0.6,0.0,2.41,0.43,7.39,0.57亿,3.66亿,23.98亿,22.68
14,15,301520,万邦医药,43.82,1.34,0.58,-0.02,10.43,2.53,6.01,1.02亿,0.22亿,9.67亿,28.16
15,16,301211,亨迪药业,20.37,2.36,0.47,0.0,8.47,1.49,3.37,1.24亿,0.72亿,14.67亿,58.93
16,17,603538,美诺华,14.03,3.24,0.44,0.0,3.92,2.31,5.45,1.17亿,2.12亿,29.81亿,36.39
17,18,688222,成都先导,14.73,3.08,0.44,0.07,6.83,2.68,7.35,4.10亿,4.01亿,59.02亿,146.96
18,19,000813,德展健康,3.84,10.03,0.35,0.0,0.92,0.28,0.0,0.77亿,21.65亿,83.12亿,770.76
19,20,002086,东方海洋,3.73,10.03,0.34,0.0,9.76,1.06,8.26,3.15亿,8.91亿,33.23亿,--
20,21,605116,奥锐特,21.44,1.42,0.3,0.19,0.46,1.26,2.08,0.39亿,3.98亿,85.23亿,23.02
21,22,688131,皓元医药,38.85,0.78,0.3,0.03,2.07,1.41,6.54,1.69亿,2.06亿,80.09亿,42.87
22,23,603456,九洲药业,15.35,1.99,0.3,0.0,3.5,2.44,3.46,4.85亿,8.95亿,137.42亿,16.34
23,24,301096,百诚医药,42.52,0.71,0.3,-0.02,6.8,1.42,3.13,2.02亿,0.69亿,29.52亿,24.59
24,25,600721,百花医药,7.67,2.95,0.22,0.0,15.61,3.96,7.79,4.73亿,3.84亿,29.45亿,92.22
25,26,300199,翰宇药业,13.08,1.47,0.19,-0.08,6.8,1.04,3.1,6.32亿,7.06亿,92.38亿,--
26,27,688247,宣泰医药,11.01,1.57,0.17,-0.18,2.97,1.42,2.4,0.47亿,1.42亿,15.67亿,40.44
27,28,603739,蔚蓝生物,14.03,1.08,0.15,-0.14,2.79,1.39,3.24,1.00亿,2.53亿,35.50亿,65.18
28,29,002581,未名医药,13.69,1.03,0.14,0.0,3.25,0.88,3.98,1.79亿,4.01亿,54.87亿,463.13
29,30,300630,普利制药,9.69,1.36,0.13,0.0,7.75,0.54,3.66,2.55亿,3.38亿,32.78亿,--
30,31,301277,新天地,15.61,0.84,0.13,0.06,7.58,0.97,3.42,0.85亿,0.72亿,11.26亿,23.12
31,32,688117,圣诺生物,29.52,0.44,0.13,0.0,1.78,1.07,2.86,0.59亿,1.12亿,33.06亿,43.54
32,33,688238,和元生物,5.91,1.2,0.07,0.0,5.29,1.89,6.16,1.49亿,4.67亿,27.58亿,--
33,34,300497,富祥药业,10.2,0.49,0.05,0.0,2.94,0.54,2.17,1.36亿,4.52亿,46.07亿,--
34,35,300759,康龙化成,29.6,0.17,0.05,0.07,4.08,2.11,5.45,17.63亿,14.29亿,422.86亿,27.91
35,36,600222,太龙药业,5.55,0.54,0.03,0.0,4.11,0.9,3.8,1.32亿,5.74亿,31.85亿,82.67
36,37,000739,普洛药业,16.46,0.12,0.02,-0.06,0.75,1.02,2.49,1.44亿,11.69亿,192.40亿,16.60
37,38,002250,联化科技,6.21,-0.16,-0.01,0.0,2.57,0.98,3.38,1.45亿,9.07亿,56.30亿,130.59
38,39,300683,海特生物,27.49,-0.07,-0.02,-0.04,1.41,0.87,4.73,0.48亿,1.22亿,33.56亿,--
39,40,300261,雅本化学,8.04,-0.74,-0.06,-0.12,3.84,1.72,6.17,2.95亿,9.36亿,75.26亿,--
