,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300757,罗博特科,227.44,12.59,25.44,0.04,7.73,1.65,19.11,25.50亿,1.48亿,337.00亿,371.55
1,2,688147,微导纳米,29.37,8.46,2.29,0.27,9.46,3.37,12.63,2.63亿,0.98亿,28.69亿,66.87
2,3,300956,英力股份,21.66,3.79,0.79,-0.18,25.07,1.21,8.15,4.82亿,0.90亿,19.39亿,473.20
3,4,300776,帝尔激光,64.49,1.1,0.7,0.05,3.44,1.83,4.36,3.72亿,1.67亿,107.78亿,34.45
4,5,300751,迈为股份,107.7,0.57,0.61,-0.02,1.21,0.92,4.29,2.53亿,1.93亿,208.24亿,29.75
5,6,300786,国林科技,15.25,3.81,0.56,0.2,9.85,0.89,6.54,2.18亿,1.47亿,22.37亿,--
6,7,002514,宝馨科技,8.14,6.41,0.49,0.0,8.46,0.66,6.67,3.72亿,5.54亿,45.10亿,--
7,8,603396,金辰股份,27.93,1.2,0.33,0.0,1.35,1.09,3.41,0.52亿,1.39亿,38.69亿,42.51
8,9,300716,泉为科技,12.74,2.58,0.32,0.08,2.5,0.62,5.64,0.52亿,1.60亿,20.39亿,--
9,10,002319,乐通股份,10.86,2.94,0.31,-0.18,2.5,0.9,6.63,0.54亿,2.00亿,21.72亿,--
10,31,002943,宇晶股份,20.2,0.05,0.01,0.0,1.93,0.54,2.13,0.47亿,1.21亿,24.46亿,97.40
11,32,002506,协鑫集成,2.8,0.0,0.0,0.0,1.5,0.95,2.86,2.47亿,58.48亿,163.76亿,150.00
12,33,002129,TCL中环,9.13,-0.22,-0.02,-0.11,1.55,0.88,1.97,5.75亿,40.40亿,368.86亿,--
13,34,002079,苏州固锝,10.68,-0.19,-0.02,0.0,1.63,0.85,2.24,1.42亿,8.09亿,86.42亿,160.56
14,35,601615,明阳智能,12.85,-0.15,-0.02,0.0,0.62,0.54,1.94,1.82亿,22.71亿,291.89亿,27.08
15,36,601012,隆基绿能,16.15,-0.25,-0.04,0.06,0.81,0.87,1.67,9.90亿,75.78亿,1223.85亿,--
16,37,300117,*ST嘉寓,1.19,-4.03,-0.05,-0.83,5.67,0.83,5.64,0.49亿,7.17亿,8.53亿,--
17,38,688472,阿特斯,12.18,-0.49,-0.06,0.0,1.2,0.83,2.04,2.03亿,13.82亿,168.32亿,17.23
18,39,002218,拓日新能,3.76,-1.57,-0.06,-0.53,5.65,1.69,3.67,2.98亿,13.92亿,52.35亿,128.66
19,40,835985,海泰新能,10.47,-0.66,-0.07,0.0,2.69,0.5,2.47,0.38亿,1.34亿,14.08亿,14.89
20,41,300125,ST聆达,7.09,-1.12,-0.08,0.0,3.99,0.81,4.74,0.77亿,2.65亿,18.82亿,--
21,42,300307,慈星股份,8.33,-1.07,-0.09,0.0,4.14,1.01,2.73,2.71亿,7.84亿,65.29亿,16.03
22,43,300118,东方日升,12.5,-0.79,-0.1,-0.24,1.78,0.88,1.59,2.08亿,9.27亿,115.85亿,--
23,44,301266,宇邦新材,35.57,-0.42,-0.15,-0.08,5.57,0.64,1.85,0.86亿,0.43亿,15.43亿,63.14
24,45,002529,海源复材,8.62,-1.93,-0.17,-0.35,5.32,0.5,4.21,1.21亿,2.60亿,22.41亿,--
25,46,002008,大族激光,26.08,-0.91,-0.24,0.12,2.56,1.16,2.28,6.58亿,9.79亿,255.40亿,14.43
26,47,002459,晶澳科技,14.08,-1.75,-0.25,-0.07,1.13,1.03,2.23,5.31亿,33.06亿,465.48亿,--
27,48,688530,欧莱新材,20.59,-1.44,-0.3,-0.19,6.71,0.82,3.54,0.45亿,0.32亿,6.59亿,250.29
28,49,600438,通威股份,22.05,-1.52,-0.34,-0.09,1.19,0.83,2.72,11.94亿,45.02亿,992.69亿,--
29,50,688359,三孚新科,40.47,-1.0,-0.41,-0.03,1.09,1.25,2.54,0.42亿,0.94亿,37.87亿,--
30,51,300724,捷佳伟创,64.9,-0.77,-0.5,-0.02,2.57,0.98,1.7,4.80亿,2.87亿,186.19亿,8.37
31,52,300842,帝科股份,42.2,-1.29,-0.55,-0.07,2.06,0.98,2.36,1.10亿,1.25亿,52.79亿,15.21
32,53,835368,连城数控,31.56,-1.74,-0.56,0.0,1.22,1.2,2.43,0.86亿,2.22亿,70.06亿,14.66
33,54,688599,天合光能,20.38,-3.32,-0.7,0.0,1.09,1.62,3.42,4.91亿,21.79亿,444.15亿,--
34,55,300706,阿石创,26.7,-3.99,-1.11,-0.08,10.45,0.94,4.96,3.23亿,1.13亿,30.25亿,309.41
35,56,688503,聚和材料,47.07,-2.38,-1.15,0.06,3.29,0.69,3.53,2.81亿,1.81亿,85.04亿,20.29
36,11,603051,鹿山新材,25.44,1.15,0.29,0.08,2.26,0.9,2.31,0.35亿,0.61亿,15.57亿,64.28
37,12,600620,天宸股份,6.27,4.33,0.26,-0.32,1.63,0.9,5.82,0.69亿,6.87亿,43.05亿,--
38,13,300093,金刚光伏,14.73,1.73,0.25,-0.07,5.03,0.83,4.01,1.61亿,2.15亿,31.73亿,--
39,14,300614,百川畅银,10.22,2.3,0.23,0.2,2.39,1.0,3.6,0.39亿,1.60亿,16.40亿,--
40,15,688355,明志科技,17.62,1.32,0.23,0.11,0.89,1.09,4.25,0.20亿,1.24亿,21.84亿,30.96
41,16,300345,华民股份,5.91,2.96,0.17,0.17,1.62,0.88,4.88,0.43亿,4.44亿,26.24亿,--
42,17,688429,时创能源,17.78,0.96,0.17,0.17,2.74,1.0,5.57,0.40亿,0.82亿,14.55亿,--
43,18,002862,实丰文化,31.5,0.45,0.14,0.13,17.52,1.17,7.53,5.03亿,0.90亿,28.41亿,626.84
44,19,300263,隆华科技,7.75,1.44,0.11,0.0,3.88,0.73,4.45,2.26亿,7.49亿,58.01亿,33.98
45,20,002574,明牌珠宝,4.77,2.14,0.1,0.0,1.0,0.72,3.43,0.25亿,5.28亿,25.19亿,246.83
46,21,301131,聚赛龙,36.0,0.28,0.1,-0.08,4.67,0.62,2.67,0.39亿,0.23亿,8.31亿,49.09
47,22,300051,琏升科技,7.05,1.29,0.09,0.28,1.79,0.88,3.88,0.46亿,3.66亿,25.78亿,--
48,23,603778,国晟科技,3.22,2.22,0.07,-0.31,2.08,0.92,4.44,0.43亿,6.43亿,20.70亿,--
49,24,605566,福莱蒽特,17.88,0.28,0.05,0.17,1.08,0.61,2.64,0.12亿,0.62亿,11.14亿,51.85
50,25,688560,明冠新材,13.44,0.37,0.05,0.0,0.68,0.92,2.54,0.18亿,2.01亿,27.05亿,--
51,26,600477,杭萧钢构,2.65,1.53,0.04,-0.38,1.06,0.78,3.83,0.67亿,23.69亿,62.78亿,22.93
52,27,002860,星帅尔,10.07,0.3,0.03,-0.1,1.36,0.75,1.39,0.40亿,2.93亿,29.49亿,15.91
53,28,603212,赛伍技术,10.67,0.28,0.03,0.0,1.54,1.04,1.88,0.72亿,4.37亿,46.68亿,--
54,29,000821,京山轻机,13.04,0.15,0.02,0.0,1.99,0.85,2.23,1.58亿,6.05亿,78.93亿,14.07
55,30,002323,雅博股份,1.74,1.16,0.02,-0.57,4.1,0.83,6.39,1.54亿,21.20亿,36.90亿,--
