,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301600,慧翰股份,135.88,20.0,22.65,0.0,30.7,1.31,21.09,6.66亿,0.18亿,23.85亿,53.01
1,2,301556,托普云农,112.9,15.79,15.4,-0.09,35.28,1.58,14.19,6.75亿,0.18亿,20.71亿,94.28
2,3,301160,翔楼新材,73.78,20.01,12.3,0.0,18.05,2.0,17.79,5.50亿,0.43亿,31.86亿,31.91
3,4,688787,海天瑞声,103.19,10.48,9.79,-0.4,10.09,1.46,10.51,6.02亿,0.60亿,62.25亿,1232.27
4,5,839725,惠丰钻石,48.44,20.56,8.26,0.0,24.52,1.02,21.85,4.71亿,0.42亿,20.38亿,474.61
5,6,688332,中科蓝讯,114.64,6.56,7.06,0.55,11.64,1.21,9.6,5.75亿,0.44亿,50.47亿,50.04
6,7,688698,伟创电气,54.38,14.65,6.95,0.33,13.11,2.6,24.08,14.31亿,2.11亿,114.95亿,40.96
7,8,301608,博实结,73.52,10.01,6.69,0.1,34.84,3.03,20.8,4.22亿,0.17亿,12.43亿,36.42
8,9,688716,中研股份,35.7,20.0,5.95,0.0,19.02,1.55,19.97,4.37亿,0.68亿,24.13亿,109.14
9,10,871245,威博液压,31.17,19.75,5.14,0.0,12.68,2.16,32.62,0.86亿,0.24亿,7.59亿,58.49
10,11,301076,新瀚新材,28.82,19.98,4.8,0.0,29.33,1.17,21.07,5.51亿,0.69亿,19.98亿,69.59
11,12,301633,港迪技术,97.33,5.07,4.7,0.03,18.79,1.74,7.15,2.49亿,0.14亿,13.55亿,70.04
12,13,688622,禾信仪器,66.7,6.63,4.15,0.14,3.12,1.07,11.16,1.41亿,0.70亿,46.69亿,--
13,14,300853,申昊科技,24.16,20.02,4.03,0.0,19.42,1.34,19.42,5.09亿,1.10亿,26.64亿,--
14,15,301550,斯菱股份,69.75,5.73,3.78,-0.07,16.91,0.79,8.9,6.26亿,0.55亿,38.31亿,42.05
15,16,300354,东华测试,40.55,9.6,3.55,0.2,21.42,2.34,16.32,7.03亿,0.81亿,32.93亿,42.47
16,17,301413,安培龙,65.1,5.72,3.52,-0.15,23.39,0.93,11.95,3.33亿,0.22亿,14.41亿,77.00
17,18,301591,肯特股份,42.5,8.45,3.31,-0.07,34.72,1.93,14.03,3.05亿,0.21亿,8.94亿,45.28
18,19,301552,科力装备,59.97,5.54,3.15,0.03,22.61,2.11,7.25,1.83亿,0.14亿,8.23亿,26.60
19,20,688228,开普云,57.67,5.51,3.01,0.3,8.83,1.03,8.93,3.44亿,0.68亿,38.94亿,--
20,21,301603,乔锋智能,47.9,6.52,2.93,-0.08,27.04,2.1,8.67,2.92亿,0.23亿,10.99亿,28.78
21,22,688165,埃夫特,33.67,9.5,2.92,0.06,14.87,0.99,20.42,25.02亿,5.22亿,175.68亿,--
22,23,002979,雷赛智能,34.69,8.81,2.81,0.0,22.69,1.27,12.04,16.85亿,2.17亿,75.19亿,55.31
23,24,301548,崇德科技,49.74,5.99,2.81,0.0,11.66,2.02,6.92,1.34亿,0.24亿,11.78亿,38.06
24,25,002997,瑞鹄模具,38.0,7.89,2.78,-0.13,6.87,2.09,10.48,5.38亿,2.09亿,79.54亿,23.62
25,26,002881,美格智能,29.03,10.0,2.64,0.0,5.55,1.77,9.93,2.87亿,1.81亿,52.56亿,62.39
