,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603722,阿科力,42.89,2.48,1.04,0.0,1.13,1.22,3.18,0.42亿,0.88亿,37.72亿,--
1,2,002395,双象股份,17.63,4.32,0.73,-0.11,6.32,1.39,10.0,3.03亿,2.68亿,47.29亿,43.04
2,3,002768,国恩股份,23.83,2.5,0.58,0.0,2.26,1.03,3.79,0.95亿,1.77亿,42.12亿,10.58
3,4,301037,保立佳,10.22,3.02,0.3,0.0,5.41,0.86,6.75,0.28亿,0.50亿,5.10亿,--
4,5,300214,日科化学,5.75,2.86,0.16,0.17,1.44,0.88,5.9,0.33亿,4.04亿,23.20亿,--
5,6,000698,沈阳化工,3.47,3.58,0.12,0.0,2.47,0.62,5.08,0.67亿,7.86亿,27.26亿,--
6,7,600800,渤海化学,3.15,2.94,0.09,-0.32,2.36,0.94,5.23,0.83亿,11.10亿,34.96亿,--
7,8,600623,华谊集团,7.1,0.42,0.03,0.14,0.65,0.76,1.41,0.86亿,18.67亿,132.54亿,18.82
8,9,002648,卫星化学,18.22,-0.06,-0.01,0.0,0.8,1.06,3.4,4.88亿,33.66亿,613.37亿,12.47
9,10,600309,万华化学,72.99,-0.12,-0.09,0.0,0.53,1.08,1.07,12.13亿,31.40亿,2291.70亿,15.49
10,11,300063,天龙集团,10.03,-2.43,-0.25,0.0,11.89,0.83,4.09,7.57亿,6.25亿,62.71亿,117.84
