,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002315,焦点科技,49.93,9.35,4.27,-0.12,14.67,1.3,12.44,14.08亿,2.02亿,100.91亿,33.21
1,2,300561,汇金科技,49.95,9.35,4.27,0.16,35.52,0.93,13.53,30.25亿,1.80亿,90.08亿,--
2,3,301380,挖金客,50.71,6.36,3.03,0.02,30.9,1.25,10.38,4.52亿,0.30亿,15.29亿,76.27
3,4,603918,金桥信息,17.08,9.98,1.55,0.0,20.75,1.33,10.17,12.26亿,3.66亿,62.55亿,--
4,5,301236,软通动力,61.46,2.52,1.51,0.0,8.03,1.62,7.64,33.24亿,6.80亿,418.12亿,578.39
5,6,002789,建艺集团,14.05,10.02,1.28,0.0,2.24,0.52,10.73,0.40亿,1.31亿,18.47亿,403.33
6,7,002530,金财互联,12.06,10.04,1.1,0.0,20.31,1.11,6.48,16.95亿,6.95亿,83.83亿,2202.78
7,8,300007,汉威科技,20.92,4.08,0.82,-0.05,18.88,1.08,7.56,11.08亿,2.83亿,59.20亿,64.39
8,9,300663,科蓝软件,21.64,3.1,0.65,0.0,11.79,1.92,6.76,10.45亿,4.15亿,89.78亿,--
9,10,002354,天娱数科,6.8,10.03,0.62,0.0,0.68,0.05,0.0,0.75亿,16.18亿,110.05亿,--
10,11,002552,宝鼎科技,13.19,4.68,0.59,0.0,4.89,4.97,9.52,2.05亿,3.20亿,42.24亿,35.91
11,12,300386,飞天诚信,18.65,3.1,0.56,-0.11,17.18,0.98,14.37,8.05亿,2.48亿,46.29亿,--
12,13,002144,宏达高科,11.65,3.92,0.44,0.17,17.68,6.38,6.69,2.92亿,1.37亿,15.92亿,23.57
13,14,600527,江南高纤,2.85,10.04,0.26,0.0,0.9,0.09,0.0,0.44亿,17.32亿,49.36亿,122.97
14,15,002657,中科金财,24.15,1.0,0.24,0.0,21.28,1.02,7.99,17.52亿,3.36亿,81.23亿,--
15,16,600797,浙大网新,7.92,2.99,0.23,0.25,9.59,0.95,5.07,7.75亿,10.28亿,81.38亿,--
16,17,301428,世纪恒通,36.0,0.56,0.2,-0.03,10.84,0.52,3.71,2.38亿,0.61亿,22.03亿,40.58
17,18,600257,大湖股份,5.72,3.62,0.2,0.0,14.11,2.21,8.15,3.86亿,4.81亿,27.53亿,--
18,19,000676,智度股份,10.49,1.65,0.17,-0.1,10.26,1.25,5.52,13.72亿,12.64亿,132.57亿,64.12
19,20,002542,中化岩土,5.35,3.08,0.16,0.0,16.28,0.96,13.29,13.48亿,16.01亿,85.67亿,--
20,21,600570,恒生电子,31.27,0.51,0.16,0.03,3.16,1.0,5.01,18.91亿,18.94亿,592.30亿,99.71
21,22,000701,厦门信达,5.7,2.7,0.15,-0.52,9.23,0.98,7.39,3.37亿,6.40亿,36.50亿,--
22,23,300061,旗天科技,16.84,0.9,0.15,0.12,10.8,1.13,6.41,11.32亿,6.21亿,104.50亿,--
23,24,601216,君正集团,5.78,2.66,0.15,0.0,5.84,2.03,11.19,28.69亿,84.38亿,487.72亿,16.33
24,25,688227,品高股份,34.0,0.41,0.14,-0.29,6.44,0.81,12.35,1.38亿,0.63亿,21.48亿,--
25,26,002215,诺普信,10.39,1.27,0.13,0.1,2.92,1.33,4.29,2.41亿,7.94亿,82.50亿,16.06
26,27,300368,ST汇金,4.75,2.81,0.13,0.0,4.06,1.29,7.58,0.99亿,5.29亿,25.12亿,--
27,28,300830,金现代,9.85,1.34,0.13,-0.1,13.79,0.67,7.51,4.26亿,3.15亿,31.02亿,--
28,29,002344,海宁皮城,5.09,2.42,0.12,0.0,9.32,1.57,5.03,6.05亿,12.81亿,65.23亿,67.89
29,30,000609,*ST中迪,2.52,4.13,0.1,-0.4,3.26,1.03,6.2,0.23亿,2.91亿,7.34亿,--
30,31,002648,卫星化学,17.85,0.56,0.1,-0.22,0.42,1.1,2.25,2.56亿,33.66亿,600.90亿,12.21
31,32,300047,天源迪科,14.9,0.68,0.1,0.0,14.06,1.41,6.42,11.44亿,5.50亿,81.91亿,221.08
32,33,601233,桐昆股份,12.2,0.74,0.09,-0.08,1.05,0.79,2.23,3.08亿,23.96亿,292.30亿,21.91
33,34,603696,安记食品,8.97,1.01,0.09,0.0,4.65,0.72,3.27,0.98亿,2.35亿,21.10亿,74.25
34,35,601198,东兴证券,11.73,0.69,0.08,0.09,1.91,1.19,2.75,7.23亿,32.32亿,379.17亿,30.16
35,36,000997,新大陆,20.7,0.34,0.07,0.0,1.44,0.64,2.71,3.05亿,10.26亿,212.45亿,19.57
36,37,605398,新炬网络,20.84,0.34,0.07,-0.19,4.13,0.49,5.2,1.41亿,1.63亿,33.91亿,102.32
37,38,002713,东易日盛,6.13,0.99,0.06,0.0,29.15,2.6,13.34,7.64亿,4.11亿,25.22亿,--
38,39,300079,数码视讯,6.72,0.9,0.06,0.0,13.6,1.62,6.91,12.01亿,12.81亿,86.12亿,322.43
39,40,300153,科泰电源,8.53,0.71,0.06,-0.12,3.19,1.07,2.6,0.86亿,3.18亿,27.15亿,81.77
40,41,300519,新光药业,15.07,0.4,0.06,0.2,3.88,1.26,4.73,0.67亿,1.14亿,17.19亿,47.86
