,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300442,润泽科技,48.11,10.42,4.54,0.17,16.3,2.07,21.09,47.25亿,6.14亿,295.50亿,41.03
1,2,688181,八亿时空,35.01,4.82,1.61,-0.06,7.12,1.51,7.51,3.32亿,1.34亿,47.08亿,57.29
2,3,300785,值得买,41.76,3.91,1.57,-0.17,27.0,0.96,20.3,13.87亿,1.22亿,51.06亿,1637.02
3,4,003004,声迅股份,31.6,3.67,1.12,-0.06,6.92,0.87,5.25,1.51亿,0.70亿,21.99亿,--
4,5,600482,中国动力,24.89,4.19,1.0,0.85,3.5,2.95,4.35,19.30亿,22.52亿,560.45亿,56.56
5,6,002878,元隆雅图,19.3,4.61,0.85,0.0,23.89,1.23,11.87,10.77亿,2.34亿,45.09亿,170.42
6,7,002148,北纬科技,8.8,10.0,0.8,0.0,13.26,1.36,5.0,5.16亿,4.49亿,39.55亿,273.03
7,8,300828,锐新科技,18.44,4.36,0.77,0.16,16.48,1.13,10.92,3.72亿,1.25亿,23.00亿,60.89
8,9,300383,光环新网,12.41,5.44,0.64,0.0,7.93,3.01,8.5,17.25亿,17.94亿,222.60亿,46.33
9,10,300612,宣亚国际,20.09,2.92,0.57,0.05,23.85,1.33,8.96,8.73亿,1.80亿,36.14亿,--
10,11,873703,广厦环能,25.63,2.23,0.56,0.0,6.13,1.0,6.54,0.46亿,0.29亿,7.53亿,16.94
11,12,002383,合众思壮,11.34,4.71,0.51,-0.09,25.11,2.71,13.57,17.92亿,6.16亿,69.89亿,--
12,13,002995,天地在线,24.96,2.0,0.49,0.0,22.45,1.01,7.48,6.26亿,1.12亿,28.06亿,--
13,14,300875,捷强装备,34.89,1.31,0.45,0.0,14.24,2.07,4.88,3.37亿,0.67亿,23.24亿,--
14,15,000785,居然智家,4.74,9.98,0.43,0.0,5.44,1.49,6.03,15.18亿,59.59亿,282.45亿,30.54
15,16,300150,世纪瑞尔,5.58,7.93,0.41,-0.18,15.73,4.61,15.67,4.48亿,5.15亿,28.72亿,74.82
16,17,873122,中纺标,57.77,0.68,0.39,0.0,3.71,0.77,4.46,0.72亿,0.34亿,19.69亿,213.27
17,18,002410,广联达,13.69,2.78,0.37,0.0,8.87,2.49,7.51,19.36亿,15.88亿,217.45亿,79.53
18,19,600206,有研新材,18.51,1.59,0.29,0.05,14.12,1.16,5.65,22.08亿,8.47亿,156.70亿,102.57
19,20,300364,中文在线,31.03,0.84,0.26,0.0,18.4,1.31,8.19,38.70亿,6.61亿,205.10亿,--
20,21,002343,慈文传媒,8.2,3.15,0.25,0.0,11.95,1.18,8.05,4.66亿,4.75亿,38.95亿,256.02
21,22,603123,翠微股份,10.52,2.04,0.21,0.0,17.79,4.76,7.95,12.50亿,6.52亿,68.62亿,--
