,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603667,五洲新春,35.45,9.99,3.22,0.0,35.76,1.0,14.27,43.35亿,3.66亿,129.82亿,99.15
1,2,002403,爱仕达,23.41,10.01,2.13,0.0,24.91,1.29,4.28,17.24亿,2.97亿,69.57亿,3601.65
2,3,002009,天奇股份,16.5,10.0,1.5,0.0,9.85,0.82,11.07,6.27亿,4.01亿,66.09亿,--
3,4,300296,利亚德,8.06,19.94,1.34,0.0,23.19,1.7,9.82,38.45亿,20.90亿,168.47亿,84.30
4,5,600889,南京化纤,20.72,5.71,1.12,-0.15,16.97,0.81,9.03,12.80亿,3.66亿,75.91亿,--
5,6,688320,禾川科技,51.87,2.11,1.07,0.0,20.87,0.95,11.65,11.62亿,1.06亿,54.76亿,--
6,7,301366,一博科技,47.19,2.25,1.04,-0.02,13.3,1.91,7.52,3.45亿,0.55亿,25.82亿,63.48
7,8,688716,中研股份,42.27,2.4,0.99,-0.05,25.58,1.03,11.6,7.51亿,0.68亿,28.57亿,129.22
8,9,301029,怡合达,28.58,3.4,0.94,-0.76,4.28,1.84,8.29,4.91亿,4.04亿,115.53亿,41.41
9,10,688800,瑞可达,44.64,1.87,0.82,-1.91,6.93,1.77,8.15,4.98亿,1.58亿,70.72亿,50.05
10,11,688165,埃夫特,35.2,2.33,0.8,-0.03,11.91,0.78,9.59,22.34亿,5.22亿,183.67亿,--
11,12,002354,天娱数科,8.5,9.96,0.77,0.0,43.63,1.74,18.76,56.08亿,16.18亿,137.56亿,--
12,13,603990,麦迪科技,13.72,3.7,0.49,0.0,19.79,0.88,10.36,8.34亿,3.06亿,42.02亿,--
13,14,002139,拓邦股份,14.2,3.2,0.44,-0.07,15.71,1.41,7.34,24.25亿,10.71亿,152.14亿,24.05
14,15,603893,瑞芯微,92.31,0.45,0.41,-0.52,3.23,1.44,4.01,12.54亿,4.18亿,385.94亿,82.34
15,16,300276,三丰智能,11.5,2.86,0.32,1.05,26.31,0.72,15.03,30.57亿,10.21亿,117.39亿,653.21
16,17,920002,万达轴承,76.9,0.22,0.17,0.0,15.46,0.6,5.37,0.69亿,0.06亿,4.42亿,41.62
17,18,300403,汉宇集团,13.46,1.2,0.16,-0.07,31.56,1.12,10.98,18.40亿,4.23亿,56.93亿,34.13
18,19,832491,奥迪威,24.4,0.41,0.1,0.0,6.0,0.65,5.06,1.70亿,1.14亿,27.85亿,38.28
19,20,002803,吉宏股份,15.99,0.06,0.01,0.0,7.96,1.28,3.57,3.70亿,2.89亿,46.14亿,34.26
20,21,300571,平治信息,28.6,-0.14,-0.04,-0.11,5.37,0.9,3.35,1.79亿,1.16亿,33.06亿,502.22
21,22,002117,东港股份,10.02,-0.4,-0.04,-0.1,5.0,0.67,4.77,2.67亿,5.24亿,52.46亿,49.06
22,23,002579,中京电子,9.53,-0.52,-0.05,0.11,8.17,0.63,3.76,4.52亿,5.82亿,55.45亿,--
23,24,600678,四川金顶,7.8,-1.14,-0.09,0.0,8.83,0.51,3.8,2.45亿,3.49亿,27.22亿,--
24,25,601238,广汽集团,9.77,-0.91,-0.09,0.0,1.03,0.91,3.25,7.37亿,73.63亿,719.33亿,629.86
25,26,002815,崇达技术,10.41,-1.14,-0.12,-0.1,4.98,0.88,3.23,3.35亿,6.41亿,66.71亿,32.19
26,27,688777,中控技术,49.81,-0.24,-0.12,0.12,1.97,0.79,2.7,7.65亿,7.79亿,387.85亿,41.21
27,28,002600,领益智造,9.11,-1.83,-0.17,-0.11,3.77,0.86,3.77,24.05亿,68.94亿,628.00亿,34.08
28,29,002698,博实股份,18.45,-0.97,-0.18,0.0,3.65,0.63,3.22,5.74亿,8.41亿,155.25亿,31.02
29,30,002057,中钢天源,7.99,-2.8,-0.23,-0.13,2.31,0.83,2.43,1.40亿,7.50亿,59.94亿,28.90
30,31,600366,宁波韵升,7.71,-3.62,-0.29,-0.13,2.21,0.77,3.0,1.83亿,10.63亿,81.96亿,91.92
31,32,300580,贝斯特,25.6,-1.12,-0.29,0.39,7.35,0.74,6.41,9.04亿,4.69亿,120.17亿,42.63
32,33,601727,上海电气,8.67,-3.24,-0.29,0.0,2.32,0.84,2.9,25.73亿,126.55亿,1097.22亿,133.60
33,34,688218,江苏北人,25.74,-1.23,-0.32,0.0,9.29,0.61,5.18,2.88亿,1.19亿,30.51亿,313.57
34,35,300748,金力永磁,19.81,-1.74,-0.35,0.05,2.38,0.78,2.63,5.40亿,11.34亿,224.61亿,101.52
35,36,002599,盛通股份,8.45,-4.2,-0.37,-0.12,9.84,0.54,4.54,3.41亿,4.03亿,34.05亿,7533.73
36,37,003032,传智教育,12.1,-2.97,-0.37,0.0,7.49,0.39,2.97,2.50亿,2.73亿,33.09亿,--
37,38,603358,华达科技,34.6,-1.11,-0.39,-0.29,1.11,0.72,2.2,1.68亿,4.39亿,151.91亿,56.92
38,39,605555,德昌股份,22.86,-1.68,-0.39,0.13,6.36,0.65,3.79,2.00亿,1.36亿,31.02亿,21.17
39,40,300432,富临精工,15.58,-2.56,-0.41,-0.13,2.6,0.6,2.75,4.93亿,12.05亿,187.78亿,45.94
