,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002623,亚玛顿,17.95,4.79,0.82,0.0,5.72,4.08,11.03,2.05亿,1.99亿,35.66亿,--
1,2,600293,三峡新材,3.92,3.7,0.14,-0.25,14.5,2.18,11.11,6.54亿,11.60亿,45.48亿,242.44
2,3,601636,旗滨集团,6.13,1.32,0.08,-0.16,1.71,1.55,3.47,2.81亿,26.84亿,164.50亿,17.65
3,4,002613,北玻股份,4.5,0.0,0.0,0.0,3.31,0.77,2.22,0.90亿,6.09亿,27.40亿,39.78
4,5,600540,新赛股份,4.62,-0.43,-0.02,-0.22,4.38,0.42,3.66,1.19亿,5.81亿,26.86亿,--
5,6,000012,南玻A,5.6,-0.53,-0.03,-0.18,1.0,0.89,1.42,1.10亿,19.59亿,109.72亿,16.40
6,7,600586,金晶科技,5.95,-0.67,-0.04,0.0,0.96,0.59,1.67,0.81亿,14.29亿,85.01亿,21.47
7,8,600819,耀皮玻璃,5.87,-0.68,-0.04,0.0,1.62,0.53,2.54,0.71亿,7.47亿,43.87亿,42.76
8,9,300057,万顺新材,5.64,-1.05,-0.06,0.18,2.36,0.81,2.46,0.98亿,7.38亿,41.63亿,--
9,10,603077,和邦生物,2.24,-3.03,-0.07,0.0,5.22,1.92,5.63,10.44亿,88.31亿,197.82亿,67.04
10,11,600207,安彩高科,5.22,-1.51,-0.08,0.0,2.36,1.07,3.96,1.34亿,10.89亿,56.86亿,--
11,12,002163,海南发展,10.04,-5.28,-0.56,0.0,8.79,0.68,6.32,7.15亿,8.04亿,80.68亿,--
