,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300979,华利集团,76.0,5.67,4.08,0.0,0.33,1.86,7.13,2.84亿,11.67亿,886.91亿,23.39
1,2,002605,姚记科技,33.18,3.53,1.13,-0.03,8.42,1.23,8.05,9.05亿,3.33亿,110.36亿,24.29
2,3,002878,元隆雅图,16.98,5.73,0.92,0.0,19.71,0.82,9.9,7.63亿,2.34亿,39.67亿,149.94
3,4,002681,奋达科技,8.67,10.03,0.79,0.0,17.54,0.7,14.59,21.59亿,14.80亿,128.35亿,76.65
4,5,002395,双象股份,17.75,4.17,0.71,0.0,13.55,4.13,7.75,6.53亿,2.68亿,47.61亿,43.34
5,6,002768,国恩股份,23.28,2.06,0.47,0.0,2.49,2.13,4.3,1.03亿,1.77亿,41.15亿,10.34
6,7,002523,天桥起重,4.2,9.95,0.38,0.0,9.14,0.53,13.09,5.24亿,14.12亿,59.28亿,253.27
7,8,000639,西王食品,4.64,5.94,0.26,-0.22,17.23,1.67,11.42,8.67亿,10.79亿,50.09亿,60.02
8,9,600593,大连圣亚,42.33,0.57,0.24,0.0,13.13,1.03,10.43,7.25亿,1.29亿,54.52亿,38.89
9,10,002858,力盛体育,13.82,1.69,0.23,0.15,9.81,1.43,3.83,1.99亿,1.47亿,20.28亿,120.42
10,11,300703,创源股份,12.35,1.31,0.16,-0.16,7.11,0.45,2.71,1.48亿,1.70亿,20.95亿,27.99
11,12,300699,光威复材,34.93,0.43,0.15,0.0,0.97,0.93,2.39,2.76亿,8.21亿,286.93亿,35.41
12,13,300994,久祺股份,12.14,1.17,0.14,-0.08,2.58,0.67,2.58,0.36亿,1.17亿,14.16亿,25.70
13,14,001368,通达创智,21.32,0.61,0.13,0.0,4.62,0.64,1.7,0.31亿,0.31亿,6.71亿,21.70
14,15,301149,隆华新材,10.65,1.14,0.12,0.09,2.05,0.97,1.9,0.44亿,2.04亿,21.73亿,25.11
15,16,300612,宣亚国际,19.06,0.63,0.12,0.0,13.18,1.06,7.39,4.51亿,1.80亿,34.28亿,--
16,17,002615,哈尔斯,8.44,1.32,0.11,-0.12,5.73,1.16,2.64,1.46亿,3.04亿,25.65亿,13.12
17,18,002955,鸿合科技,26.79,0.41,0.11,-0.04,5.04,1.46,7.8,2.59亿,1.87亿,50.14亿,19.38
18,19,301287,康力源,30.85,0.36,0.11,0.03,5.09,0.51,3.16,0.26亿,0.17亿,5.14亿,36.02
19,20,001234,泰慕士,18.26,0.55,0.1,0.11,9.17,0.73,2.26,0.48亿,0.29亿,5.31亿,23.05
20,21,605099,共创草坪,19.6,0.46,0.09,0.05,0.23,0.99,1.33,0.18亿,4.00亿,78.42亿,15.00
21,22,002105,信隆健康,5.64,1.44,0.08,0.0,2.03,0.93,2.52,0.41亿,3.64亿,20.56亿,1859.15
22,23,000811,冰轮环境,11.02,0.27,0.03,0.0,1.95,1.12,2.46,1.61亿,7.46亿,82.19亿,13.32
23,24,300269,联建光电,5.15,0.39,0.02,0.0,7.66,0.66,5.26,2.08亿,5.26亿,27.07亿,--
24,25,605299,舒华体育,8.5,0.12,0.01,0.0,0.79,0.74,1.89,0.27亿,4.11亿,34.93亿,51.64
25,26,002887,绿茵生态,7.81,0.13,0.01,0.13,2.68,0.92,2.05,0.33亿,1.59亿,12.46亿,34.70
26,27,300247,融捷健康,4.41,0.23,0.01,0.23,3.25,1.11,4.55,1.15亿,8.03亿,35.42亿,72.99
27,28,600018,上港集团,5.9,0.17,0.01,-0.17,0.14,1.01,1.36,1.96亿,232.15亿,1369.66亿,8.72
28,29,002181,粤传媒,5.42,0.0,0.0,0.56,12.35,2.42,10.89,7.83亿,11.34亿,61.49亿,--
29,30,600136,ST明诚,2.1,-0.47,-0.01,0.0,0.75,1.4,4.74,0.31亿,19.43亿,40.80亿,--
30,31,600853,龙建股份,4.31,-0.23,-0.01,-0.69,14.99,5.14,9.03,6.77亿,10.09亿,43.48亿,13.99
31,32,000796,凯撒旅业,4.99,-0.2,-0.01,0.0,3.31,0.44,2.2,1.60亿,9.70亿,48.39亿,--
32,33,002486,嘉麟杰,2.96,-0.67,-0.02,-0.34,8.7,0.67,6.04,2.14亿,8.32亿,24.63亿,108.51
33,34,603908,牧高笛,25.01,-0.08,-0.02,0.04,1.78,0.63,2.52,0.42亿,0.93亿,23.35亿,18.95
34,35,300232,洲明科技,7.2,-0.28,-0.02,0.14,3.06,0.92,2.91,1.95亿,8.86亿,63.82亿,46.14
35,36,603558,健盛集团,10.02,-0.2,-0.02,-0.1,0.8,0.71,1.99,0.30亿,3.69亿,36.97亿,10.54
36,37,300651,金陵体育,14.65,-0.2,-0.03,0.07,3.19,0.55,2.73,0.35亿,0.75亿,10.98亿,64.95
37,38,002431,棕榈股份,2.55,-1.54,-0.04,0.0,2.65,1.07,4.25,1.22亿,18.13亿,46.23亿,--
38,39,600655,豫园股份,6.37,-0.62,-0.04,0.16,0.42,0.85,2.03,1.04亿,38.90亿,247.78亿,16.05
39,40,002489,浙江永强,3.46,-1.43,-0.05,0.29,2.05,0.68,3.99,1.36亿,19.13亿,66.19亿,11.55
40,41,002659,凯文教育,5.51,-1.08,-0.06,0.0,6.95,1.05,3.77,2.30亿,5.98亿,32.97亿,--
41,42,603000,人民网,25.54,-0.23,-0.06,0.0,3.36,0.82,3.75,9.46亿,11.06亿,282.39亿,377.13
42,43,002235,安妮股份,6.32,-0.94,-0.06,-0.16,8.24,0.73,5.17,2.91亿,5.54亿,34.99亿,111.29
43,44,002229,鸿博股份,17.2,-0.35,-0.06,-0.06,32.77,2.56,8.11,28.61亿,4.93亿,84.82亿,--
44,45,600684,珠江股份,3.69,-1.86,-0.07,-0.27,2.51,1.1,3.72,0.79亿,8.53亿,31.49亿,136.24
45,46,600398,海澜之家,6.11,-1.13,-0.07,0.0,0.88,0.59,2.1,2.58亿,48.03亿,293.45亿,11.54
46,47,600881,亚泰集团,2.23,-3.04,-0.07,0.0,14.97,1.85,16.52,11.16亿,32.49亿,72.45亿,--
47,48,002694,顾地科技,5.82,-1.19,-0.07,0.0,1.4,0.87,4.41,0.45亿,5.53亿,32.18亿,--
48,49,600633,浙数文化,11.33,-0.7,-0.08,0.09,1.8,0.93,3.51,2.60亿,12.68亿,143.67亿,22.70
49,50,000530,冰山冷热,5.67,-1.39,-0.08,0.0,7.13,0.95,4.17,2.44亿,6.00亿,34.02亿,37.91
50,51,000558,莱茵体育,3.33,-2.63,-0.09,0.0,6.5,0.78,5.85,2.84亿,12.89亿,42.91亿,--
51,52,300472,新元科技,7.81,-1.14,-0.09,-0.13,4.07,0.84,3.42,0.80亿,2.51亿,19.57亿,--
52,53,000069,华侨城A,3.0,-3.23,-0.1,-0.33,1.5,1.18,4.52,3.15亿,68.95亿,206.84亿,--
53,54,600826,兰生股份,8.99,-1.1,-0.1,0.0,2.07,0.64,3.08,1.37亿,7.36亿,66.12亿,24.50
54,55,300043,星辉娱乐,4.37,-2.24,-0.1,-0.23,9.57,0.64,6.49,5.25亿,12.44亿,54.34亿,--
55,56,600814,杭州解百,7.33,-1.35,-0.1,0.0,1.41,0.8,3.37,0.76亿,7.23亿,53.03亿,16.89
56,57,600052,东望时代,5.05,-2.13,-0.11,-0.2,0.98,0.67,3.68,0.42亿,8.44亿,42.63亿,34.31
57,58,300162,雷曼光电,8.54,-1.27,-0.11,-0.12,7.8,0.56,4.62,2.29亿,3.41亿,29.10亿,--
58,59,002701,奥瑞金,5.39,-2.18,-0.12,0.0,0.97,0.8,3.45,1.35亿,25.57亿,137.84亿,13.60
59,60,600768,宁波富邦,10.06,-1.18,-0.12,0.0,2.29,0.94,3.83,0.31亿,1.34亿,13.46亿,--
60,61,001300,三柏硕,13.8,-0.93,-0.13,-0.15,10.83,0.43,2.94,0.99亿,0.66亿,9.14亿,122.00
61,62,600158,中体产业,8.56,-1.5,-0.13,0.12,2.17,0.75,3.11,1.79亿,9.60亿,82.13亿,265.95
62,63,301058,中粮科工,11.44,-1.21,-0.14,0.0,1.52,0.91,2.16,0.89亿,5.12亿,58.60亿,38.07
63,64,603001,奥康国际,6.13,-2.23,-0.14,0.16,1.35,0.57,3.51,0.33亿,4.01亿,24.58亿,--
64,65,601966,玲珑轮胎,18.87,-0.74,-0.14,0.11,0.78,1.0,1.42,2.16亿,14.63亿,276.16亿,12.10
65,66,002639,雪人股份,7.2,-1.91,-0.14,-0.14,5.32,0.94,3.0,2.52亿,6.51亿,46.84亿,124.24
66,67,002899,英派斯,19.98,-0.7,-0.14,0.0,2.85,0.97,4.03,0.84亿,1.48亿,29.53亿,25.36
67,68,002027,分众传媒,6.88,-2.13,-0.15,0.0,1.36,1.94,3.56,13.53亿,144.42亿,993.62亿,18.78
68,69,300562,乐心医疗,14.52,-1.02,-0.15,0.21,10.83,1.09,5.45,2.59亿,1.61亿,23.39亿,46.87
69,70,600358,国旅联合,4.22,-3.87,-0.17,0.0,4.02,1.0,5.01,0.86亿,5.05亿,21.31亿,--
70,71,002832,比音勒芬,19.15,-0.93,-0.18,0.11,2.34,1.23,2.48,1.76亿,3.89亿,74.57亿,10.76
71,72,002135,东南网架,4.98,-3.49,-0.18,-0.2,5.31,1.31,3.49,2.79亿,10.44亿,51.98亿,25.51
72,73,002482,广田集团,2.48,-7.12,-0.19,-0.4,5.26,0.73,5.62,5.00亿,37.43亿,92.82亿,--
73,74,300291,百纳千成,6.32,-3.22,-0.21,0.0,4.71,0.58,6.28,2.78亿,9.29亿,58.71亿,--
74,75,600706,曲江文旅,10.24,-2.01,-0.21,0.1,2.22,0.85,2.87,0.58亿,2.54亿,26.01亿,--
75,76,002264,新华都,6.84,-3.12,-0.22,0.0,5.24,0.61,4.39,2.36亿,6.54亿,44.77亿,19.40
76,77,600679,上海凤凰,11.21,-2.18,-0.25,0.18,2.25,0.83,2.79,0.85亿,3.38亿,37.91亿,86.36
