,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002758,浙农股份,9.88,3.35,0.32,-0.1,5.47,2.83,7.95,2.83亿,5.18亿,51.17亿,24.09
1,2,003042,中农联合,17.31,0.64,0.11,-0.17,12.14,1.38,6.63,2.71亿,1.27亿,22.05亿,--
2,3,600318,新力金融,10.53,0.48,0.05,0.0,21.17,1.67,6.78,11.53亿,5.13亿,53.99亿,120.60
3,4,000564,供销大集,4.05,0.75,0.03,0.25,13.89,1.49,12.19,82.06亿,142.76亿,578.20亿,--
4,5,002014,永新股份,10.45,-0.29,-0.03,0.19,0.55,0.84,1.34,0.35亿,6.04亿,63.15亿,15.75
5,6,600354,敦煌种业,6.34,-0.47,-0.03,0.16,5.62,1.39,2.04,1.89亿,5.28亿,33.46亿,139.55
6,7,600217,中再资环,6.03,-2.11,-0.13,0.17,1.41,0.95,2.11,1.19亿,13.89亿,83.74亿,118.40
7,8,002556,辉隆股份,6.3,-2.17,-0.14,0.0,2.5,0.89,2.48,1.49亿,9.32亿,58.71亿,24.39
8,9,000893,亚钾国际,21.49,-0.69,-0.15,0.0,1.07,0.95,2.77,1.88亿,8.12亿,174.46亿,28.89
9,10,002999,天禾股份,7.05,-2.08,-0.15,0.14,7.54,1.16,3.33,1.83亿,3.42亿,24.12亿,174.58
10,11,000722,湖南发展,10.66,-2.38,-0.26,0.09,3.12,1.2,3.75,1.57亿,4.64亿,49.48亿,60.43
11,12,603970,中农立华,16.08,-1.71,-0.28,0.25,2.32,1.39,3.48,1.02亿,2.69亿,43.22亿,18.51
12,13,603029,天鹅股份,19.4,-1.52,-0.3,1.09,10.85,1.33,6.6,2.58亿,1.21亿,23.54亿,43.57
13,14,002643,万润股份,12.26,-3.46,-0.44,0.0,4.81,0.5,5.12,5.45亿,9.09亿,111.48亿,28.9
