,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002423,中粮资本,13.92,1.75,0.24,0.0,1.64,1.4,3.07,5.28亿,23.04亿,320.73亿,18.83
1,2,000593,德龙汇能,5.63,3.68,0.2,0.0,1.95,1.03,4.24,0.39亿,3.58亿,20.18亿,35.77
2,3,600638,新黄浦,5.29,3.32,0.17,0.0,1.73,0.95,5.47,0.61亿,6.73亿,35.62亿,47.81
3,4,600475,华光环能,9.18,1.55,0.14,0.0,0.76,1.57,2.88,0.65亿,9.42亿,86.51亿,13.68
4,5,000812,陕西金叶,4.68,2.63,0.12,0.0,3.6,0.9,3.51,1.29亿,7.68亿,35.95亿,45.8
5,6,000958,电投产融,6.53,1.87,0.12,0.0,0.76,0.87,2.65,2.65亿,53.83亿,351.54亿,34.55
6,7,002608,江苏国信,7.92,1.28,0.1,0.0,0.62,1.03,2.17,1.84亿,37.78亿,299.22亿,7.68
7,8,600120,浙江东方,4.94,2.07,0.1,-0.2,1.46,0.75,2.89,2.45亿,34.15亿,168.72亿,30.25
8,9,000617,中油资本,7.16,0.99,0.07,0.14,0.69,1.61,2.26,6.27亿,126.42亿,905.17亿,15.63
9,10,600061,国投资本,7.81,0.9,0.07,0.0,0.57,1.19,2.33,2.87亿,63.94亿,499.37亿,18.0
10,11,600517,国网英大,5.74,1.06,0.06,0.0,0.33,1.08,2.11,1.08亿,57.18亿,328.24亿,16.95
11,12,000563,陕国投A,3.73,1.64,0.06,0.0,1.17,1.15,2.73,2.23亿,51.14亿,190.75亿,15.31
12,13,600020,中原高速,4.28,1.18,0.05,0.0,0.84,0.93,1.66,0.80亿,22.47亿,96.19亿,8.77
13,14,000948,南天信息,17.47,0.29,0.05,0.0,2.2,0.97,2.87,1.49亿,3.86亿,67.42亿,92.25
14,15,600705,中航产融,3.82,1.33,0.05,0.0,1.4,1.93,4.24,4.75亿,88.04亿,336.33亿,42.16
15,16,600390,五矿资本,6.74,0.45,0.03,0.0,1.86,1.59,2.68,5.67亿,44.98亿,303.17亿,18.67
16,17,600643,爱建集团,5.49,0.55,0.03,-0.18,0.85,1.27,2.02,0.75亿,15.90亿,87.31亿,26.46
17,18,600816,建元信托,3.7,0.82,0.03,0.0,0.96,1.04,3.27,1.96亿,54.69亿,202.36亿,658.23
18,19,600000,浦发银行,10.36,0.19,0.02,0.0,0.24,0.91,2.61,7.15亿,293.52亿,3040.89亿,6.47
19,20,600327,大东方,5.32,0.19,0.01,0.0,4.78,0.84,4.14,2.26亿,8.85亿,47.07亿,35.01
20,21,000652,泰达股份,4.35,-0.23,-0.01,-0.23,1.16,0.81,2.75,0.75亿,14.74亿,64.14亿,35.03
21,22,600331,宏达股份,7.81,-0.76,-0.06,0.0,0.79,0.81,2.16,1.26亿,20.32亿,158.70亿,558.95
22,23,600828,茂业商业,4.33,-3.13,-0.14,0.0,2.67,1.16,6.26,2.05亿,17.31亿,74.97亿,36.55
23,24,600865,百大集团,10.68,-3.7,-0.41,-0.19,11.83,3.27,11.27,4.93亿,3.76亿,40.18亿,22.91
