,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688052,纳芯微,129.77,4.49,5.57,-0.12,3.78,1.66,6.89,4.56亿,0.93亿,121.13亿,--
1,2,603991,至正股份,50.39,10.0,4.58,0.0,4.28,0.72,10.68,1.56亿,0.75亿,37.56亿,--
2,3,301050,雷电微力,55.54,6.42,3.35,0.0,8.5,3.6,7.4,9.81亿,2.09亿,116.06亿,27.28
3,4,688147,微导纳米,29.37,8.46,2.29,0.27,9.46,3.37,12.63,2.63亿,0.98亿,28.69亿,66.87
4,5,688603,天承科技,120.0,1.27,1.51,0.0,2.43,0.72,4.95,0.61亿,0.21亿,25.28亿,91.53
5,6,300489,光智科技,57.4,2.67,1.49,-0.07,4.04,1.13,5.85,3.21亿,1.37亿,78.73亿,--
6,7,688012,中微公司,197.35,0.73,1.44,-0.02,2.5,1.51,5.96,31.12亿,6.22亿,1228.23亿,100.90
7,8,002449,国星光电,12.28,10.04,1.12,0.0,39.74,1.39,10.04,29.35亿,6.16亿,75.71亿,85.39
8,9,601137,博威合金,20.98,4.85,0.97,-0.1,8.68,2.18,8.65,14.23亿,7.80亿,163.69亿,11.21
9,10,688256,寒武纪,652.1,0.13,0.86,-0.06,1.51,0.79,3.1,41.51亿,4.17亿,2722.24亿,--
10,21,688082,盛美上海,104.72,0.33,0.34,-0.08,0.58,1.22,3.2,2.68亿,4.34亿,454.02亿,45.45
11,22,002669,康达新材,9.82,2.72,0.26,0.0,3.25,1.18,5.33,0.97亿,3.02亿,29.62亿,--
12,23,300397,天和防务,11.56,2.03,0.23,-0.09,3.69,1.3,2.47,1.74亿,4.06亿,46.88亿,--
13,24,300121,阳谷华泰,12.25,1.83,0.22,0.0,2.4,0.89,3.41,1.27亿,4.32亿,52.98亿,22.29
14,25,300316,晶盛机电,33.44,0.66,0.22,0.0,1.31,0.9,3.31,5.43亿,12.32亿,411.83亿,11.10
15,26,688167,炬光科技,63.52,0.33,0.21,0.03,2.65,1.15,4.5,1.55亿,0.90亿,57.40亿,--
16,27,002436,兴森科技,12.04,1.52,0.18,0.0,8.01,1.56,7.25,14.67亿,15.00亿,180.65亿,--
17,28,300545,联得装备,32.28,0.53,0.17,-0.03,2.32,0.73,2.8,0.85亿,1.13亿,36.35亿,22.16
18,29,688439,振华风光,53.84,0.3,0.16,0.15,1.79,1.07,2.52,1.11亿,1.14亿,61.33亿,32.51
19,30,000021,深科技,20.66,0.68,0.14,-0.05,6.13,1.19,3.75,19.85亿,15.60亿,322.38亿,36.56
20,121,688525,佰维存储,66.04,-6.03,-4.24,-0.05,10.52,0.91,8.08,22.83亿,3.15亿,208.13亿,93.63
21,122,301269,华大九天,130.42,-3.46,-4.68,0.02,2.73,0.97,4.65,9.52亿,2.62亿,342.12亿,907.12
22,123,688019,安集科技,143.06,-3.81,-5.67,0.0,2.84,1.57,5.81,5.38亿,1.29亿,184.85亿,35.32
23,124,300474,景嘉微,101.69,-6.71,-7.31,0.0,11.02,0.96,6.64,37.88亿,3.27亿,332.38亿,1669.53
24,91,300236,上海新阳,39.32,-0.98,-0.39,-0.05,1.61,1.02,2.9,1.79亿,2.78亿,109.47亿,71.22
25,92,301319,唯特偶,30.93,-1.28,-0.4,0.0,2.19,0.57,2.81,0.27亿,0.39亿,11.95亿,27.0
26,93,300054,鼎龙股份,26.93,-1.5,-0.41,-0.04,1.79,1.01,3.07,3.54亿,7.28亿,196.10亿,50.36
27,94,603324,盛剑科技,27.54,-1.47,-0.41,-0.15,1.38,0.64,2.0,0.57亿,1.49亿,41.05亿,33.75
28,95,600183,生益科技,25.4,-1.63,-0.42,0.0,1.06,0.95,2.79,6.46亿,23.71亿,602.32亿,33.73
29,96,688419,耐科装备,32.18,-1.29,-0.42,-0.03,5.42,1.03,3.71,0.39亿,0.22亿,7.13亿,34.27
30,97,301348,蓝箭电子,27.59,-1.53,-0.43,-0.04,4.72,0.64,4.42,1.77亿,1.33亿,36.81亿,43928.6
31,98,603203,快克智能,24.33,-1.74,-0.43,0.0,1.42,1.11,4.44,0.87亿,2.49亿,60.62亿,27.91
32,99,688181,八亿时空,32.5,-1.49,-0.49,0.0,3.97,0.95,3.88,1.74亿,1.34亿,43.71亿,53.19
33,100,688630,芯碁微装,61.88,-0.85,-0.53,0.03,1.62,1.12,3.21,1.33亿,1.32亿,81.52亿,39.43
34,11,002119,康强电子,16.75,5.21,0.83,0.0,27.55,2.35,10.62,17.67亿,3.75亿,62.86亿,59.36
35,12,300776,帝尔激光,64.49,1.1,0.7,0.05,3.44,1.83,4.36,3.72亿,1.67亿,107.78亿,34.45
36,13,603773,沃格光电,27.25,2.64,0.7,0.04,5.98,1.11,6.4,3.32亿,2.04亿,55.47亿,--
37,14,300751,迈为股份,107.7,0.57,0.61,-0.02,1.21,0.92,4.29,2.53亿,1.93亿,208.24亿,29.75
38,15,300567,精测电子,69.1,0.79,0.54,-0.01,4.05,1.17,5.97,5.75亿,2.03亿,140.12亿,172.78
39,16,600584,长电科技,40.45,1.3,0.52,0.0,5.29,1.59,4.61,38.39亿,17.89亿,723.82亿,50.44
40,17,300802,矩子科技,19.38,2.49,0.47,0.0,3.66,1.43,5.24,1.39亿,1.95亿,37.70亿,68.21
41,18,600745,闻泰科技,35.75,1.3,0.46,-0.08,3.83,1.6,4.7,17.14亿,12.45亿,444.93亿,80.50
42,19,002741,光华科技,18.1,2.15,0.38,-0.22,12.4,0.93,6.21,8.24亿,3.62亿,65.44亿,931.40
43,20,300493,润欣科技,27.54,1.29,0.35,0.0,21.23,1.0,12.43,29.73亿,5.01亿,137.97亿,285.11
44,41,300429,强力新材,12.75,0.47,0.06,0.08,3.14,0.84,3.15,1.61亿,3.99亿,50.82亿,--
45,42,688396,华润微,47.36,0.13,0.06,-0.15,0.71,1.21,2.73,4.45亿,13.24亿,626.82亿,94.15
46,43,603726,朗迪集团,16.0,0.25,0.04,0.0,1.38,0.7,2.63,0.41亿,1.84亿,29.44亿,16.76
47,44,603212,赛伍技术,10.67,0.28,0.03,0.0,1.54,1.04,1.88,0.72亿,4.37亿,46.68亿,--
48,45,000056,皇庭国际,3.08,0.65,0.02,0.0,11.15,0.74,7.52,3.15亿,9.04亿,27.83亿,--
49,46,600353,旭光电子,7.75,0.26,0.02,0.13,1.77,0.79,3.36,1.15亿,8.29亿,64.23亿,59.76
50,47,603078,江化微,17.94,0.11,0.02,0.06,3.92,0.9,2.51,2.71亿,3.86亿,69.18亿,60.16
51,48,688037,芯源微,92.01,0.02,0.02,0.01,3.61,1.34,6.36,6.71亿,2.01亿,184.91亿,128.84
52,49,300162,雷曼光电,7.87,0.13,0.01,0.0,5.78,0.7,6.23,1.58亿,3.41亿,26.82亿,--
53,50,688549,中巨芯,9.47,0.11,0.01,0.0,3.63,0.85,4.12,2.01亿,5.78亿,54.71亿,352.86
54,81,688352,颀中科技,13.19,-1.71,-0.23,0.08,3.23,1.07,3.13,1.55亿,3.60亿,47.47亿,51.50
55,82,300812,易天股份,23.32,-1.15,-0.27,0.0,3.24,0.77,3.56,0.70亿,0.91亿,21.15亿,--
56,83,688689,银河微电,22.62,-1.22,-0.28,-0.09,0.93,0.77,3.76,0.27亿,1.29亿,29.16亿,48.67
57,84,688020,方邦股份,37.67,-0.76,-0.29,-0.05,1.26,1.08,4.0,0.39亿,0.81亿,30.39亿,--
58,85,300041,回天新材,9.89,-2.94,-0.3,0.1,7.94,0.99,3.04,4.33亿,5.44亿,53.84亿,25.44
