,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688698,伟创电气,54.38,14.65,6.95,0.33,13.11,2.6,24.08,14.31亿,2.11亿,114.95亿,40.96
1,2,301023,江南奕帆,55.61,5.94,3.12,0.02,11.51,1.9,7.74,1.86亿,0.30亿,16.59亿,32.41
2,3,605011,杭州热电,25.58,10.02,2.33,0.0,4.07,2.83,10.58,3.98亿,4.00亿,102.35亿,45.41
3,4,002862,实丰文化,34.05,6.61,2.11,0.0,25.93,1.03,10.43,7.88亿,0.90亿,30.71亿,677.59
4,5,001255,博菲电气,34.77,5.49,1.81,-0.26,45.02,2.33,11.32,3.16亿,0.20亿,6.95亿,168.19
5,6,301131,聚赛龙,40.5,4.65,1.8,0.05,17.01,1.31,7.05,1.57亿,0.23亿,9.35亿,55.23
6,7,002886,沃特股份,18.77,10.02,1.71,0.0,15.47,1.05,12.72,5.80亿,2.08亿,39.07亿,147.80
7,8,301024,霍普股份,29.17,5.04,1.4,0.03,17.88,2.38,7.81,0.92亿,0.18亿,5.17亿,--
8,9,003028,振邦智能,39.67,3.55,1.36,0.13,6.62,1.1,4.75,1.40亿,0.54亿,21.44亿,24.82
9,10,002112,三变科技,12.76,10.0,1.16,0.0,14.98,2.31,10.86,4.83亿,2.62亿,33.44亿,31.95
10,11,300827,上能电气,50.32,2.28,1.12,0.0,3.27,1.31,5.39,4.32亿,2.60亿,130.83亿,44.94
11,12,688678,福立旺,14.41,8.43,1.12,-0.07,5.92,2.16,10.53,2.03亿,2.43亿,35.04亿,40.33
12,13,301328,维峰电子,42.54,2.53,1.05,0.02,10.99,1.29,5.4,1.59亿,0.34亿,14.52亿,51.54
13,14,688187,时代电气,48.28,2.22,1.05,-0.04,2.16,1.22,2.84,2.93亿,2.79亿,134.86亿,20.43
14,15,300139,晓程科技,17.7,5.92,0.99,0.06,19.37,2.39,6.7,7.92亿,2.34亿,41.36亿,89.48
15,16,603366,日出东方,18.29,5.12,0.89,0.0,18.83,1.03,9.14,27.96亿,8.13亿,148.71亿,165.86
16,17,301118,恒光股份,21.45,4.23,0.87,0.05,6.84,1.62,8.12,1.53亿,1.04亿,22.37亿,--
17,18,002623,亚玛顿,17.95,4.79,0.82,0.0,5.72,4.08,11.03,2.05亿,1.99亿,35.66亿,--
18,19,603097,江苏华辰,23.86,3.56,0.82,0.04,17.11,1.75,4.82,1.61亿,0.40亿,9.54亿,45.77
19,20,301162,国能日新,45.33,1.8,0.8,-0.04,7.08,1.01,4.27,1.96亿,0.61亿,27.85亿,63.99
20,21,002922,伊戈尔,17.44,4.56,0.76,-0.06,8.61,3.08,6.83,5.55亿,3.70亿,64.50亿,24.38
21,22,300554,三超新材,26.36,2.97,0.76,0.04,9.92,1.01,5.35,2.03亿,0.79亿,20.78亿,--
22,23,603717,天域生物,8.39,9.96,0.76,0.0,19.41,2.99,12.32,4.66亿,2.90亿,24.34亿,285.82
23,24,688551,科威尔,31.77,2.35,0.73,-0.03,1.45,1.32,4.06,0.38亿,0.84亿,26.69亿,38.77
24,25,603281,江瀚新材,26.82,2.68,0.7,0.0,1.68,2.75,3.52,1.13亿,2.52亿,67.50亿,16.43
25,26,688219,会通股份,10.68,6.91,0.69,0.28,4.12,2.03,6.81,1.97亿,4.59亿,49.05亿,24.12
26,27,300988,津荣天宇,20.8,3.33,0.67,0.1,11.64,1.91,9.49,2.65亿,1.07亿,22.34亿,35.98
27,28,000619,海螺新材,7.24,10.03,0.66,0.0,7.52,0.51,9.42,1.94亿,3.60亿,26.06亿,--
28,29,300828,锐新科技,18.11,3.78,0.66,-0.55,16.82,1.12,12.03,3.65亿,1.25亿,22.59亿,59.81
29,30,688097,博众精工,28.69,2.25,0.63,0.04,2.24,0.82,6.13,2.86亿,4.44亿,127.28亿,37.86
30,31,605196,华通线缆,12.22,5.25,0.61,0.0,4.11,1.41,7.15,2.53亿,5.11亿,62.43亿,16.87
