,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600593,大连圣亚,39.41,4.07,1.54,0.08,11.63,1.14,8.74,5.89亿,1.29亿,50.76亿,36.2
1,2,603099,长白山,44.29,3.02,1.3,-0.02,7.47,1.24,6.75,8.87亿,2.67亿,118.11亿,59.92
2,3,000501,武商集团,11.09,10.02,1.01,0.0,7.21,1.49,7.84,5.99亿,7.68亿,85.20亿,51.53
3,4,301187,欧圣电气,34.37,2.81,0.94,0.15,8.9,0.87,6.19,1.45亿,0.48亿,16.45亿,25.5
4,5,002899,英派斯,22.38,4.19,0.9,0.0,11.02,0.72,10.99,3.68亿,1.48亿,33.08亿,28.41
5,6,301533,威马农机,31.44,2.78,0.85,-0.03,7.25,1.05,4.41,0.63亿,0.28亿,8.74亿,38.66
6,7,000811,冰轮环境,12.07,4.41,0.51,0.0,5.89,1.51,6.23,5.20亿,7.46亿,90.02亿,14.59
7,8,301287,康力源,28.73,1.2,0.34,0.28,4.93,0.49,2.71,0.24亿,0.17亿,4.89亿,33.55
8,9,600697,欧亚集团,12.64,2.02,0.25,0.08,4.35,0.78,5.41,0.85亿,1.55亿,19.64亿,85.31
9,10,600177,雅戈尔,8.87,2.78,0.24,0.0,0.92,1.05,3.48,3.75亿,46.23亿,410.10亿,12.24
10,11,301058,中粮科工,10.98,2.14,0.23,0.0,2.07,0.91,3.54,1.16亿,5.12亿,56.25亿,36.54
11,12,605299,舒华体育,8.12,2.92,0.23,0.12,1.0,0.95,4.69,0.33亿,4.11亿,33.37亿,49.33
12,13,600749,西藏旅游,11.0,1.66,0.18,0.0,2.4,0.77,2.96,0.60亿,2.27亿,24.97亿,93.42
13,14,600628,新世界,8.56,2.15,0.18,0.0,5.41,0.99,5.49,2.99亿,6.47亿,55.37亿,63.47
14,15,600859,王府井,16.14,0.94,0.15,0.0,3.58,1.49,3.44,6.61亿,11.35亿,183.18亿,32.20
15,16,002887,绿茵生态,7.19,2.13,0.15,0.0,3.03,0.62,3.27,0.35亿,1.59亿,11.47亿,31.95
16,17,300472,新元科技,7.02,1.89,0.13,0.0,4.14,0.68,5.51,0.73亿,2.51亿,17.59亿,--
17,18,600138,中青旅,10.55,1.15,0.12,0.0,2.26,1.06,2.4,1.73亿,7.24亿,76.37亿,37.42
18,19,300005,探路者,7.33,1.52,0.11,-0.41,1.52,0.67,4.02,0.98亿,8.83亿,64.75亿,47.75
19,20,002051,中工国际,8.39,1.33,0.11,0.12,0.67,0.74,1.81,0.69亿,12.37亿,103.81亿,24.08
20,21,600655,豫园股份,6.53,1.24,0.08,0.0,0.41,1.24,2.64,1.03亿,38.90亿,254.01亿,16.45
21,22,002033,丽江股份,9.14,0.88,0.08,0.11,2.0,0.79,1.88,1.01亿,5.49亿,50.22亿,19.59
22,23,000888,峨眉山A,13.9,0.58,0.08,0.0,2.2,0.81,2.53,1.61亿,5.27亿,73.24亿,22.52
23,24,002159,三特索道,16.76,0.42,0.07,0.0,2.23,0.92,2.76,0.52亿,1.38亿,23.21亿,14.34
24,25,002523,天桥起重,3.38,1.81,0.06,0.0,5.67,0.83,4.52,2.73亿,14.12亿,47.71亿,203.82
25,26,600684,珠江股份,3.41,1.49,0.05,0.0,1.7,0.81,3.57,0.49亿,8.53亿,29.10亿,125.9
26,27,002780,三夫户外,12.7,0.4,0.05,0.0,6.23,0.79,4.03,1.03亿,1.31亿,16.59亿,175.3
27,28,600336,澳柯玛,7.23,0.7,0.05,0.0,2.24,0.44,3.76,1.30亿,7.98亿,57.70亿,1530.88
28,29,600853,龙建股份,4.21,1.2,0.05,0.0,2.91,0.76,2.64,1.24亿,10.11亿,42.58亿,13.66
29,30,002639,雪人股份,7.23,0.7,0.05,-0.14,6.63,0.59,3.76,3.14亿,6.51亿,47.04亿,124.76
30,41,300859,西域旅游,37.1,-0.48,-0.18,0.0,3.52,1.08,3.84,2.05亿,1.55亿,57.51亿,37.40
