,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,835579,机科股份,22.15,0.86,0.19,0.0,8.06,0.71,8.11,0.80亿,0.45亿,9.87亿,266.30
1,2,002310,*ST东园,2.1,0.96,0.02,0.48,2.5,0.7,4.33,1.42亿,26.85亿,56.39亿,--
2,3,300500,启迪设计,13.39,0.0,0.0,-0.08,3.52,0.89,3.29,0.79亿,1.68亿,22.44亿,--
3,4,000035,中国天楹,5.27,-1.13,-0.06,0.0,1.32,0.94,2.44,1.69亿,24.26亿,127.84亿,27.20
4,5,601330,绿色动力,6.67,-1.04,-0.07,0.0,0.63,1.05,1.48,0.42亿,9.89亿,65.97亿,13.84
5,6,600008,首创环保,3.35,-2.05,-0.07,0.0,1.72,1.08,2.34,4.26亿,73.41亿,245.91亿,5.67
6,7,600796,钱江生化,6.64,-1.19,-0.08,-0.15,12.45,0.56,2.38,2.51亿,3.01亿,20.01亿,33.49
7,8,300385,雪浪环境,5.89,-1.34,-0.08,0.0,5.3,1.3,5.03,0.91亿,2.89亿,17.05亿,--
8,9,002973,侨银股份,11.31,-0.79,-0.09,0.09,3.12,0.75,2.37,0.61亿,1.73亿,19.52亿,14.29
9,10,603177,德创环保,8.9,-1.11,-0.1,0.23,1.63,0.84,2.11,0.30亿,2.04亿,18.17亿,56.81
10,11,002140,东华科技,11.08,-0.98,-0.11,0.18,3.02,0.9,4.2,1.79亿,5.42亿,60.00亿,18.53
11,12,002496,辉丰股份,2.5,-4.21,-0.11,0.0,6.75,0.67,4.21,2.02亿,11.81亿,29.53亿,2167.24
12,13,300140,节能环境,6.63,-1.78,-0.12,1.38,3.4,2.28,4.74,2.32亿,10.20亿,67.63亿,23.21
13,14,000826,启迪环境,2.79,-4.12,-0.12,0.0,7.14,0.69,6.19,2.91亿,14.25亿,39.76亿,--
14,15,000900,现代投资,4.6,-2.75,-0.13,0.22,1.51,0.76,2.96,1.06亿,15.18亿,69.82亿,12.89
15,16,002483,润邦股份,5.46,-2.5,-0.14,0.37,1.89,0.86,2.86,0.92亿,8.85亿,48.33亿,14.24
16,17,301175,中科环保,5.48,-2.66,-0.15,-0.18,4.06,1.03,2.84,1.39亿,6.17亿,33.82亿,22.94
17,18,300422,博世科,5.24,-2.78,-0.15,0.19,1.97,1.03,3.52,0.54亿,5.17亿,27.07亿,--
18,19,002672,东江环保,4.85,-3.39,-0.17,0.0,0.95,0.96,3.59,0.42亿,9.05亿,43.90亿,--
19,20,300055,万邦达,5.75,-3.04,-0.18,0.17,2.04,1.01,3.37,0.75亿,6.33亿,36.38亿,708.16
20,21,601033,永兴股份,14.45,-1.23,-0.18,0.0,3.22,0.92,1.3,0.70亿,1.50亿,21.68亿,15.04
21,22,300929,华骐环保,10.3,-1.72,-0.18,0.0,2.79,0.96,2.39,0.36亿,1.23亿,12.68亿,--
22,23,300187,永清环保,5.66,-3.25,-0.19,-0.18,1.35,0.72,3.25,0.50亿,6.45亿,36.50亿,32.74
23,24,601200,上海环境,8.46,-2.31,-0.2,-0.12,0.98,1.08,2.42,1.13亿,13.46亿,113.89亿,17.03
24,25,000928,中钢国际,6.81,-2.99,-0.21,0.0,2.2,1.3,3.13,2.17亿,14.35亿,97.70亿,11.44
25,26,601827,三峰环境,8.78,-2.34,-0.21,0.46,1.17,2.61,4.34,1.73亿,16.72亿,146.80亿,10.90
26,27,603588,高能环境,5.66,-3.58,-0.21,-0.18,3.15,0.85,3.24,2.74亿,15.23亿,86.22亿,11.53
27,28,300664,鹏鹞环保,5.82,-3.64,-0.22,0.0,3.98,0.92,3.48,1.77亿,7.52亿,43.78亿,15.83
28,29,000546,金圆股份,5.72,-4.51,-0.27,0.0,5.55,0.86,3.84,2.29亿,7.13亿,40.76亿,28.71
29,30,000881,中广核技,7.85,-3.33,-0.27,0.0,1.77,1.25,3.2,1.11亿,7.90亿,62.04亿,--
30,31,000685,中山公用,9.06,-3.1,-0.29,0.0,1.63,0.94,2.78,1.86亿,12.54亿,113.61亿,9.81
31,32,301049,超越科技,29.2,-1.02,-0.3,-0.07,2.31,0.58,3.36,0.63亿,0.94亿,27.52亿,--
32,33,002514,宝馨科技,7.58,-4.05,-0.32,-0.13,4.61,0.64,3.42,1.96亿,5.54亿,42.00亿,--
33,34,300867,圣元环保,14.0,-2.71,-0.39,0.14,1.94,1.18,2.36,0.52亿,1.92亿,26.83亿,19.34
34,35,600587,新华医疗,18.01,-2.12,-0.39,0.0,1.69,1.14,2.39,1.84亿,6.02亿,108.43亿,13.28
35,36,301235,华康医疗,21.72,-2.16,-0.48,0.05,2.31,0.87,2.43,0.26亿,0.51亿,11.07亿,87.61
36,37,300815,玉禾田,16.24,-3.22,-0.54,0.0,1.98,0.74,3.28,1.26亿,3.90亿,63.27亿,9.79
37,38,603716,塞力医疗,10.03,-5.64,-0.6,0.0,16.7,0.92,4.8,3.26亿,1.91亿,19.16亿,--
