,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603205,健尔康,44.68,1.68,0.74,0.05,10.63,1.11,2.41,1.38亿,0.29亿,13.14亿,43.03
1,2,002198,嘉应制药,8.64,6.4,0.52,0.12,5.56,1.85,8.87,2.41亿,5.08亿,43.85亿,1144.54
2,3,000411,英特集团,11.67,4.57,0.51,0.09,7.76,5.53,9.59,2.95亿,3.21亿,37.46亿,12.87
3,4,002907,华森制药,14.31,2.58,0.36,0.0,2.42,2.15,3.94,1.07亿,3.09亿,44.20亿,60.10
4,5,300937,药易购,30.68,1.15,0.35,0.0,8.3,1.03,4.45,1.60亿,0.63亿,19.22亿,158.01
5,6,300006,莱美药业,6.03,5.24,0.3,0.0,6.79,1.49,6.28,4.37亿,10.56亿,63.67亿,--
6,7,301017,漱玉平民,14.29,1.49,0.21,-0.07,3.17,1.03,3.34,1.10亿,2.43亿,34.78亿,--
7,8,600518,康美药业,2.86,6.72,0.18,-0.35,13.15,2.26,8.21,51.81亿,136.13亿,389.33亿,5929.17
8,9,301331,恩威医药,25.58,0.67,0.17,-0.04,2.67,0.76,2.4,0.21亿,0.31亿,8.00亿,89.64
9,10,301263,泰恩康,15.34,1.05,0.16,0.2,2.3,0.82,2.77,0.92亿,2.63亿,40.34亿,42.08
10,11,002390,信邦制药,4.31,3.85,0.16,-0.23,3.71,1.98,5.3,2.93亿,18.52亿,79.81亿,35.58
11,12,301103,何氏眼科,23.86,0.63,0.15,0.0,2.15,1.08,3.12,0.43亿,0.83亿,19.83亿,172.69
12,13,600829,人民同泰,7.51,1.9,0.14,0.13,2.42,1.38,2.71,1.05亿,5.80亿,43.55亿,15.86
13,14,600479,千金药业,11.53,1.14,0.13,0.0,4.81,0.93,2.1,2.31亿,4.19亿,48.25亿,21.82
14,15,600107,美尔雅,5.57,2.39,0.13,-0.36,4.41,2.04,6.62,0.90亿,3.60亿,20.05亿,--
15,16,600272,开开实业,12.18,0.99,0.12,0.08,4.79,1.15,2.57,0.93亿,1.60亿,19.49亿,64.15
16,17,300288,朗玛信息,17.96,0.67,0.12,0.28,17.15,1.96,6.56,8.04亿,2.57亿,46.08亿,111.08
17,18,688067,爱威科技,19.3,0.63,0.12,0.1,1.06,0.81,2.4,0.14亿,0.68亿,13.12亿,39.17
18,19,000950,重药控股,5.92,1.89,0.11,0.0,2.04,1.42,2.58,2.08亿,17.28亿,102.31亿,26.26
19,20,300878,维康药业,19.25,0.47,0.09,0.16,2.2,0.95,3.86,0.61亿,1.44亿,27.74亿,47.40
20,21,600056,中国医药,11.91,0.76,0.09,0.0,1.85,1.4,2.2,3.29亿,14.95亿,178.10亿,29.88
21,22,002788,鹭燕医药,8.95,0.79,0.07,-0.11,1.65,1.36,1.8,0.57亿,3.82亿,34.15亿,10.13
22,23,300267,尔康制药,3.59,1.99,0.07,-0.55,10.91,1.96,8.52,5.64亿,14.22亿,51.06亿,--
23,24,603439,贵州三力,14.12,0.43,0.06,-0.07,1.36,0.9,2.06,0.77亿,4.04亿,57.02亿,22.36
24,25,000705,浙江震元,8.64,0.58,0.05,0.0,3.71,0.85,1.86,0.91亿,2.82亿,24.36亿,49.69
25,26,300626,华瑞股份,11.07,0.45,0.05,0.0,5.87,0.49,3.08,1.16亿,1.78亿,19.70亿,89.96
26,27,600557,康缘药业,15.12,0.33,0.05,0.07,1.89,1.07,2.46,1.66亿,5.78亿,87.47亿,18.47
27,28,000756,新华制药,16.26,0.25,0.04,-0.06,2.42,1.45,2.34,1.78亿,4.49亿,72.97亿,24.19
28,29,002589,瑞康医药,3.4,0.89,0.03,0.0,4.83,1.6,4.15,2.26亿,13.66亿,46.43亿,98.88
29,30,000963,华东医药,37.72,0.05,0.02,0.0,0.54,0.65,2.28,3.58亿,17.51亿,660.51亿,19.37
30,31,000989,ST九芝,7.73,0.26,0.02,-0.13,1.72,1.37,1.82,0.93亿,6.94亿,53.66亿,20.65
31,32,600572,康恩贝,4.85,0.21,0.01,0.0,1.97,1.41,2.69,2.45亿,25.63亿,124.32亿,18.03
32,33,003020,立方制药,19.58,0.05,0.01,0.0,1.2,0.75,2.2,0.32亿,1.38亿,27.05亿,23.64
33,34,600216,浙江医药,16.65,0.0,0.0,0.06,1.72,0.74,2.46,2.75亿,9.62亿,160.11亿,14.13
34,35,600833,第一医药,13.39,0.0,0.0,0.0,1.9,0.71,2.46,0.57亿,2.23亿,29.87亿,15.21
35,36,301408,华人健康,12.15,0.0,0.0,0.08,2.43,0.85,2.14,0.44亿,1.49亿,18.12亿,33.77
36,37,000597,东北制药,5.79,0.0,0.0,-0.17,3.21,1.09,4.14,2.63亿,14.07亿,81.46亿,29.84
37,38,600998,九州通,5.39,-0.18,-0.01,0.19,0.86,1.62,5.37,2.39亿,50.42亿,271.79亿,12.02
38,39,000788,北大医药,6.63,-0.15,-0.01,0.0,2.8,1.46,4.37,1.12亿,5.96亿,39.51亿,22.73
