,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603501,韦尔股份,99.35,1.67,1.63,0.01,1.14,0.93,2.64,13.66亿,12.14亿,1206.53亿,38.10
1,2,002475,立讯精密,40.21,2.13,0.84,-0.08,1.23,1.09,2.54,35.58亿,72.14亿,2900.87亿,24.03
2,3,603296,华勤技术,63.9,1.11,0.7,0.0,2.55,0.84,2.99,3.98亿,2.44亿,155.63亿,23.75
3,4,300735,光弘科技,32.46,2.14,0.68,0.0,4.84,1.12,3.43,11.86亿,7.57亿,245.81亿,125.59
4,5,301183,东田微,50.88,1.05,0.53,0.02,7.63,0.92,2.84,1.78亿,0.46亿,23.45亿,75.99
5,6,300207,欣旺达,23.65,1.81,0.42,0.0,2.29,1.03,3.7,9.21亿,17.12亿,404.81亿,27.01
6,7,002273,水晶光电,21.13,1.59,0.33,-0.05,2.71,0.93,2.36,7.76亿,13.58亿,286.93亿,25.58
7,8,600203,福日电子,10.86,2.55,0.27,0.0,7.89,0.95,3.4,5.07亿,5.93亿,64.40亿,--
8,9,600288,大恒科技,10.02,1.73,0.17,0.1,11.78,1.18,5.38,5.10亿,4.37亿,43.77亿,--
9,10,688157,松井股份,43.79,0.3,0.13,0.37,0.69,1.31,4.72,0.34亿,1.12亿,48.93亿,51.52
10,11,688400,凌云光,25.13,0.32,0.08,-0.04,4.54,0.93,4.79,2.74亿,2.40亿,60.24亿,78.01
11,12,688020,方邦股份,38.57,0.18,0.07,0.0,0.98,0.92,2.13,0.30亿,0.81亿,31.11亿,--
12,13,002387,维信诺,10.51,0.48,0.05,0.0,2.35,0.69,1.91,3.43亿,13.88亿,145.90亿,--
13,14,300337,银邦股份,13.04,0.23,0.03,0.08,4.72,0.67,2.77,4.37亿,7.11亿,92.76亿,73.42
14,15,300218,安利股份,15.79,0.13,0.02,0.0,1.45,0.93,2.03,0.49亿,2.16亿,34.15亿,17.10
15,16,002815,崇达技术,10.42,0.1,0.01,0.0,4.87,0.79,2.31,3.23亿,6.41亿,66.78亿,32.22
16,17,300537,广信材料,20.35,-0.15,-0.03,0.1,8.52,0.66,2.8,2.48亿,1.44亿,29.30亿,84.97
17,18,000536,华映科技,6.08,-0.65,-0.04,0.17,7.93,0.76,5.07,13.36亿,27.63亿,168.00亿,--
18,19,000969,安泰科技,12.04,-0.5,-0.06,0.0,3.61,0.66,2.23,4.45亿,10.26亿,123.53亿,27.91
19,20,000829,天音控股,13.52,-0.44,-0.06,0.0,3.18,0.69,2.43,4.37亿,10.24亿,138.46亿,501.82
20,21,688700,东威科技,30.22,-0.2,-0.06,0.0,1.95,0.91,5.55,1.73亿,2.98亿,90.18亿,98.88
21,22,002824,和胜股份,17.2,-0.41,-0.07,0.0,4.07,0.66,2.14,1.32亿,1.89亿,32.53亿,64.76
22,23,300545,联得装备,34.3,-0.23,-0.08,0.0,3.31,0.74,2.59,1.27亿,1.13亿,38.63亿,23.54
23,24,603256,宏和科技,10.11,-1.56,-0.16,0.3,2.78,0.6,5.55,2.46亿,8.80亿,88.94亿,863.29
24,25,300134,大富科技,14.4,-1.84,-0.27,0.0,3.48,0.82,3.61,3.58亿,7.12亿,102.59亿,--
25,26,301360,荣旗科技,56.51,-0.51,-0.29,-0.02,6.01,1.05,2.99,0.94亿,0.28亿,15.71亿,122.69
26,27,300657,弘信电子,21.74,-1.41,-0.31,0.0,5.77,0.88,3.54,5.73亿,4.57亿,99.28亿,145.58
27,28,836395,朗鸿科技,16.5,-1.9,-0.32,0.0,3.98,0.65,4.04,0.38亿,0.57亿,9.34亿,36.72
28,29,300602,飞荣达,20.88,-1.56,-0.33,-0.24,4.95,0.62,3.82,4.04亿,3.92亿,81.80亿,87.55
29,30,301338,凯格精机,35.35,-0.95,-0.34,-0.06,5.85,0.8,4.06,0.71亿,0.34亿,12.12亿,64.06
30,31,605588,冠石科技,46.34,-1.55,-0.73,0.0,3.31,0.89,2.59,1.12亿,0.73亿,33.87亿,218.19
31,32,688097,博众精工,28.06,-3.81,-1.11,-0.11,2.47,0.93,6.31,3.06亿,4.44亿,124.48亿,37.03
