,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300212,易华录,27.52,2.5,0.67,-0.07,4.61,1.59,6.7,8.80亿,6.98亿,192.10亿,--
1,2,002929,润建股份,30.77,2.06,0.62,-0.03,4.62,1.5,3.55,3.02亿,2.13亿,65.63亿,22.45
2,3,002965,祥鑫科技,31.63,0.89,0.28,0.0,4.06,1.06,2.58,1.95亿,1.53亿,48.31亿,18.00
3,4,300814,中富电路,30.76,0.52,0.16,0.03,1.28,0.9,2.39,0.69亿,1.76亿,54.08亿,130.11
4,5,688499,利元亨,27.17,0.56,0.15,0.04,5.23,0.9,4.44,2.14亿,1.52亿,41.17亿,--
5,6,603861,白云电器,9.89,1.44,0.14,0.1,1.74,1.17,3.18,0.75亿,4.36亿,43.17亿,26.77
6,7,603679,华体科技,15.82,0.89,0.14,0.0,3.96,1.11,3.19,1.03亿,1.63亿,25.82亿,--
7,8,002642,荣联科技,8.35,1.46,0.12,0.0,6.31,1.04,3.52,3.47亿,6.60亿,55.14亿,395.45
8,9,600821,金开新能,5.73,1.96,0.11,0.0,1.29,1.55,2.31,1.47亿,19.97亿,114.44亿,11.50
9,10,301248,杰创智能,17.94,0.62,0.11,0.0,8.54,1.35,4.21,1.56亿,1.02亿,18.26亿,--
10,11,601139,深圳燃气,7.22,1.41,0.1,0.14,0.64,1.0,1.69,1.33亿,28.77亿,207.70亿,14.76
11,12,600982,宁波能源,4.09,1.74,0.07,0.0,1.66,1.43,2.24,0.76亿,11.18亿,45.71亿,17.38
12,13,601222,林洋能源,7.35,0.82,0.06,-0.14,1.17,1.23,2.61,1.76亿,20.60亿,151.42亿,12.48
13,14,002015,协鑫能科,8.26,0.49,0.04,0.12,1.44,1.04,3.16,1.91亿,16.23亿,134.09亿,16.60
14,15,600523,贵航股份,12.81,0.16,0.02,-0.08,1.17,0.97,1.88,0.60亿,4.04亿,51.76亿,33.14
15,16,300366,创意信息,11.41,0.18,0.02,0.0,5.66,0.96,3.42,3.43亿,5.31亿,60.53亿,--
16,17,300513,恒实科技,10.28,0.1,0.01,0.1,3.51,0.6,2.14,1.01亿,2.81亿,28.93亿,--
17,18,300365,恒华科技,7.1,-0.42,-0.03,0.14,6.74,0.6,3.09,2.31亿,4.84亿,34.34亿,343.93
18,19,600736,苏州高新,6.49,-1.96,-0.13,0.0,4.33,0.77,3.32,3.24亿,11.51亿,74.72亿,23.65
19,20,300444,双杰电气,7.88,-1.99,-0.16,-0.13,7.36,0.83,2.74,3.43亿,5.92亿,46.67亿,40.60
20,21,002514,宝馨科技,7.84,-2.24,-0.18,0.0,8.95,1.02,6.73,3.88亿,5.54亿,43.44亿,--
21,22,300249,依米康,10.75,-1.83,-0.2,0.09,10.97,0.66,4.11,4.38亿,3.74亿,40.16亿,480.06
22,23,430556,雅达股份,9.11,-3.19,-0.3,0.0,3.45,0.68,4.57,0.38亿,1.18亿,10.76亿,60.00
23,24,300339,润和软件,58.19,-1.66,-0.98,-0.02,8.17,1.05,3.18,37.36亿,7.78亿,452.54亿,314.03
24,25,603353,和顺石油,16.56,-5.64,-0.99,0.06,10.31,2.03,9.35,2.97亿,1.70亿,28.22亿,49.93
