,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,11,002065,东华软件,7.57,1.34,0.1,0.0,2.12,0.99,4.02,4.70亿,29.08亿,220.13亿,37.15
1,12,688509,正元地信,4.16,2.21,0.09,0.0,2.87,0.75,4.42,0.46亿,3.85亿,16.01亿,--
2,13,301178,天亿马,29.23,0.31,0.09,0.0,6.08,0.9,5.01,0.79亿,0.44亿,12.74亿,--
3,14,300366,创意信息,9.88,0.82,0.08,0.0,3.57,0.88,4.29,1.89亿,5.31亿,52.41亿,--
4,15,300645,正元智慧,15.26,0.53,0.08,0.0,2.86,0.74,4.02,0.62亿,1.42亿,21.68亿,162.00
5,16,688118,普元信息,21.92,0.28,0.06,1.15,2.21,0.85,3.11,0.45亿,0.94亿,20.60亿,--
6,17,300166,东方国信,9.73,0.52,0.05,0.0,3.39,0.74,3.41,3.01亿,9.06亿,88.11亿,395.27
7,18,300369,绿盟科技,7.6,0.66,0.05,0.0,2.17,0.83,3.97,1.33亿,7.98亿,60.67亿,--
8,19,300047,天源迪科,12.3,0.33,0.04,0.08,3.59,0.82,2.94,2.45亿,5.50亿,67.62亿,182.50
9,20,002398,垒知集团,4.52,0.67,0.03,0.0,1.66,0.81,3.12,0.44亿,5.79亿,26.19亿,24.67
10,21,300348,长亮科技,15.39,0.0,0.0,0.0,5.69,0.51,4.74,5.61亿,6.35亿,97.68亿,2354.09
11,22,603189,网达软件,15.55,-0.06,-0.01,0.0,2.77,0.6,2.89,1.17亿,2.70亿,41.91亿,292.90
12,23,688038,中科通达,12.62,-0.24,-0.03,-0.16,1.09,0.57,3.32,0.16亿,1.16亿,14.69亿,626.40
13,24,002439,启明星辰,16.55,-0.54,-0.09,0.0,1.66,1.06,2.52,2.00亿,7.24亿,119.85亿,--
14,25,300036,超图软件,17.57,-0.51,-0.09,-0.06,1.91,0.79,2.55,1.49亿,4.37亿,76.82亿,246.83
15,26,300608,思特奇,11.16,-1.06,-0.12,0.0,2.78,0.57,3.19,0.87亿,2.75亿,30.70亿,--
16,27,002261,拓维信息,18.78,-0.69,-0.13,-0.05,3.98,0.91,3.49,8.53亿,11.28亿,211.78亿,1606.76
17,28,600536,中国软件,49.42,-0.28,-0.14,-0.02,2.98,0.92,3.79,12.59亿,8.43亿,416.59亿,--
18,29,300687,赛意信息,19.25,-0.77,-0.15,-0.05,2.71,0.87,2.94,1.72亿,3.25亿,62.64亿,62.55
19,30,688039,当虹科技,28.53,-0.77,-0.22,0.0,1.72,0.67,3.69,0.55亿,1.12亿,31.93亿,--
20,1,300496,中科创达,65.31,1.9,1.22,0.02,11.18,1.51,8.72,27.50亿,3.67亿,239.71亿,148.27
21,2,300290,荣科科技,19.93,3.05,0.59,-0.15,6.21,1.55,8.17,8.01亿,6.39亿,127.40亿,--
22,3,830799,艾融软件,53.5,0.56,0.3,0.0,4.8,1.2,5.66,3.14亿,1.21亿,64.58亿,196.10
23,4,300275,梅安森,14.89,1.57,0.23,0.07,4.24,1.04,3.96,1.62亿,2.55亿,37.98亿,73.48
24,5,688435,英方软件,33.17,0.52,0.17,-0.27,1.55,0.68,4.0,0.24亿,0.46亿,15.31亿,--
25,6,300663,科蓝软件,18.22,0.83,0.15,0.0,4.37,0.8,4.48,3.46亿,4.31亿,78.55亿,--
26,7,300542,新晨科技,22.06,0.69,0.15,0.0,3.12,0.77,3.56,1.71亿,2.46亿,54.35亿,--
27,8,300674,宇信科技,20.35,0.69,0.14,-0.05,2.22,0.94,4.11,3.21亿,7.03亿,143.10亿,40.99
28,9,300339,润和软件,52.96,0.23,0.12,-0.04,5.69,1.0,4.24,23.77亿,7.78亿,411.86亿,285.81
29,10,300379,东方通,15.98,0.69,0.11,0.06,3.52,0.77,3.28,2.98亿,5.27亿,84.16亿,--
30,31,300353,东土科技,12.03,-2.04,-0.25,-0.08,2.28,0.77,3.26,1.46亿,5.22亿,62.82亿,--
31,32,688292,浩瀚深度,20.52,-1.25,-0.26,0.0,1.83,0.72,3.08,0.34亿,0.90亿,18.47亿,66.04
32,33,600839,四川长虹,10.78,-2.44,-0.27,0.0,7.99,0.85,3.8,40.17亿,46.15亿,497.49亿,108.32
33,34,688561,奇安信,28.4,-0.98,-0.28,0.0,0.64,1.02,2.65,1.26亿,6.85亿,194.59亿,--
34,35,300872,天阳科技,17.66,-2.38,-0.43,0.0,8.6,1.04,4.81,6.15亿,3.96亿,69.92亿,71.76
35,36,688327,云从科技,12.89,-3.3,-0.44,0.0,3.65,0.8,4.65,3.61亿,7.52亿,96.93亿,--
36,37,300598,诚迈科技,51.08,-0.91,-0.47,0.02,2.71,0.98,3.34,3.03亿,2.17亿,110.80亿,--
37,38,688058,宝兰德,28.96,-1.66,-0.49,0.04,0.97,0.69,5.54,0.22亿,0.78亿,22.50亿,--
38,39,688152,麒麟信安,55.9,-1.32,-0.75,0.02,4.61,0.79,3.51,0.81亿,0.31亿,17.36亿,--
39,40,301236,软通动力,61.62,-1.25,-0.78,0.02,5.07,0.99,4.49,21.63亿,6.80亿,419.21亿,579.90
40,41,688316,青云科技,34.81,-2.33,-0.83,-0.49,3.16,0.69,3.65,0.40亿,0.36亿,12.51亿,--
41,42,688258,卓易信息,35.5,-2.66,-0.97,-0.25,1.74,0.86,4.83,0.76亿,1.21亿,43.01亿,160.56
42,43,300474,景嘉微,101.69,-6.71,-7.31,0.0,11.02,0.96,6.64,37.88亿,3.27亿,332.38亿,1669.53
