,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300496,中科创达,66.18,5.05,3.18,0.03,19.08,2.23,13.11,46.84亿,3.67亿,242.91亿,150.25
1,2,300232,洲明科技,8.32,12.13,0.9,-0.12,19.52,4.01,15.09,13.95亿,8.86亿,73.74亿,53.32
2,3,300264,佳创视讯,7.98,9.92,0.72,0.0,41.92,2.8,22.31,12.50亿,3.70亿,29.56亿,--
3,4,002122,汇洲智能,4.95,10.0,0.45,0.0,17.05,0.96,18.67,15.40亿,19.88亿,98.39亿,108.12
4,5,002587,奥拓电子,8.02,2.69,0.21,0.0,23.62,1.66,11.14,9.89亿,5.15亿,41.32亿,--
5,6,300113,顺网科技,16.22,1.31,0.21,0.0,10.77,1.69,5.56,9.30亿,5.29亿,85.79亿,39.80
6,7,300578,会畅通讯,22.9,0.35,0.08,-0.09,6.29,0.85,3.33,2.83亿,1.94亿,44.44亿,148.08
7,8,300302,同有科技,17.36,0.12,0.02,0.06,9.14,1.73,5.88,5.81亿,3.69亿,64.04亿,199.04
8,9,301337,亚华电子,35.21,0.06,0.02,0.03,14.37,1.94,3.27,1.97亿,0.39亿,13.67亿,--
9,10,600100,同方股份,7.68,-0.13,-0.01,-0.13,3.65,1.94,4.55,9.58亿,33.50亿,257.30亿,258.47
10,11,000851,ST高鸿,3.75,-0.53,-0.02,-0.27,2.23,1.02,3.18,0.96亿,11.32亿,42.45亿,--
11,12,600035,楚天高速,4.6,-1.5,-0.07,0.22,1.67,1.07,2.57,1.25亿,16.10亿,74.07亿,8.38
12,13,600355,精伦电子,5.0,-1.57,-0.08,-0.2,7.14,0.59,2.76,1.78亿,4.92亿,24.60亿,--
13,14,600898,*ST美讯,1.73,-4.95,-0.09,0.0,3.2,1.83,3.85,0.14亿,2.53亿,4.37亿,--
14,15,300245,天玑科技,14.9,-0.8,-0.12,-0.13,23.67,1.19,11.85,11.37亿,3.11亿,46.38亿,--
15,16,688777,中控技术,49.81,-0.24,-0.12,0.12,1.97,0.79,2.7,7.65亿,7.79亿,387.85亿,41.21
16,17,603025,大豪科技,16.26,-0.85,-0.14,0.06,1.29,0.91,3.23,2.33亿,11.09亿,180.35亿,27.48
17,18,002405,四维图新,9.98,-1.68,-0.17,-0.2,3.42,1.19,2.96,8.08亿,23.56亿,235.08亿,--
18,19,603189,网达软件,18.98,-0.89,-0.17,0.0,7.03,0.56,3.19,3.64亿,2.70亿,51.16亿,357.51
19,20,600734,实达集团,4.51,-3.84,-0.18,0.22,5.47,0.86,5.54,5.34亿,21.26亿,95.89亿,201.61
20,21,300366,创意信息,11.71,-1.51,-0.18,-0.26,10.22,1.53,4.96,6.48亿,5.31亿,62.12亿,--
21,22,300352,北信源,6.82,-2.57,-0.18,0.0,9.21,0.52,4.71,7.84亿,12.22亿,83.34亿,--
22,23,002987,京北方,15.95,-1.18,-0.19,0.13,3.59,1.34,3.22,3.46亿,6.02亿,96.02亿,32.84
23,24,000409,云鼎科技,10.13,-2.22,-0.23,0.0,5.49,0.63,2.61,2.38亿,4.23亿,42.88亿,63.80
24,25,002183,怡亚通,5.26,-4.36,-0.24,0.0,3.31,1.13,6.18,4.61亿,25.97亿,136.60亿,167.22
25,26,002104,恒宝股份,7.98,-2.92,-0.24,0.0,4.08,0.96,3.04,1.97亿,5.95亿,47.51亿,46.09
26,27,300083,创世纪,7.65,-3.29,-0.26,0.0,4.7,0.92,3.92,5.43亿,14.93亿,114.22亿,47.38
27,28,600797,浙大网新,8.51,-2.96,-0.26,-0.58,24.77,2.8,9.01,22.66亿,10.28亿,87.44亿,--
28,29,300800,力合科技,11.88,-2.54,-0.31,0.17,1.43,0.9,3.2,0.40亿,2.34亿,27.84亿,98.02
29,30,300369,绿盟科技,8.67,-3.56,-0.32,0.0,4.01,0.93,4.34,2.82亿,7.98亿,69.21亿,--
30,31,300479,神思电子,23.76,-1.7,-0.41,-0.5,17.9,0.85,9.81,8.49亿,1.97亿,46.82亿,--
31,32,603496,恒为科技,25.45,-1.66,-0.43,0.12,4.46,1.13,2.59,3.67亿,3.20亿,81.49亿,78.08
32,33,300183,东软载波,17.37,-2.58,-0.46,0.35,3.02,0.88,2.92,1.89亿,3.59亿,62.36亿,71.73
33,34,002177,御银股份,5.8,-7.35,-0.46,0.0,25.61,0.58,5.11,10.13亿,6.69亿,38.81亿,263.63
34,35,603106,恒银科技,9.57,-4.68,-0.47,0.0,3.66,0.68,4.28,1.87亿,5.21亿,49.81亿,--
35,36,002268,电科网安,18.01,-2.91,-0.54,-0.06,1.85,0.97,2.53,2.84亿,8.43亿,151.88亿,--
36,37,002261,拓维信息,19.99,-2.68,-0.55,0.0,5.8,0.82,2.43,13.19亿,11.28亿,225.43亿,1710.28
37,38,300353,东土科技,12.93,-4.22,-0.57,-0.08,5.35,1.1,3.93,3.66亿,5.22亿,67.52亿,--
38,39,000032,深桑达A,18.16,-3.15,-0.59,-0.11,3.11,1.16,4.27,3.71亿,6.45亿,117.09亿,--
39,40,300675,建科院,17.03,-3.46,-0.61,0.18,6.1,0.68,4.14,1.54亿,1.47亿,24.98亿,--
40,41,002465,海格通信,12.21,-4.83,-0.62,0.0,3.35,1.42,4.52,10.09亿,24.32亿,296.91亿,122.90
41,42,300605,恒锋信息,14.21,-4.25,-0.63,0.07,8.25,1.25,4.11,1.35亿,1.14亿,16.15亿,--
42,43,002232,启明信息,22.5,-2.81,-0.65,-0.13,5.36,0.5,2.89,5.00亿,4.09亿,91.92亿,--
43,44,688036,传音控股,93.24,-0.7,-0.66,0.24,0.73,1.02,3.3,7.75亿,11.40亿,1063.26亿,20.43
