,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300599,雄塑科技,7.67,20.03,1.28,0.0,7.31,2.66,16.75,1.17亿,2.12亿,16.27亿,--
1,2,301313,凡拓数创,23.74,4.54,1.03,0.17,15.58,1.42,12.33,2.48亿,0.67亿,15.83亿,--
2,3,300826,测绘股份,20.19,5.16,0.99,0.2,4.19,0.56,6.46,1.32亿,1.61亿,32.46亿,160.59
3,4,301372,科净源,21.26,2.71,0.56,0.43,3.39,0.76,3.62,0.29亿,0.41亿,8.69亿,--
4,5,002271,东方雨虹,13.85,3.82,0.51,0.0,3.89,1.66,4.8,10.37亿,19.32亿,267.61亿,19.81
5,6,002062,宏润建设,5.07,9.98,0.46,0.0,6.3,5.99,10.63,3.14亿,9.90亿,50.19亿,18.85
6,7,002205,国统股份,9.25,4.76,0.42,0.0,11.86,0.75,8.27,2.04亿,1.86亿,17.19亿,--
7,8,600969,郴电国际,6.88,6.17,0.4,0.15,4.31,2.15,6.79,1.09亿,3.70亿,25.46亿,31.59
8,9,603843,正平股份,3.94,10.06,0.36,0.0,3.61,0.64,6.14,0.98亿,7.00亿,27.57亿,--
9,10,002457,青龙管业,11.95,2.75,0.32,-0.17,4.3,1.17,4.64,1.72亿,3.33亿,39.83亿,26.43
10,31,300732,设研院,7.0,2.19,0.15,0.14,1.89,0.98,3.65,0.43亿,3.24亿,22.66亿,--
11,32,688450,光格科技,22.34,0.63,0.14,-0.09,1.38,0.65,3.42,0.12亿,0.37亿,8.35亿,--
12,33,301172,君逸数码,28.13,0.46,0.13,0.11,1.97,0.73,2.07,0.39亿,0.70亿,19.76亿,85.91
13,34,603357,设计总院,9.24,1.43,0.13,0.0,1.16,0.9,1.65,0.59亿,5.51亿,50.87亿,12.36
14,35,603700,宁水集团,10.26,1.28,0.13,-0.2,0.86,0.68,2.96,0.18亿,2.03亿,20.85亿,44.45
15,36,002671,龙泉股份,4.63,2.66,0.12,0.43,1.95,0.85,3.77,0.50亿,5.52亿,25.58亿,24.68
16,37,600874,创业环保,6.07,2.02,0.12,-0.16,0.89,1.22,2.35,0.66亿,12.30亿,74.69亿,10.55
17,38,601188,龙江交通,3.68,3.37,0.12,-0.27,2.25,1.08,4.49,1.09亿,13.16亿,48.42亿,24.35
18,39,603316,诚邦股份,4.93,2.5,0.12,0.0,2.55,0.64,4.57,0.33亿,2.64亿,13.03亿,--
19,40,301519,舜禹股份,13.0,0.85,0.11,0.08,2.25,0.83,2.1,0.23亿,0.78亿,10.13亿,117.64
20,61,603021,山东华鹏,4.52,1.34,0.06,0.0,2.88,0.53,4.26,0.42亿,3.20亿,14.46亿,--
21,62,600339,中油工程,3.7,1.65,0.06,0.54,0.76,1.01,2.75,1.56亿,55.83亿,206.58亿,24.50
22,63,000826,启迪环境,2.16,2.86,0.06,0.0,4.58,0.67,6.19,1.41亿,14.25亿,30.78亿,--
23,64,300070,碧水源,5.3,1.15,0.06,0.0,0.81,0.94,2.29,1.48亿,34.35亿,182.04亿,--
24,65,002372,伟星新材,12.7,0.4,0.05,-0.47,0.54,1.14,2.21,1.00亿,14.71亿,186.80亿,24.30
25,66,300197,节能铁汉,2.51,2.03,0.05,0.4,3.16,0.86,5.69,2.37亿,29.65亿,74.43亿,--
26,67,002431,棕榈股份,2.22,1.83,0.04,0.0,1.78,0.42,5.05,0.72亿,18.13亿,40.24亿,--
27,68,000778,新兴铸管,3.95,1.02,0.04,0.0,1.03,1.1,2.3,1.59亿,38.96亿,153.90亿,24.45
28,69,600170,上海建工,2.73,1.49,0.04,0.0,1.44,1.05,2.6,3.48亿,88.86亿,242.59亿,13.46
29,70,600008,首创环保,3.35,1.21,0.04,-0.3,1.0,1.04,1.81,2.46亿,73.41亿,245.91亿,5.67
30,81,300036,超图软件,17.57,-0.51,-0.09,-0.06,1.91,0.79,2.55,1.49亿,4.37亿,76.82亿,246.83
31,82,600736,苏州高新,6.71,-1.47,-0.1,0.0,5.45,0.79,3.52,4.28亿,11.51亿,77.25亿,24.45
32,83,600480,凌云股份,11.34,-1.73,-0.2,0.09,3.52,1.15,2.95,3.68亿,9.17亿,103.98亿,15.97
33,84,301127,天源环保,14.51,-2.81,-0.42,0.0,3.02,0.9,5.63,1.84亿,4.11亿,59.58亿,37.63
34,85,300007,汉威科技,22.91,-3.82,-0.91,-0.31,12.58,0.88,4.79,8.28亿,2.83亿,64.83亿,70.51
35,41,600528,中铁工业,8.26,1.35,0.11,0.12,0.52,1.04,1.59,0.96亿,22.22亿,183.50亿,10.44
36,42,603616,韩建河山,3.68,3.08,0.11,0.0,3.26,0.81,5.32,0.46亿,3.81亿,14.03亿,--
37,43,000407,胜利股份,3.43,3.31,0.11,0.0,1.85,1.24,3.62,0.55亿,8.76亿,30.04亿,20.63
38,44,002108,沧州明珠,3.69,2.79,0.1,0.0,1.52,1.41,4.46,0.92亿,16.48亿,60.82亿,33.30
39,45,301167,建研设计,13.15,0.77,0.1,0.38,2.8,0.66,2.38,0.26亿,0.71亿,9.35亿,142.09
40,46,301151,冠龙节能,16.28,0.62,0.1,0.37,4.74,0.53,4.2,0.43亿,0.56亿,9.10亿,92.33
41,47,300665,飞鹿股份,6.72,1.51,0.1,0.15,6.99,0.85,5.29,0.72亿,1.52亿,10.22亿,--
42,48,002443,金洲管道,6.0,1.52,0.09,0.0,1.57,1.02,2.37,0.49亿,5.19亿,31.17亿,19.05
43,49,603815,交建股份,5.91,1.55,0.09,-0.17,0.77,0.71,2.58,0.28亿,6.19亿,36.58亿,27.31
44,50,300388,节能国祯,7.91,1.15,0.09,0.0,0.92,0.77,2.3,0.49亿,6.79亿,53.72亿,15.64
45,71,002398,垒知集团,4.52,0.67,0.03,0.0,1.66,0.81,3.12,0.44亿,5.79亿,26.19亿,24.67
46,72,601668,中国建筑,6.04,0.33,0.02,0.0,0.39,0.9,1.16,9.65亿,413.20亿,2495.75亿,4.75
47,73,603856,东宏股份,11.47,0.09,0.01,-0.09,0.57,0.64,1.66,0.17亿,2.56亿,29.41亿,13.09
48,74,688296,和达科技,11.79,0.09,0.01,0.34,1.13,0.6,3.82,0.14亿,1.07亿,12.66亿,370.08
49,75,833427,华维设计,10.96,0.0,0.0,0.0,1.15,0.84,3.19,0.06亿,0.51亿,5.55亿,122.41
50,76,300210,森远股份,10.89,0.0,0.0,0.09,2.13,0.64,3.95,1.14亿,4.84亿,52.66亿,--
51,77,002542,中化岩土,4.14,-0.72,-0.03,-0.24,4.68,0.83,4.08,3.15亿,16.01亿,66.29亿,--
52,78,601686,友发集团,5.8,-0.69,-0.04,0.17,0.71,0.57,1.88,0.59亿,14.32亿,83.07亿,62.02
53,79,002478,常宝股份,5.46,-0.73,-0.04,0.0,2.71,0.8,1.82,1.07亿,7.20亿,39.29亿,8.97
54,80,832225,利通科技,10.8,-0.64,-0.07,0.0,2.13,0.75,3.04,0.16亿,0.68亿,7.37亿,14.94
55,51,688509,正元地信,4.16,2.21,0.09,0.0,2.87,0.75,4.42,0.46亿,3.85亿,16.01亿,--
56,52,300198,纳川股份,2.27,4.13,0.09,-0.44,5.37,1.17,8.26,1.26亿,10.24亿,23.26亿,--
57,53,300075,数字政通,17.37,0.52,0.09,0.06,3.26,1.04,4.28,2.94亿,5.14亿,89.35亿,394.64
58,54,002554,惠博普,2.62,3.15,0.08,0.0,1.8,0.54,4.33,0.63亿,13.47亿,35.28亿,--
59,55,000753,漳州发展,4.27,1.91,0.08,0.0,5.43,0.87,4.06,2.30亿,9.91亿,42.34亿,64.44
60,56,002524,光正眼科,3.87,2.11,0.08,0.26,2.95,0.91,4.75,0.58亿,5.08亿,19.67亿,--
61,57,600979,广安爱众,4.92,1.65,0.08,0.2,7.19,0.78,3.51,4.36亿,12.32亿,60.63亿,19.38
62,58,002641,公元股份,4.58,1.55,0.07,-0.22,0.84,0.75,2.88,0.43亿,11.34亿,51.94亿,28.58
63,59,600939,重庆建工,3.15,2.27,0.07,-0.32,0.83,1.13,4.22,0.50亿,19.02亿,59.91亿,--
64,60,002339,积成电子,7.39,0.82,0.06,-0.14,8.63,0.47,2.87,3.08亿,4.79亿,35.38亿,--
65,11,003039,顺控发展,13.58,2.26,0.3,-0.15,0.53,1.1,3.31,0.44亿,6.18亿,83.86亿,30.74
