,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301336,趣睡科技,56.6,8.85,4.6,-1.05,29.07,2.16,18.85,4.43亿,0.26亿,14.57亿,89.07
1,2,301489,思泉新材,69.17,3.1,2.08,0.0,12.8,2.02,6.3,3.01亿,0.34亿,23.52亿,71.73
2,3,301005,超捷股份,31.8,2.65,0.82,0.0,5.97,2.22,3.1,2.52亿,1.32亿,42.09亿,126.17
3,4,301221,光庭信息,50.55,1.57,0.78,0.1,9.2,1.41,6.79,2.02亿,0.44亿,22.06亿,320.4
4,5,300750,宁德时代,262.0,0.29,0.75,0.12,0.62,1.2,3.22,63.38亿,39.03亿,10224.70亿,24.04
5,6,600660,福耀玻璃,61.64,0.93,0.57,0.0,0.52,0.87,2.21,6.33亿,20.03亿,1234.64亿,22.02
6,7,603890,春秋电子,12.08,2.72,0.32,0.0,7.04,1.67,6.55,3.72亿,4.39亿,53.04亿,28.22
7,8,300627,华测导航,41.61,0.63,0.26,0.0,1.64,1.18,2.9,3.10亿,4.53亿,188.43亿,43.97
8,9,301439,泓淋电力,14.31,1.78,0.25,-0.07,4.17,2.94,2.7,1.10亿,1.83亿,26.22亿,30.22
9,10,600523,贵航股份,12.34,2.07,0.25,0.08,1.41,1.41,1.99,0.70亿,4.04亿,49.86亿,31.93
10,11,600729,重庆百货,29.55,0.75,0.22,-0.03,2.5,0.78,4.33,1.40亿,1.88亿,55.68亿,10.58
11,12,301229,纽泰格,23.3,0.87,0.2,0.22,4.2,0.75,3.16,0.47亿,0.48亿,11.16亿,42.42
12,13,300446,航天智造,17.38,1.05,0.18,0.0,4.8,1.33,3.37,2.62亿,3.12亿,54.15亿,20.56
13,14,688113,联测科技,29.37,0.55,0.16,0.34,0.54,0.72,2.71,0.10亿,0.64亿,18.91亿,25.64
14,15,300222,科大智能,10.58,1.44,0.15,0.19,4.68,0.84,3.74,3.17亿,6.36亿,67.26亿,204.63
15,16,000559,万向钱潮,6.39,2.08,0.13,0.16,0.82,1.42,3.99,1.74亿,33.04亿,211.11亿,22.10
16,17,601609,金田股份,6.27,1.95,0.12,0.0,1.18,0.87,2.76,1.09亿,14.78亿,92.70亿,24.15
17,18,301022,海泰科,21.24,0.57,0.12,0.05,1.97,0.64,2.13,0.22亿,0.52亿,11.09亿,43.95
18,19,300648,星云股份,24.3,0.5,0.12,0.0,2.02,0.72,2.27,0.52亿,1.06亿,25.80亿,--
19,20,688529,豪森智能,16.41,0.68,0.11,-0.06,1.08,0.71,4.42,0.30亿,1.67亿,27.45亿,268.02
20,21,000700,模塑科技,7.41,1.37,0.1,0.27,1.8,1.05,1.5,1.22亿,9.18亿,68.02亿,9.46
21,22,605319,无锡振华,21.58,0.37,0.08,0.14,0.8,0.81,2.84,0.37亿,2.14亿,46.11亿,16.16
22,23,600651,飞乐音响,4.35,1.64,0.07,-0.23,0.88,0.76,4.21,0.96亿,25.07亿,109.06亿,323.02
23,24,301307,美利信,21.32,0.33,0.07,-0.14,2.72,0.8,2.17,0.64亿,1.09亿,23.24亿,--
24,25,000030,富奥股份,5.29,1.34,0.07,0.0,0.64,1.04,2.49,0.57亿,16.92亿,89.52亿,15.56
25,26,000701,厦门信达,4.79,1.27,0.06,-0.21,3.43,0.87,6.55,1.07亿,6.41亿,30.68亿,--
26,27,600361,创新新材,4.07,0.99,0.04,0.0,1.9,1.01,2.23,1.29亿,16.67亿,67.85亿,15.86
27,28,600704,物产中大,5.18,0.58,0.03,0.0,0.87,0.96,1.75,2.31亿,51.54亿,266.96亿,8.65
28,29,300375,鹏翎股份,4.85,0.62,0.03,0.0,3.01,0.55,2.08,0.74亿,5.05亿,24.50亿,35.52
29,30,301072,中捷精工,19.89,0.1,0.02,0.05,0.96,0.53,1.96,0.13亿,0.67亿,13.35亿,--
