,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603236,移远通信,53.95,8.36,4.16,0.02,8.17,3.49,10.79,11.28亿,2.62亿,141.16亿,29.68
1,2,301550,斯菱股份,69.75,5.73,3.78,-0.07,16.91,0.79,8.9,6.26亿,0.55亿,38.31亿,42.05
2,3,300100,双林股份,30.3,14.17,3.76,0.0,20.32,1.39,19.48,22.49亿,3.87亿,117.28亿,24.85
3,4,603859,能科科技,41.04,10.0,3.73,0.0,22.64,2.53,9.01,22.15亿,2.45亿,100.42亿,64.03
4,5,300354,东华测试,40.55,9.6,3.55,0.2,21.42,2.34,16.32,7.03亿,0.81亿,32.93亿,42.47
5,6,688165,埃夫特,33.67,9.5,2.92,0.06,14.87,0.99,20.42,25.02亿,5.22亿,175.68亿,--
6,7,002881,美格智能,29.03,10.0,2.64,0.0,5.55,1.77,9.93,2.87亿,1.81亿,52.56亿,62.39
7,8,300276,三丰智能,10.6,20.05,1.77,0.0,46.01,1.24,23.33,46.62亿,10.21亿,108.20亿,602.09
8,9,688160,步科股份,59.5,2.87,1.66,0.0,6.05,0.96,10.08,3.04亿,0.84亿,49.98亿,115.78
9,10,002403,爱仕达,17.27,10.0,1.57,0.0,26.89,1.37,10.0,13.35亿,2.97亿,51.32亿,2657.00
10,11,301236,软通动力,61.46,2.52,1.51,0.0,8.03,1.62,7.64,33.24亿,6.80亿,418.12亿,578.39
11,12,300607,拓斯达,35.29,4.22,1.43,0.0,32.2,0.82,13.59,37.05亿,3.26亿,115.19亿,1365.93
12,13,300840,酷特智能,26.17,5.44,1.35,0.19,46.43,1.46,20.55,21.25亿,1.71亿,44.80亿,30.22
13,14,002232,启明信息,24.17,5.32,1.22,0.0,16.52,1.8,9.76,16.43亿,4.09亿,98.75亿,--
14,15,603391,力聚热能,43.75,2.87,1.22,-0.09,9.04,1.97,3.93,0.88亿,0.22亿,9.75亿,20.96
15,16,001339,智微智能,41.0,2.89,1.15,0.0,15.26,0.72,5.75,4.51亿,0.73亿,29.94亿,93.92
16,17,688577,浙海德曼,42.55,2.65,1.1,0.0,2.5,1.04,9.53,0.81亿,0.76亿,32.29亿,146.33
17,18,300378,鼎捷数智,31.26,3.51,1.06,0.03,14.06,1.14,9.14,12.09亿,2.70亿,84.28亿,127.54
18,19,300873,海晨股份,19.76,5.39,1.01,0.05,9.54,1.84,13.33,3.15亿,1.69亿,33.44亿,15.67
