,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603214,爱婴室,21.21,4.48,0.91,-0.19,14.29,1.73,14.48,4.15亿,1.39亿,29.38亿,46.02
1,2,002762,金发拉比,8.91,10.0,0.81,0.0,11.69,1.43,10.12,2.15亿,2.11亿,18.83亿,--
2,3,000607,华媒控股,4.8,4.58,0.21,-0.21,7.68,2.0,8.28,3.18亿,8.70亿,41.75亿,327.85
3,4,600551,时代出版,9.59,0.73,0.07,-0.21,1.75,0.99,3.68,1.14亿,6.78亿,65.03亿,18.65
4,5,002955,鸿合科技,27.03,0.07,0.02,0.04,4.34,1.1,3.67,2.19亿,1.87亿,50.59亿,19.55
5,6,300459,汤姆猫,7.65,0.13,0.01,-0.13,20.65,1.05,9.42,50.88亿,31.68亿,242.35亿,241.54
6,7,000656,*ST金科,1.56,-1.89,-0.03,-0.64,1.76,0.76,1.89,1.47亿,53.12亿,82.86亿,--
7,8,600757,长江传媒,9.04,-0.55,-0.05,0.0,2.42,0.85,1.76,2.67亿,12.13亿,109.70亿,11.94
8,9,300329,海伦钢琴,6.86,-0.87,-0.06,0.15,7.0,1.34,7.8,1.24亿,2.52亿,17.30亿,--
9,10,002067,景兴纸业,3.88,-2.27,-0.09,-0.26,4.48,0.67,3.27,1.84亿,10.45亿,40.54亿,68.75
10,11,300096,ST易联众,3.85,-2.28,-0.09,0.0,2.86,0.62,3.05,0.48亿,4.29亿,16.51亿,--
11,12,002083,孚日股份,5.06,-2.69,-0.14,0.0,2.67,1.02,2.88,1.29亿,9.46亿,47.88亿,10.68
12,13,300279,和晶科技,7.66,-2.79,-0.22,0.13,8.11,0.9,4.06,2.88亿,4.58亿,35.09亿,53.14
13,14,300703,创源股份,19.47,-1.17,-0.23,1.67,34.13,1.79,14.01,11.60亿,1.70亿,33.03亿,44.13
14,15,300010,豆神教育,9.41,-4.27,-0.42,0.0,11.82,0.52,4.68,12.74亿,11.28亿,106.10亿,131.55
15,16,002261,拓维信息,19.99,-2.68,-0.55,0.0,5.8,0.82,2.43,13.19亿,11.28亿,225.43亿,1710.28
16,17,301078,孩子王,13.48,-6.06,-0.87,0.0,5.18,0.96,4.46,8.89亿,12.46亿,168.02亿,96.90
