,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300976,达瑞电子,75.2,4.03,2.91,0.07,8.35,1.28,6.99,3.81亿,0.61亿,45.98亿,29.53
1,2,301380,挖金客,48.6,2.97,1.4,0.0,14.18,1.13,6.78,2.07亿,0.30亿,14.66亿,73.10
2,3,300496,中科创达,65.31,1.9,1.22,0.02,11.18,1.51,8.72,27.50亿,3.67亿,239.71亿,148.27
3,4,603535,嘉诚国际,11.58,9.97,1.05,0.0,1.33,1.76,0.0,0.50亿,3.23亿,37.38亿,18.06
4,5,000759,中百集团,10.81,9.97,0.98,0.0,23.38,0.97,8.14,16.29亿,6.56亿,70.88亿,--
5,6,300541,先进数通,13.65,7.57,0.96,-0.07,16.45,1.72,15.92,8.18亿,3.65亿,49.85亿,134.46
6,7,300766,每日互动,15.51,5.58,0.82,0.0,11.06,1.83,10.82,6.00亿,3.56亿,55.16亿,718.88
7,8,301382,蜂助手,28.45,2.71,0.75,0.0,7.86,0.84,6.82,3.05亿,1.37亿,38.89亿,51.30
8,9,603602,纵横通信,16.94,3.86,0.63,-0.06,10.17,2.1,7.66,3.99亿,2.29亿,38.83亿,137.46
9,10,300113,顺网科技,17.2,3.18,0.53,0.18,9.41,1.01,7.62,8.55亿,5.29亿,90.97亿,42.21
10,41,300232,洲明科技,7.31,1.11,0.08,0.14,4.59,0.75,6.09,3.01亿,8.86亿,64.79亿,46.85
11,42,002717,岭南股份,3.88,1.84,0.07,0.0,29.79,1.2,10.5,18.36亿,16.01亿,62.11亿,--
12,43,300315,掌趣科技,5.75,1.23,0.07,0.0,3.53,0.77,3.87,5.28亿,25.94亿,149.17亿,60.09
13,44,000070,ST特信,5.86,1.03,0.06,0.17,0.91,0.62,1.72,0.47亿,8.89亿,52.07亿,894.45
14,45,002654,万润科技,12.91,0.47,0.06,0.0,3.7,0.98,3.81,4.08亿,8.45亿,109.12亿,245.95
15,46,002752,昇兴股份,6.57,0.92,0.06,0.0,6.77,1.99,5.68,4.32亿,9.77亿,64.17亿,14.01
16,47,300043,星辉娱乐,4.06,1.5,0.06,0.25,6.58,0.74,6.5,3.35亿,12.44亿,50.49亿,--
17,48,600410,华胜天成,7.56,0.8,0.06,-0.13,7.46,0.7,4.13,6.24亿,10.96亿,82.89亿,--
18,49,600556,天下秀,5.7,1.06,0.06,0.0,4.69,0.77,4.96,4.86亿,18.08亿,103.04亿,118.14
19,50,002120,韵达股份,7.77,0.65,0.05,-0.13,0.58,0.78,1.29,1.26亿,28.15亿,218.74亿,12.00
