,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603530,神马电力,25.18,2.19,0.54,-0.04,0.62,0.88,3.49,0.66亿,4.28亿,107.69亿,37.86
1,2,000533,顺钠股份,5.01,10.11,0.46,0.0,2.14,0.78,0.0,0.73亿,6.85亿,34.31亿,36.41
2,3,000600,建投能源,6.13,5.33,0.31,0.0,10.76,1.24,8.94,7.09亿,10.90亿,66.82亿,19.07
3,4,002015,协鑫能科,8.24,3.91,0.31,0.12,2.44,1.69,5.55,3.25亿,16.23亿,133.76亿,16.56
4,5,688676,金盘科技,43.72,0.67,0.29,0.51,9.72,1.17,7.71,20.00亿,4.57亿,199.99亿,37.15
5,6,300040,九洲集团,8.22,3.27,0.26,0.24,30.96,1.4,12.31,11.89亿,4.66亿,38.29亿,49.94
6,7,000400,许继电气,28.3,0.85,0.24,0.0,1.48,0.93,2.53,4.23亿,10.08亿,285.36亿,24.17
7,8,300018,中元股份,7.04,2.92,0.2,0.0,4.33,1.0,4.53,1.16亿,3.81亿,26.83亿,38.18
8,9,600268,国电南自,7.09,2.75,0.19,0.0,1.98,1.79,3.62,1.40亿,10.06亿,71.33亿,51.53
9,10,300930,屹通新材,29.19,0.66,0.19,-0.03,4.48,0.64,3.17,0.61亿,0.47亿,13.76亿,54.82
10,11,600995,南网储能,10.33,1.67,0.17,-0.1,0.77,1.22,2.07,0.87亿,11.09亿,114.57亿,23.69
11,12,603618,杭电股份,5.71,3.07,0.17,0.0,1.86,1.47,5.6,0.74亿,6.91亿,39.48亿,24.46
12,13,605056,咸亨国际,12.94,1.33,0.17,0.0,0.59,0.92,2.19,0.31亿,4.07亿,52.62亿,41.15
13,14,600310,广西能源,4.79,3.46,0.16,0.0,1.25,1.02,3.89,0.87亿,14.66亿,70.21亿,11.71
14,15,001289,龙源电力,16.17,1.0,0.16,-0.06,4.04,1.03,1.94,0.87亿,1.33亿,21.56亿,18.52
