,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300785,值得买,35.57,6.69,2.23,0.2,23.98,1.41,9.0,10.01亿,1.22亿,43.49亿,1394.37
1,2,002878,元隆雅图,16.98,5.73,0.92,0.0,19.71,0.82,9.9,7.63亿,2.34亿,39.67亿,149.94
2,3,300959,线上线下,38.4,1.86,0.7,0.31,10.27,1.64,3.5,2.05亿,0.52亿,20.07亿,184.50
3,4,301171,易点天下,38.5,0.79,0.3,0.13,26.93,0.88,7.54,31.56亿,3.09亿,118.88亿,69.88
4,5,000676,智度股份,10.49,1.65,0.17,-0.1,10.26,1.25,5.52,13.72亿,12.64亿,132.57亿,64.12
5,6,300612,宣亚国际,19.06,0.63,0.12,0.0,13.18,1.06,7.39,4.51亿,1.80亿,34.28亿,--
6,7,688365,光云科技,9.83,0.92,0.09,-0.1,4.77,1.48,5.13,2.01亿,4.26亿,41.86亿,--
7,8,002591,恒大高新,6.07,1.34,0.08,0.0,5.68,0.94,3.0,0.76亿,2.24亿,13.57亿,96.15
8,9,002429,兆驰股份,5.2,0.78,0.04,0.0,1.48,1.41,3.1,3.51亿,45.24亿,235.26亿,12.86
9,10,002571,德力股份,5.13,0.59,0.03,0.2,3.22,0.91,1.96,0.49亿,2.98亿,15.30亿,--
10,11,601156,东航物流,15.99,0.12,0.02,-0.06,1.07,0.71,2.38,1.63亿,9.45亿,151.04亿,9.21
11,12,300710,万隆光电,20.82,0.1,0.02,0.0,3.98,1.04,3.22,0.73亿,0.89亿,18.56亿,117.07
12,13,300997,欢乐家,16.97,-0.06,-0.01,0.18,2.74,0.41,3.53,1.84亿,3.96亿,67.21亿,68.00
13,14,002959,小熊电器,43.77,-0.11,-0.05,0.14,0.86,0.99,1.73,0.58亿,1.54亿,67.57亿,28.62
14,15,605136,丽人丽妆,9.33,-0.64,-0.06,1.63,12.55,1.41,9.05,4.67亿,4.00亿,37.36亿,--
15,16,600228,返利科技,7.81,-1.14,-0.09,0.0,24.32,1.79,5.95,8.10亿,4.17亿,32.54亿,--
16,17,603836,海程邦达,13.5,-0.73,-0.1,0.07,1.08,0.42,2.13,0.30亿,2.05亿,27.71亿,25.32
17,18,603535,嘉诚国际,11.42,-1.3,-0.15,0.0,1.24,0.61,2.68,0.46亿,3.23亿,36.86亿,17.81
18,19,300805,电声股份,9.99,-1.67,-0.17,0.2,5.09,0.81,5.02,1.45亿,2.87亿,28.69亿,519.10
19,20,002264,新华都,6.84,-3.12,-0.22,0.0,5.24,0.61,4.39,2.36亿,6.54亿,44.77亿,19.40
20,21,688648,中邮科技,25.33,-1.05,-0.27,0.04,2.03,0.62,2.69,0.34亿,0.66亿,16.75亿,--
21,22,000829,天音控股,13.23,-2.15,-0.29,0.08,3.3,0.79,3.99,4.48亿,10.24亿,135.49亿,491.05
22,23,002117,东港股份,10.17,-2.77,-0.29,0.0,6.31,0.75,3.63,3.37亿,5.24亿,53.25亿,49.80
23,24,300740,水羊股份,13.36,-2.34,-0.32,-0.08,2.41,0.86,2.92,1.16亿,3.57亿,47.75亿,41.24
24,25,300531,优博讯,15.81,-2.35,-0.38,-0.06,3.0,0.69,3.52,1.50亿,3.15亿,49.82亿,222.67
25,26,300766,每日互动,16.43,-2.32,-0.39,-0.12,8.05,0.65,5.71,4.73亿,3.56亿,58.44亿,761.52
26,27,002995,天地在线,23.85,-1.69,-0.41,0.13,18.67,0.64,7.17,5.00亿,1.12亿,26.81亿,--
27,28,603598,引力传媒,17.02,-3.19,-0.56,-0.23,15.02,1.36,6.94,6.88亿,2.68亿,45.59亿,175.68
28,29,003010,若羽臣,22.13,-2.64,-0.6,0.0,5.31,0.49,5.32,1.42亿,1.21亿,26.76亿,47.18
29,30,002640,跨境通,6.14,-9.97,-0.68,0.0,7.91,0.27,4.99,6.98亿,14.27亿,87.61亿,--
30,31,300792,壹网壹创,24.6,-2.88,-0.73,-0.08,6.96,0.76,3.83,3.65亿,2.13亿,52.28亿,46.15
31,32,603214,爱婴室,17.88,-4.69,-0.88,0.0,5.16,0.6,3.62,1.29亿,1.39亿,24.77亿,38.79
32,33,301001,凯淳股份,28.7,-3.04,-0.9,0.07,9.95,0.7,4.83,1.45亿,0.50亿,14.44亿,368.18
33,34,834415,恒拓开源,18.5,-8.87,-1.8,0.0,6.63,1.04,8.37,1.38亿,1.08亿,19.99亿,191.71
34,35,838227,美登科技,48.13,-7.14,-3.7,0.0,9.35,0.77,4.44,0.80亿,0.18亿,8.48亿,45.02
