,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300857,协创数据,103.99,15.52,13.97,-0.05,8.79,2.22,22.56,20.65亿,2.45亿,254.32亿,34.34
1,2,301299,卓创资讯,64.44,7.49,4.49,0.03,20.27,1.76,19.57,4.58亿,0.35亿,22.70亿,55.09
2,3,688787,海天瑞声,93.4,4.94,4.4,-0.32,10.31,1.61,11.24,5.96亿,0.60亿,56.34亿,1115.36
3,4,603859,能科科技,37.31,9.99,3.39,0.0,11.07,1.32,10.44,9.65亿,2.45亿,91.30亿,58.22
4,5,688435,英方软件,39.28,9.11,3.28,-0.03,11.71,3.45,18.61,2.09亿,0.46亿,18.13亿,--
5,6,301171,易点天下,38.2,8.52,3.0,0.58,36.93,1.29,20.4,43.10亿,3.09亿,117.95亿,69.34
6,7,301556,托普云农,97.5,3.16,2.99,0.4,26.61,1.35,14.03,4.78亿,0.18亿,17.89亿,81.42
7,8,300399,天利科技,31.58,9.16,2.65,0.03,38.05,2.41,29.45,23.03亿,1.98亿,62.40亿,--
8,9,002362,汉王科技,28.07,9.99,2.55,0.0,1.95,0.13,0.0,1.14亿,2.08亿,58.27亿,--
9,10,300788,中信出版,35.56,6.24,2.09,-0.03,8.23,1.59,8.28,5.45亿,1.90亿,67.62亿,38.97
10,11,300676,华大基因,47.57,4.55,2.07,0.02,1.53,2.13,5.78,2.95亿,4.13亿,196.24亿,--
11,12,000628,高新发展,61.53,3.2,1.91,0.0,12.46,1.64,6.94,14.68亿,1.92亿,118.19亿,134.97
12,13,000681,视觉中国,18.71,9.99,1.7,0.0,8.37,0.7,1.41,10.56亿,6.76亿,126.48亿,120.34
13,14,301315,威士顿,56.28,3.12,1.7,0.05,28.28,0.78,7.93,5.78亿,0.37亿,20.82亿,123.95
14,15,688244,永信至诚,31.03,5.37,1.58,0.0,5.3,1.59,8.29,0.80亿,0.49亿,15.36亿,--
15,16,002229,鸿博股份,17.26,10.01,1.57,0.0,28.58,3.09,10.58,23.84亿,4.93亿,85.12亿,--
16,17,605168,三人行,37.9,4.29,1.56,-0.03,13.94,2.92,6.91,11.17亿,2.11亿,79.90亿,32.99
17,18,300635,中达安,13.08,13.25,1.53,0.0,27.78,4.72,18.79,4.42亿,1.20亿,15.71亿,596.26
18,19,300785,值得买,33.34,4.29,1.37,0.06,22.59,1.41,9.38,9.10亿,1.22亿,40.76亿,1306.95
19,20,300226,上海钢联,26.65,5.21,1.32,0.0,11.22,1.91,10.97,9.11亿,3.06亿,81.66亿,50.11
20,21,301313,凡拓数创,27.85,4.74,1.26,0.0,31.29,0.97,9.36,5.71亿,0.67亿,18.57亿,--
21,22,301052,果麦文化,31.1,4.12,1.23,0.1,19.65,1.46,5.19,4.85亿,0.80亿,24.94亿,108.69
22,23,603888,新华网,26.25,4.67,1.17,0.04,6.2,2.22,5.22,8.29亿,5.19亿,136.25亿,65.58
23,24,300520,科大国创,28.5,4.13,1.13,0.07,15.69,0.82,6.17,12.31亿,2.77亿,79.05亿,--
24,25,000719,中原传媒,12.3,10.02,1.12,0.0,8.07,4.7,7.69,6.41亿,6.67亿,82.06亿,18.57
25,26,300071,福石控股,6.72,20.0,1.12,0.0,22.07,1.98,11.25,13.47亿,9.25亿,62.18亿,--
26,27,603882,金域医学,34.34,3.19,1.06,0.0,2.44,1.74,5.68,3.87亿,4.60亿,158.01亿,127.15
27,28,688031,星环科技,62.7,1.69,1.04,-1.42,18.07,2.17,19.46,10.95亿,0.94亿,58.74亿,--
28,29,601858,中国科传,24.34,4.42,1.03,0.0,2.82,1.7,6.13,5.35亿,7.91亿,192.41亿,66.22
29,30,300364,中文在线,31.19,3.38,1.02,0.06,18.63,1.46,6.86,37.95亿,6.61亿,206.16亿,--
30,31,002530,金财互联,10.96,10.04,1.0,0.0,15.67,0.83,4.62,11.83亿,6.95亿,76.19亿,2001.87
31,32,603466,风语筑,10.97,10.03,1.0,0.0,1.09,0.29,0.0,0.71亿,5.95亿,65.25亿,--
32,33,300711,广哈通信,24.68,4.13,0.98,-0.04,13.0,1.36,11.31,8.23亿,2.48亿,61.31亿,220.07
33,34,839790,联迪信息,37.49,2.68,0.98,0.0,21.07,1.07,28.16,4.41亿,0.54亿,20.38亿,218.19
34,35,603598,引力传媒,17.58,5.84,0.97,0.0,26.75,3.68,8.49,12.61亿,2.68亿,47.09亿,181.46
35,36,688246,嘉和美康,32.07,3.12,0.97,0.0,2.91,1.1,6.95,0.93亿,1.01亿,32.37亿,--
36,37,300047,天源迪科,14.8,6.63,0.92,0.0,19.17,2.27,8.57,15.67亿,5.50亿,81.36亿,219.60
37,38,603533,掌阅科技,22.8,4.11,0.9,0.04,9.3,1.21,6.12,9.27亿,4.39亿,100.07亿,--
38,39,000779,甘咨询,9.58,9.99,0.87,0.0,6.56,2.42,9.64,2.85亿,4.65亿,44.53亿,18.52
39,40,301169,零点有数,47.63,1.79,0.84,0.0,6.75,0.87,5.34,2.30亿,0.72亿,34.22亿,--
40,41,301208,中亦科技,38.8,2.21,0.84,0.05,13.21,1.42,6.43,2.24亿,0.44亿,17.09亿,64.51
41,42,688695,中创股份,35.97,2.39,0.84,-0.06,8.48,0.95,4.36,0.58亿,0.19亿,6.88亿,236.42
42,43,300925,法本信息,24.92,3.4,0.82,-0.04,9.56,1.17,6.02,7.82亿,3.31亿,82.38亿,72.90
43,44,300061,旗天科技,16.69,5.1,0.81,0.0,13.51,1.27,9.51,13.96亿,6.21亿,103.57亿,--
44,45,603729,龙韵股份,19.41,4.3,0.8,-0.05,17.28,0.89,10.75,3.14亿,0.93亿,18.12亿,515.87
45,46,688651,盛邦安全,42.02,1.84,0.76,-0.19,9.08,1.76,9.89,1.25亿,0.32亿,13.24亿,--
46,47,002236,大华股份,16.87,4.59,0.74,-0.06,4.46,2.68,4.9,15.71亿,21.04亿,354.88亿,16.38
47,48,002232,启明信息,22.95,3.24,0.72,0.0,9.43,1.09,6.12,8.71亿,4.09亿,93.76亿,--
48,49,688228,开普云,54.66,1.32,0.71,0.85,10.7,1.41,8.92,4.00亿,0.68亿,36.91亿,--
49,50,300212,易华录,27.52,2.5,0.67,-0.07,4.61,1.59,6.7,8.80亿,6.98亿,192.10亿,--
50,51,301129,瑞纳智能,27.85,2.46,0.67,0.04,17.82,1.03,4.23,1.76亿,0.36亿,10.00亿,--
51,52,300781,因赛集团,73.33,0.89,0.65,0.0,22.52,1.56,6.88,13.38亿,0.81亿,59.47亿,166.75
52,53,600850,电科数字,24.5,2.64,0.63,0.0,2.24,1.24,3.65,3.32亿,6.10亿,149.43亿,41.49
53,54,603999,读者传媒,6.91,10.03,0.63,0.0,7.71,3.91,8.76,3.00亿,5.76亿,39.80亿,41.63
54,55,002929,润建股份,30.77,2.06,0.62,-0.03,4.62,1.5,3.55,3.02亿,2.13亿,65.63亿,22.45
55,56,301159,三维天地,37.68,1.56,0.58,0.03,14.79,1.04,5.58,1.73亿,0.31亿,11.76亿,--
56,57,300231,银信科技,14.89,3.98,0.57,0.07,20.91,0.77,8.03,10.67亿,3.48亿,51.77亿,96.40
57,58,605186,健麾信息,23.33,2.5,0.57,0.04,4.5,1.48,6.55,1.41亿,1.36亿,31.73亿,74.25
58,59,002354,天娱数科,6.18,9.96,0.56,0.0,1.56,0.09,0.0,1.56亿,16.18亿,100.02亿,--
59,60,300556,丝路视觉,22.87,2.46,0.55,0.04,18.75,1.26,4.79,4.37亿,1.03亿,23.51亿,--
60,61,688225,亚信安全,23.33,2.33,0.53,0.0,3.04,1.18,7.37,1.34亿,1.91亿,44.57亿,--
61,62,002322,理工能科,13.77,3.85,0.51,-0.15,3.26,2.29,5.66,1.63亿,3.65亿,50.26亿,20.99
62,63,300188,国投智能,16.45,3.2,0.51,0.0,4.66,1.57,5.02,5.94亿,7.82亿,128.63亿,--
