,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301127,天源环保,18.82,12.83,2.14,0.11,9.63,1.89,14.27,6.89亿,3.93亿,73.97亿,47.62
1,2,301024,霍普股份,29.17,5.04,1.4,0.03,17.88,2.38,7.81,0.92亿,0.18亿,5.17亿,--
2,3,002789,建艺集团,14.05,10.02,1.28,0.0,2.24,0.52,10.73,0.40亿,1.31亿,18.47亿,403.33
3,4,301151,冠龙节能,18.09,4.93,0.85,0.0,18.38,2.14,8.64,1.83亿,0.56亿,10.11亿,102.60
4,5,300989,蕾奥规划,15.46,4.88,0.72,0.07,7.0,1.03,6.51,1.58亿,1.51亿,23.28亿,--
5,6,000619,海螺新材,7.24,10.03,0.66,0.0,7.52,0.51,9.42,1.94亿,3.60亿,26.06亿,--
6,7,003037,三和管桩,7.24,10.03,0.66,0.0,8.77,2.04,11.55,1.21亿,2.01亿,14.55亿,156.12
7,8,300826,测绘股份,17.8,3.67,0.63,0.06,6.75,1.05,3.96,1.84亿,1.55亿,27.55亿,136.47
8,9,002593,日上集团,6.82,10.0,0.62,0.0,26.99,1.4,8.39,10.33亿,5.70亿,38.91亿,132.52
9,10,002909,集泰股份,6.19,9.95,0.56,0.0,14.79,5.77,9.24,3.42亿,3.79亿,23.47亿,125.47
10,11,603280,南方路机,24.61,2.2,0.53,0.94,24.88,1.29,10.42,1.71亿,0.28亿,6.88亿,23.75
11,12,605286,同力日升,32.54,1.15,0.37,0.12,2.26,1.24,6.99,1.25亿,1.68亿,54.67亿,18.64
12,13,300948,冠中生态,11.75,3.16,0.36,0.17,5.36,1.74,4.48,0.82亿,1.31亿,15.37亿,--
13,14,300986,志特新材,13.39,2.76,0.36,-0.15,2.0,1.58,4.61,0.65亿,2.46亿,32.97亿,41.72
14,15,603843,正平股份,3.85,10.0,0.35,0.0,4.19,0.77,3.43,1.13亿,7.00亿,26.94亿,--
