,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300757,罗博特科,185.0,2.49,4.5,-0.07,4.21,1.16,5.52,11.51亿,1.48亿,274.12亿,302.21
1,2,300840,酷特智能,24.82,20.02,4.14,0.0,47.26,1.65,18.57,18.90亿,1.71亿,42.49亿,28.66
2,3,603859,能科科技,37.31,9.99,3.39,0.0,11.07,1.32,10.44,9.65亿,2.45亿,91.30亿,58.22
3,4,300751,迈为股份,119.73,1.97,2.31,0.0,1.71,1.29,5.28,3.90亿,1.93亿,231.50亿,33.08
4,5,300809,华辰装备,31.62,6.36,1.89,0.06,20.9,1.29,7.43,4.96亿,0.76亿,23.88亿,103.56
5,6,002896,中大力德,38.44,4.74,1.74,0.0,19.15,1.54,13.87,11.07亿,1.51亿,58.11亿,76.55
6,7,301315,威士顿,56.28,3.12,1.7,0.05,28.28,0.78,7.93,5.78亿,0.37亿,20.82亿,123.95
7,8,300484,蓝海华腾,25.48,6.97,1.66,0.0,23.11,1.75,6.34,9.54亿,1.64亿,41.88亿,190.10
8,9,002403,爱仕达,15.7,10.02,1.43,0.0,19.06,0.94,16.68,8.14亿,2.97亿,46.65亿,2415.46
9,10,002058,威尔泰,14.48,10.03,1.32,0.0,5.9,2.86,10.87,1.18亿,1.43亿,20.72亿,--
10,11,301312,智立方,50.28,2.65,1.3,-0.02,13.35,1.72,7.74,1.71亿,0.26亿,12.98亿,74.08
11,12,603325,博隆技术,84.4,1.36,1.13,0.0,3.53,1.02,3.53,0.49亿,0.17亿,14.07亿,24.92
12,13,301314,科瑞思,42.22,2.67,1.1,-0.17,17.55,1.24,6.52,1.18亿,0.16亿,6.86亿,130.53
13,14,603019,中科曙光,76.99,1.37,1.04,0.0,5.26,0.68,3.73,59.25亿,14.59亿,1122.99亿,109.80
14,15,002527,新时达,11.28,10.05,1.03,0.0,19.76,1.0,13.17,11.17亿,5.29亿,59.69亿,--
15,16,688115,思林杰,47.38,2.2,1.02,0.0,3.83,1.05,7.42,0.77亿,0.42亿,19.97亿,480.26
16,17,002975,博杰股份,33.41,2.9,0.94,0.85,6.53,1.22,4.5,1.56亿,0.72亿,23.98亿,2312.21
17,18,002347,泰尔股份,10.01,10.0,0.91,0.0,31.67,1.09,10.88,15.29亿,4.93亿,49.39亿,--
18,19,300433,蓝思科技,21.95,3.78,0.8,-0.05,1.03,1.51,4.11,11.16亿,49.65亿,1089.84亿,34.60
19,20,002008,大族激光,27.19,2.92,0.77,0.0,5.19,1.47,7.0,13.81亿,9.79亿,266.27亿,15.05
20,21,300667,必创科技,19.81,4.04,0.77,0.0,4.48,1.82,4.04,1.51亿,1.73亿,34.20亿,--
21,22,603100,川仪股份,22.37,3.47,0.75,0.0,2.06,1.44,4.58,2.35亿,5.08亿,113.73亿,15.44
22,23,002236,大华股份,16.87,4.59,0.74,-0.06,4.46,2.68,4.9,15.71亿,21.04亿,354.88亿,16.38
23,24,688322,奥比中光,38.38,1.89,0.71,-0.08,6.67,1.41,8.63,6.46亿,2.57亿,98.66亿,--
24,25,002757,南兴股份,16.89,4.2,0.68,0.0,15.42,1.44,5.98,7.27亿,2.82亿,47.64亿,18.06
25,26,300687,赛意信息,21.61,2.81,0.59,-0.09,12.81,2.03,9.75,8.83亿,3.25亿,70.32亿,70.22
26,27,603416,信捷电气,41.2,1.45,0.59,0.02,3.64,1.09,7.12,2.08亿,1.41亿,57.91亿,24.93
27,28,688125,安达智能,42.93,1.27,0.54,0.7,1.21,0.56,3.14,0.11亿,0.22亿,9.37亿,--
28,29,688529,豪森智能,18.72,2.97,0.54,0.54,4.41,1.04,10.62,1.36亿,1.67亿,31.32亿,305.75
29,30,002526,山东矿机,5.81,10.04,0.53,0.0,20.06,14.96,0.0,20.48亿,17.58亿,102.11亿,70.90
30,31,002747,埃斯顿,20.29,2.58,0.51,0.0,12.1,1.19,11.58,18.92亿,7.87亿,159.68亿,--
31,32,600243,青海华鼎,5.52,9.96,0.5,0.0,4.18,0.67,0.0,1.01亿,4.39亿,24.22亿,--
32,33,001223,欧克科技,41.31,1.13,0.46,0.1,5.99,0.64,3.28,0.41亿,0.17亿,6.89亿,35.43
33,34,600560,金自天正,16.49,2.81,0.45,-0.06,6.32,1.74,7.11,2.31亿,2.24亿,36.88亿,72.36
34,35,000988,华工科技,37.4,1.19,0.44,0.0,3.34,1.03,2.79,12.53亿,10.05亿,375.87亿,30.08
35,36,688777,中控技术,50.25,0.88,0.44,0.0,2.03,0.94,3.81,7.89亿,7.79亿,391.27亿,41.57
36,37,300836,佰奥智能,49.22,0.82,0.4,-0.16,1.65,0.61,3.58,0.34亿,0.43亿,21.02亿,129.78
37,38,603496,恒为科技,25.48,1.59,0.4,-0.04,4.4,1.61,2.55,3.56亿,3.20亿,81.59亿,78.17
38,39,002122,汇洲智能,3.96,10.0,0.36,0.0,4.08,0.59,5.83,3.15亿,19.88亿,78.71亿,86.50
39,40,688022,瀚川智能,13.74,2.61,0.35,-0.07,5.94,1.75,7.39,1.39亿,1.76亿,24.17亿,--
40,41,300378,鼎捷数智,30.2,1.1,0.33,0.3,12.84,1.08,4.15,10.54亿,2.70亿,81.42亿,123.21
41,42,688155,先惠技术,42.35,0.76,0.32,0.02,1.45,0.84,3.04,0.76亿,1.25亿,52.96亿,21.12
42,43,002426,胜利精密,3.31,9.97,0.3,0.0,7.46,0.7,9.97,8.26亿,34.03亿,112.63亿,--
43,44,002369,卓翼科技,6.88,4.24,0.28,0.0,13.09,1.68,7.73,5.13亿,5.66亿,38.92亿,--
44,45,002892,科力尔,17.15,1.66,0.28,0.0,21.64,0.98,9.19,14.28亿,3.96亿,68.00亿,112.92
45,46,688646,逸飞激光,38.36,0.73,0.28,0.03,4.18,1.25,3.47,0.90亿,0.56亿,21.54亿,49.26
46,47,600545,卓郎智能,2.86,10.0,0.26,0.0,7.88,1.24,7.69,3.93亿,17.88亿,51.13亿,--
47,48,688618,三旺通信,23.6,1.11,0.26,0.04,0.85,0.9,3.21,0.22亿,1.10亿,25.97亿,58.68
48,49,300307,慈星股份,8.4,3.07,0.25,0.12,7.79,1.93,4.29,5.11亿,7.77亿,65.30亿,16.03
49,50,301128,强瑞技术,54.54,0.46,0.25,-0.06,4.44,1.01,2.87,0.69亿,0.29亿,15.61亿,38.08
50,51,603082,北自科技,38.17,0.58,0.22,-0.26,14.63,0.7,4.4,1.79亿,0.32亿,12.38亿,38.14
51,52,301298,东利机械,15.36,1.39,0.21,-0.32,6.62,1.75,5.88,0.97亿,0.96亿,14.79亿,31.68
52,53,000584,*ST工智,4.01,4.97,0.19,0.0,3.31,1.2,4.97,1.00亿,7.59亿,30.43亿,121.50
53,54,600845,宝信软件,27.94,0.69,0.19,0.04,0.57,0.99,1.77,3.37亿,21.21亿,592.65亿,31.31
54,55,300124,汇川技术,62.17,0.29,0.18,0.03,0.98,0.74,2.74,13.87亿,22.81亿,1417.99亿,37.43
55,56,301568,思泰克,35.85,0.51,0.18,0.08,8.27,0.76,4.96,1.40亿,0.48亿,17.08亿,53.01
56,57,688128,中国电研,22.08,0.82,0.18,0.0,0.7,0.91,2.97,0.62亿,4.04亿,89.31亿,20.84
57,58,300768,迪普科技,19.45,0.88,0.17,0.0,1.79,0.96,3.27,1.46亿,4.21亿,81.82亿,101.66
58,59,300823,建科智能,14.83,1.16,0.17,-0.2,6.6,0.87,3.55,0.74亿,0.76亿,11.28亿,46.82
59,60,300353,东土科技,13.97,1.16,0.16,0.0,4.79,0.76,4.63,3.47亿,5.22亿,72.95亿,--
60,61,603396,金辰股份,30.25,0.5,0.15,0.0,1.92,0.84,2.59,0.80亿,1.39亿,41.90亿,46.04
61,62,688499,利元亨,27.17,0.56,0.15,0.04,5.23,0.9,4.44,2.14亿,1.52亿,41.17亿,--
62,63,300450,先导智能,23.21,0.61,0.14,0.0,3.02,0.85,4.16,10.80亿,15.59亿,361.93亿,44.80
63,64,688420,美腾科技,24.64,0.57,0.14,0.0,1.14,0.83,2.37,0.09亿,0.33亿,8.19亿,47.27
64,65,601399,国机重装,3.53,3.82,0.13,0.0,1.21,1.9,5.29,3.05亿,72.14亿,254.64亿,46.09
65,66,000599,青岛双星,5.34,2.3,0.12,-0.19,2.74,1.17,3.06,1.18亿,8.17亿,43.61亿,--
66,67,300166,东方国信,10.86,1.12,0.12,0.09,8.93,0.7,6.24,8.75亿,9.06亿,98.35亿,441.17
67,68,603956,威派格,6.06,2.02,0.12,0.0,1.84,1.46,6.4,0.56亿,5.01亿,30.36亿,--
68,69,301248,杰创智能,17.94,0.62,0.11,0.0,8.54,1.35,4.21,1.56亿,1.02亿,18.26亿,--
69,70,605005,合兴股份,16.76,0.66,0.11,0.0,0.54,1.61,3.9,0.36亿,4.01亿,67.21亿,25.65
70,71,002212,天融信,7.34,1.38,0.1,0.0,3.67,1.04,3.31,3.13亿,11.67亿,85.69亿,--
71,72,301165,锐捷网络,48.86,0.2,0.1,0.0,2.08,0.59,2.95,0.69亿,0.68亿,33.31亿,50.57
72,73,601608,中信重工,4.7,1.95,0.09,0.0,1.96,1.39,3.25,3.98亿,43.39亿,203.95亿,56.80
73,74,835305,云创数据,25.89,0.35,0.09,0.0,8.31,0.82,5.81,1.78亿,0.81亿,21.00亿,--
74,75,600215,派斯林,8.38,0.96,0.08,0.0,5.26,0.9,6.02,1.98亿,4.57亿,38.29亿,33.91
75,76,688400,凌云光,25.13,0.32,0.08,-0.04,4.54,0.93,4.79,2.74亿,2.40亿,60.24亿,78.01
76,77,603273,天元智能,19.21,0.26,0.05,-0.05,8.18,1.02,2.5,0.88亿,0.56亿,10.77亿,118.20
