,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,001258,立新能源,8.31,10.07,0.76,0.0,15.9,1.4,9.93,5.94亿,4.69亿,38.95亿,44.90
1,2,300588,熙菱信息,16.74,3.14,0.51,0.18,10.56,1.42,6.47,2.34亿,1.34亿,22.38亿,--
2,3,603393,新天然气,29.42,1.52,0.44,0.0,1.91,1.55,2.97,2.34亿,4.23亿,124.31亿,10.61
3,4,002205,国统股份,9.25,4.76,0.42,0.0,11.86,0.75,8.27,2.04亿,1.86亿,17.19亿,--
4,5,603329,上海雅仕,13.4,3.0,0.39,-0.08,2.12,0.94,5.84,0.45亿,1.59亿,21.27亿,49.20
5,6,603080,新疆火炬,16.35,2.38,0.38,-0.12,1.72,0.93,3.13,0.39亿,1.42亿,23.14亿,13.26
6,7,001202,炬申股份,13.83,2.44,0.33,0.22,1.96,0.9,3.63,0.24亿,0.90亿,12.51亿,19.75
7,8,603706,东方环宇,18.38,1.77,0.32,0.16,0.93,0.93,2.77,0.32亿,1.89亿,34.81亿,21.45
8,9,301158,德石股份,14.38,2.28,0.32,0.07,2.59,1.05,3.63,0.30亿,0.80亿,11.52亿,25.44
9,10,002457,青龙管业,11.95,2.75,0.32,-0.17,4.3,1.17,4.64,1.72亿,3.33亿,39.83亿,26.43
10,11,600359,新农开发,6.73,4.83,0.31,0.0,4.12,2.21,6.54,1.04亿,3.82亿,25.68亿,46.22
11,12,300159,新研股份,3.02,8.63,0.24,0.33,12.59,1.63,13.67,5.62亿,14.72亿,44.45亿,--
12,13,603789,星光农机,8.31,2.85,0.23,-0.12,4.01,0.6,5.57,0.87亿,2.60亿,21.61亿,--
13,14,002828,贝肯能源,8.77,2.45,0.21,-0.11,2.88,0.88,3.04,0.48亿,1.92亿,16.86亿,54.32
14,15,605169,洪通燃气,10.29,2.08,0.21,-0.1,1.74,0.87,3.57,0.24亿,1.32亿,13.62亿,13.24
15,16,300444,双杰电气,7.39,2.78,0.2,0.0,5.13,1.27,4.31,2.25亿,5.92亿,43.77亿,38.08
16,17,600084,中信尼雅,5.51,3.38,0.18,0.0,0.36,0.8,4.69,0.22亿,11.24亿,61.92亿,11405.80
17,18,002100,天康生物,6.81,2.56,0.17,0.0,2.79,1.92,4.07,2.58亿,13.65亿,92.97亿,12.33
18,19,600540,新赛股份,4.12,4.3,0.17,0.24,2.19,1.05,6.08,0.52亿,5.81亿,23.95亿,--
19,20,002800,天顺股份,10.86,1.59,0.17,-0.09,4.08,0.63,3.46,0.63亿,1.42亿,15.38亿,68.53
20,21,002941,新疆交建,11.94,1.36,0.16,-0.08,1.78,0.64,3.56,1.35亿,6.40亿,76.47亿,31.88
21,22,001289,龙源电力,16.17,1.0,0.16,-0.06,4.04,1.03,1.94,0.87亿,1.33亿,21.56亿,18.52
22,23,002207,准油股份,5.07,3.05,0.15,-0.2,3.5,0.73,3.46,0.46亿,2.61亿,13.22亿,--
23,24,002302,西部建设,7.2,2.13,0.15,0.14,2.41,1.1,5.67,2.18亿,12.62亿,90.89亿,703.56
24,25,600251,冠农股份,7.54,1.89,0.14,0.0,1.29,1.73,3.51,0.75亿,7.77亿,58.59亿,13.24
25,26,000972,中基健康,2.98,4.93,0.14,0.0,2.54,1.11,7.04,0.58亿,7.71亿,22.98亿,--
26,27,002777,久远银海,17.97,0.79,0.14,0.0,2.26,1.06,3.48,1.65亿,4.05亿,72.69亿,292.44
27,28,600197,伊力特,17.51,0.75,0.13,0.0,0.86,0.89,2.24,0.71亿,4.72亿,82.65亿,25.71
28,29,300135,宝利国际,4.15,3.23,0.13,0.0,3.21,1.02,3.73,1.22亿,9.22亿,38.25亿,411.27
29,30,600419,天润乳业,9.59,1.37,0.13,0.0,2.3,1.09,3.7,0.71亿,3.20亿,30.71亿,103.41
30,41,002092,ST中泰,4.4,2.09,0.09,0.23,0.5,0.91,2.78,0.56亿,25.76亿,113.33亿,--
31,42,002719,麦趣尔,8.11,1.0,0.08,0.25,4.89,0.65,4.11,0.64亿,1.62亿,13.13亿,--
32,43,600509,天富能源,6.77,1.2,0.08,0.0,1.17,0.79,2.39,1.08亿,13.74亿,93.05亿,14.13
33,44,002628,成都路桥,4.73,1.72,0.08,0.0,4.19,0.47,4.95,1.51亿,7.55亿,35.71亿,--
34,45,300164,通源石油,4.34,1.88,0.08,0.23,4.86,0.94,3.29,1.22亿,5.83亿,25.31亿,39.81
35,46,002524,光正眼科,3.87,2.11,0.08,0.26,2.95,0.91,4.75,0.58亿,5.08亿,19.67亿,--
36,47,000949,新乡化纤,4.25,1.92,0.08,0.24,4.57,0.85,5.04,3.32亿,17.00亿,72.24亿,27.20
37,48,600248,陕建股份,4.5,1.58,0.07,0.0,0.69,1.22,2.26,1.14亿,36.81亿,165.63亿,4.28
38,49,000159,国际实业,6.44,1.1,0.07,0.16,3.57,0.7,3.61,1.11亿,4.81亿,30.96亿,--
39,50,000877,天山股份,5.86,1.21,0.07,0.0,0.6,0.82,2.42,0.64亿,18.22亿,106.78亿,--
40,31,300021,大禹节水,4.29,2.88,0.12,0.0,2.91,0.88,5.04,0.87亿,7.01亿,30.06亿,91.98
41,32,603227,雪峰科技,8.76,1.39,0.12,-0.11,0.82,0.48,3.47,0.70亿,9.74亿,85.33亿,11.70
42,33,300374,中铁装配,19.4,0.62,0.12,0.0,6.93,0.65,2.28,2.72亿,2.03亿,39.46亿,--
43,34,000633,合金投资,4.64,2.43,0.11,0.22,2.02,0.71,4.19,0.36亿,3.85亿,17.87亿,415.21
44,35,600721,百花医药,6.99,1.6,0.11,0.14,3.01,0.93,3.34,0.81亿,3.84亿,26.84亿,84.05
45,36,601121,宝地矿业,7.09,1.58,0.11,0.14,4.02,1.21,2.72,1.07亿,3.80亿,26.94亿,24.94
46,37,603101,汇嘉时代,9.56,1.16,0.11,0.0,1.53,0.81,4.76,0.69亿,4.70亿,44.97亿,67.13
47,38,300370,安控科技,3.46,2.98,0.1,0.0,5.2,1.07,6.55,2.40亿,13.25亿,45.84亿,--
