,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301598,博科测试,80.53,6.8,5.13,-0.01,43.84,0.88,12.45,5.16亿,0.15亿,11.86亿,54.56
1,2,603297,永新光学,94.98,5.21,4.7,0.18,3.82,1.79,7.71,3.99亿,1.11亿,105.17亿,56.45
2,3,002625,光启技术,48.05,6.3,2.85,0.0,4.48,1.65,5.8,38.18亿,17.78亿,854.56亿,144.66
3,4,300557,理工光科,34.18,5.99,1.93,0.03,8.69,1.63,9.46,2.66亿,0.91亿,31.27亿,88.87
4,5,300489,光智科技,57.4,2.67,1.49,-0.07,4.04,1.13,5.85,3.21亿,1.37亿,78.73亿,--
5,6,002594,比亚迪,286.28,0.5,1.42,0.0,0.68,0.83,1.6,22.50亿,11.62亿,3327.88亿,24.75
6,7,300496,中科创达,65.31,1.9,1.22,0.02,11.18,1.51,8.72,27.50亿,3.67亿,239.71亿,148.27
7,8,603920,世运电路,31.18,4.04,1.21,0.0,4.95,1.5,6.61,11.08亿,7.19亿,224.31亿,34.84
8,9,002265,建设工业,23.5,5.33,1.19,-0.09,34.46,1.54,17.3,32.31亿,4.03亿,94.73亿,99.38
9,10,301398,星源卓镁,50.36,2.34,1.15,0.0,8.39,1.28,5.0,1.01亿,0.24亿,12.04亿,53.88
10,21,301499,维科精密,27.29,1.83,0.49,0.07,8.87,1.12,5.97,0.85亿,0.35亿,9.43亿,93.55
11,22,600418,江淮汽车,39.46,1.26,0.49,0.0,3.52,1.04,3.62,30.39亿,21.84亿,861.81亿,103.40
12,23,301421,波长光电,52.18,0.89,0.46,0.0,9.66,1.43,5.18,2.37亿,0.46亿,24.16亿,146.96
13,24,688307,中润光学,26.01,1.8,0.46,0.35,4.8,1.33,7.12,0.72亿,0.57亿,14.84亿,45.59
14,25,301091,深城交,50.56,0.86,0.43,0.0,5.02,1.34,5.17,7.35亿,2.84亿,143.55亿,259.83
15,26,600416,湘电股份,11.27,3.97,0.43,-0.09,2.33,2.65,5.07,3.47亿,13.25亿,149.37亿,66.76
16,27,002232,启明信息,20.28,2.06,0.41,-0.05,4.08,0.79,4.38,3.37亿,4.09亿,82.85亿,--
17,28,300407,凯发电气,11.27,3.77,0.41,0.0,3.59,1.29,5.89,0.99亿,2.44亿,27.53亿,40.45
18,29,300928,华安鑫创,34.0,1.19,0.4,0.09,1.63,0.66,3.96,0.29亿,0.53亿,18.02亿,--
19,30,000528,柳工,11.5,3.32,0.37,0.0,2.34,1.55,4.58,3.83亿,14.43亿,165.96亿,13.19
20,31,600967,内蒙一机,8.85,4.36,0.37,0.0,2.47,1.61,5.31,3.67亿,16.99亿,150.35亿,31.06
21,32,002708,光洋股份,11.2,3.23,0.35,0.0,13.27,1.47,6.08,7.29亿,4.95亿,55.40亿,117.50
22,33,002972,科安达,10.81,3.25,0.34,0.0,6.75,2.43,10.03,0.99亿,1.33亿,14.39亿,28.98
