,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603516,淳中科技,50.39,10.0,4.58,0.0,7.27,0.95,11.63,7.08亿,2.02亿,101.71亿,148.09
1,2,688018,乐鑫科技,143.42,2.38,3.33,0.22,2.42,0.88,4.68,3.81亿,1.12亿,160.92亿,48.06
2,3,300672,国科微,69.08,2.89,1.94,0.01,3.54,1.13,4.47,5.06亿,2.10亿,145.14亿,160.67
3,4,002841,视源股份,39.41,4.7,1.77,0.03,1.99,1.95,6.24,4.06亿,5.21亿,205.47亿,22.11
4,5,300598,诚迈科技,56.72,2.6,1.44,-0.05,6.36,1.56,6.37,7.83亿,2.17亿,123.04亿,--
5,6,688262,国芯科技,35.56,3.64,1.25,0.0,10.6,1.05,9.33,9.87亿,2.64亿,94.00亿,--
6,7,688595,芯海科技,39.21,3.18,1.21,0.05,4.14,1.36,6.66,2.29亿,1.42亿,55.85亿,--
7,8,603236,移远通信,49.79,2.47,1.2,0.0,2.79,1.23,2.98,3.63亿,2.62亿,130.28亿,27.40
8,9,301536,星宸科技,45.91,2.09,0.94,-0.04,12.0,1.26,3.67,2.07亿,0.38亿,17.40亿,73.88
9,10,002236,大华股份,16.87,4.59,0.74,-0.06,4.46,2.68,4.9,15.71亿,21.04亿,354.88亿,16.38
10,11,688220,翱捷科技,40.25,1.82,0.72,-0.07,1.79,0.97,5.13,1.60亿,2.25亿,90.40亿,--
11,12,603296,华勤技术,63.9,1.11,0.7,0.0,2.55,0.84,2.99,3.98亿,2.44亿,155.63亿,23.75
12,13,002241,歌尔股份,25.72,2.8,0.7,0.0,3.71,1.09,4.6,29.39亿,30.69亿,789.30亿,28.59
13,14,002456,欧菲光,14.29,4.92,0.67,0.0,13.3,1.57,7.56,61.55亿,32.53亿,464.80亿,753.23
14,15,688039,当虹科技,33.88,1.96,0.65,0.0,10.97,2.46,6.68,4.16亿,1.12亿,37.92亿,--
15,16,688561,奇安信,31.4,2.05,0.63,-0.22,0.84,0.96,4.52,1.81亿,6.85亿,215.14亿,--
16,17,002970,锐明技术,44.65,1.02,0.45,0.05,1.48,0.66,2.69,0.76亿,1.15亿,51.53亿,26.84
17,18,002888,惠威科技,19.92,2.15,0.42,0.0,11.43,1.37,8.26,1.78亿,0.77亿,15.32亿,755.07
18,19,300207,欣旺达,23.65,1.81,0.42,0.0,2.29,1.03,3.7,9.21亿,17.12亿,404.81亿,27.01
19,20,688159,有方科技,31.77,1.27,0.4,-0.06,3.42,1.3,4.88,1.00亿,0.92亿,29.13亿,23.01
20,21,000810,创维数字,13.33,3.01,0.39,-0.08,4.53,1.08,5.56,6.73亿,11.18亿,148.97亿,48.63
21,22,300275,梅安森,15.16,2.5,0.37,0.0,4.71,0.96,4.19,1.82亿,2.55亿,38.66亿,74.82
22,23,002861,瀛通通讯,12.33,3.01,0.36,0.0,11.02,1.7,10.11,1.96亿,1.42亿,17.54亿,--
23,24,002151,北斗星通,28.97,0.98,0.28,0.0,2.59,0.87,2.51,3.32亿,4.43亿,128.31亿,--
24,25,688618,三旺通信,23.6,1.11,0.26,0.04,0.85,0.9,3.21,0.22亿,1.10亿,25.97亿,58.68
25,26,688332,中科蓝讯,107.58,0.2,0.22,-0.13,10.46,1.05,6.14,4.84亿,0.44亿,47.36亿,46.96
26,27,300579,数字认证,32.79,0.68,0.22,0.09,5.61,0.63,4.14,4.86亿,2.62亿,86.00亿,--
27,28,300793,佳禾智能,18.2,1.17,0.21,0.11,10.35,1.38,6.45,6.65亿,3.54亿,64.46亿,68.65
28,29,002681,奋达科技,7.88,2.47,0.19,0.0,47.03,2.4,10.4,57.24亿,14.80亿,116.66亿,69.66
29,30,002906,华阳集团,31.32,0.55,0.17,0.0,1.41,1.34,3.21,2.33亿,5.25亿,164.32亿,26.53
30,31,688007,光峰科技,16.93,0.95,0.16,-0.12,1.42,0.99,3.52,1.09亿,4.59亿,77.76亿,135.79
31,32,688609,九联科技,11.58,1.31,0.15,0.0,3.57,1.13,3.24,2.07亿,5.00亿,57.90亿,--
32,33,600636,国新文化,11.22,1.35,0.15,0.0,3.41,1.29,2.62,1.69亿,4.39亿,49.22亿,--
33,34,300079,数码视讯,6.66,2.15,0.14,-0.15,13.82,1.85,5.52,11.93亿,12.81亿,85.35亿,319.55
34,35,002642,荣联科技,8.35,1.46,0.12,0.0,6.31,1.04,3.52,3.47亿,6.60亿,55.14亿,395.45
35,36,688653,康希通信,14.34,0.77,0.11,0.14,3.38,0.89,4.15,1.34亿,2.78亿,39.82亿,--
36,37,000582,北部湾港,7.78,1.43,0.11,0.0,0.95,1.09,1.82,1.30亿,17.61亿,137.03亿,14.51
37,38,301189,奥尼电子,25.94,0.35,0.09,0.19,4.74,0.7,2.52,0.50亿,0.41亿,10.61亿,--
38,39,002577,雷柏科技,16.68,0.48,0.08,0.06,2.11,1.04,1.99,0.99亿,2.83亿,47.18亿,103.54
39,40,000851,ST高鸿,3.83,1.86,0.07,0.26,2.31,0.85,2.66,0.99亿,11.32亿,43.35亿,--
40,41,002405,四维图新,10.13,0.60,0.06,0.10,2.87,0.85,2.88,6.81亿,23.56亿,238.61亿,--
41,42,300012,华测检测,13.20,0.38,0.05,-0.38,2.32,1.18,2.43,4.38亿,14.32亿,188.99亿,22.31
42,43,002351,漫步者,16.14,0.25,0.04,-0.06,4.74,0.73,4.41,4.00亿,5.21亿,84.09亿,31.82
43,44,688591,泰凌微,27.17,0.15,0.04,0.04,2.28,0.80,3.43,1.01亿,1.63亿,44.35亿,76.09
44,45,300184,力源信息,10.99,0.36,0.04,0.00,6.52,0.83,3.38,7.49亿,10.48亿,115.20亿,94.87
45,46,603068,博通集成,30.30,0.10,0.03,0.00,5.51,0.98,3.63,2.50亿,1.50亿,45.58亿,--
46,47,001287,中电港,23.70,0.04,0.01,0.00,22.13,3.34,15.41,22.58亿,4.37亿,103.66亿,90.75
47,48,603160,汇顶科技,--,--,--,--,--,--,--,--,4.58亿,374.86亿,62.74
48,49,688259,创耀科技,39.18,-0.03,-0.01,0.03,2.02,1.07,3.39,0.63亿,0.81亿,31.64亿,70.01
49,50,300504,天邑股份,17.85,-0.06,-0.01,-0.06,4.14,0.61,3.42,1.60亿,2.18亿,38.92亿,94.31
50,51,000016,深康佳A,5.2,-0.38,-0.02,0.0,4.22,0.67,3.06,3.49亿,15.97亿,83.02亿,--
51,52,600877,电科芯片,13.94,-0.21,-0.03,0.14,1.63,1.02,2.58,2.25亿,9.97亿,138.97亿,209.97
