,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603160,汇顶科技,89.98,10.0,8.18,0.0,0.23,0.12,0.0,0.97亿,4.58亿,412.35亿,69.01
1,2,301608,博实结,73.52,10.01,6.69,0.1,34.84,3.03,20.8,4.22亿,0.17亿,12.43亿,36.42
2,3,688608,恒玄科技,262.48,1.76,4.54,0.83,1.46,0.66,5.0,4.59亿,1.20亿,315.10亿,81.74
3,4,001283,豪鹏科技,50.29,5.65,2.69,0.08,5.95,2.06,8.72,1.73亿,0.58亿,29.10亿,39.96
4,5,688049,炬芯科技,39.88,4.95,1.88,0.05,7.47,0.98,6.74,3.31亿,1.12亿,44.77亿,61.64
5,6,300857,协创数据,105.75,1.69,1.76,0.0,5.78,1.26,4.59,14.68亿,2.45亿,258.62亿,34.92
6,7,300496,中科创达,57.23,2.77,1.54,0.02,6.0,1.71,5.73,12.61亿,3.67亿,210.06亿,129.93
7,8,300538,同益股份,18.38,5.88,1.02,0.05,14.31,2.08,7.89,2.96亿,1.15亿,21.12亿,400.91
8,9,002230,科大讯飞,52.68,1.66,0.86,-0.02,4.19,1.11,4.57,48.62亿,21.84亿,1150.56亿,--
9,10,300787,海能实业,14.66,6.08,0.84,0.07,8.5,2.42,8.68,2.00亿,1.62亿,23.68亿,56.78
