,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688698,伟创电气,54.38,14.65,6.95,0.33,13.11,2.6,24.08,14.31亿,2.11亿,114.95亿,40.96
1,2,603662,柯力传感,72.82,10.0,6.62,0.0,17.05,1.03,12.57,34.30亿,2.81亿,204.50亿,80.70
2,3,300969,恒帅股份,93.75,6.84,6.0,0.02,18.77,1.77,11.51,3.74亿,0.21亿,19.99亿,34.40
3,4,688716,中研股份,35.7,20.0,5.95,0.0,19.02,1.55,19.97,4.37亿,0.68亿,24.13亿,109.14
4,5,301596,瑞迪智驱,120.0,4.9,5.61,0.0,22.8,0.84,8.18,3.71亿,0.14亿,16.54亿,67.58
5,6,688018,乐鑫科技,148.47,3.52,5.05,-0.01,3.5,1.38,6.38,5.80亿,1.12亿,166.58亿,49.75
6,7,002850,科达利,109.89,4.2,4.43,0.0,3.01,1.07,6.64,6.31亿,1.93亿,212.12亿,21.96
7,8,688255,凯尔达,35.99,13.71,4.34,-0.03,18.98,1.67,20.22,4.52亿,0.70亿,25.23亿,101.33
8,9,603236,移远通信,53.95,8.36,4.16,0.02,8.17,3.49,10.79,11.28亿,2.62亿,141.16亿,29.68
9,10,300853,申昊科技,24.16,20.02,4.03,0.0,19.42,1.34,19.42,5.09亿,1.10亿,26.64亿,--
10,11,301550,斯菱股份,69.75,5.73,3.78,-0.07,16.91,0.79,8.9,6.26亿,0.55亿,38.31亿,42.05
11,12,300100,双林股份,30.3,14.17,3.76,0.0,20.32,1.39,19.48,22.49亿,3.87亿,117.28亿,24.85
12,13,301413,安培龙,65.1,5.72,3.52,-0.15,23.39,0.93,11.95,3.33亿,0.22亿,14.41亿,77.00
13,14,300660,江苏雷利,41.73,9.04,3.46,0.0,11.73,1.07,19.78,15.41亿,3.19亿,133.18亿,41.50
14,15,002819,东方中科,34.71,10.02,3.16,0.0,11.53,2.77,6.82,9.36亿,2.35亿,81.66亿,--
15,16,301023,江南奕帆,55.61,5.94,3.12,0.02,11.51,1.9,7.74,1.86亿,0.30亿,16.59亿,32.41
16,17,301603,乔锋智能,47.9,6.52,2.93,-0.08,27.04,2.1,8.67,2.92亿,0.23亿,10.99亿,28.78
17,18,688165,埃夫特,33.67,9.5,2.92,0.06,14.87,0.99,20.42,25.02亿,5.22亿,175.68亿,--
18,19,002362,汉王科技,30.88,10.01,2.81,0.0,41.89,3.36,12.9,26.55亿,2.08亿,64.11亿,--
19,20,002979,雷赛智能,34.69,8.81,2.81,0.0,22.69,1.27,12.04,16.85亿,2.17亿,75.19亿,55.31
20,21,002997,瑞鹄模具,38.0,7.89,2.78,-0.13,6.87,2.09,10.48,5.38亿,2.09亿,79.54亿,23.62
21,22,001319,铭科精技,29.19,9.98,2.65,0.0,8.39,0.49,0.0,1.49亿,0.61亿,17.80亿,40.45
22,23,002881,美格智能,29.03,10.0,2.64,0.0,5.55,1.77,9.93,2.87亿,1.81亿,52.56亿,62.39
23,24,873593,鼎智科技,49.35,5.22,2.45,0.0,11.98,1.0,19.87,6.84亿,1.15亿,56.54亿,162.56
24,25,300552,万集科技,40.18,6.35,2.4,0.0,22.79,2.04,15.14,12.26亿,1.33亿,53.60亿,--
25,26,301261,恒工精密,46.53,5.22,2.31,0.13,18.15,1.36,6.76,3.14亿,0.38亿,17.63亿,31.90
26,27,300785,值得买,35.57,6.69,2.23,0.2,23.98,1.41,9.0,10.01亿,1.22亿,43.49亿,1394.37
27,28,603350,安乃达,37.12,6.3,2.2,0.05,21.14,2.5,9.97,2.20亿,0.28亿,10.55亿,38.01
28,29,002862,实丰文化,34.05,6.61,2.11,0.0,25.93,1.03,10.43,7.88亿,0.90亿,30.71亿,677.59
29,30,688626,翔宇医疗,33.7,6.34,2.01,0.0,2.25,2.53,8.9,1.19亿,1.60亿,53.92亿,55.09
30,31,301488,豪恩汽电,64.46,3.1,1.94,-0.03,15.72,1.7,6.25,2.35亿,0.23亿,15.09亿,63.50
31,32,603776,永安行,20.92,9.99,1.9,0.0,0.27,0.14,0.0,0.13亿,2.29亿,48.01亿,--
32,33,688049,炬芯科技,39.88,4.95,1.88,0.05,7.47,0.98,6.74,3.31亿,1.12亿,44.77亿,61.64
33,34,605186,健麾信息,25.18,7.93,1.85,-0.04,7.19,2.4,8.49,2.38亿,1.36亿,34.24亿,80.13
34,35,301131,聚赛龙,40.5,4.65,1.8,0.05,17.01,1.31,7.05,1.57亿,0.23亿,9.35亿,55.23
35,36,300276,三丰智能,10.6,20.05,1.77,0.0,46.01,1.24,23.33,46.62亿,10.21亿,108.20亿,602.09
36,37,300857,协创数据,105.75,1.69,1.76,0.0,5.78,1.26,4.59,14.68亿,2.45亿,258.62亿,34.92
37,38,301005,超捷股份,32.19,5.78,1.76,0.0,7.88,1.67,7.39,3.28亿,1.32亿,42.61亿,127.72
38,39,002886,沃特股份,18.77,10.02,1.71,0.0,15.47,1.05,12.72,5.80亿,2.08亿,39.07亿,147.80
39,40,688592,司南导航,42.2,4.12,1.67,-0.17,5.14,2.09,4.93,0.60亿,0.28亿,11.82亿,--
40,41,688160,步科股份,59.5,2.87,1.66,0.0,6.05,0.96,10.08,3.04亿,0.84亿,49.98亿,115.78
41,42,300154,瑞凌股份,9.91,19.98,1.65,0.0,14.51,1.34,19.98,4.13亿,3.15亿,31.25亿,23.36
42,43,603082,北自科技,39.81,4.3,1.64,0.0,22.29,1.11,5.34,2.87亿,0.32亿,12.92亿,39.77
43,44,002403,爱仕达,17.27,10.0,1.57,0.0,26.89,1.37,10.0,13.35亿,2.97亿,51.32亿,2657.0
44,45,300496,中科创达,57.23,2.77,1.54,0.02,6.0,1.71,5.73,12.61亿,3.67亿,210.06亿,129.93
45,46,301236,软通动力,61.46,2.52,1.51,0.0,8.03,1.62,7.64,33.24亿,6.80亿,418.12亿,578.39
46,47,002990,盛视科技,27.22,5.63,1.45,-0.07,9.97,1.58,13.5,3.55亿,1.34亿,36.41亿,47.5
47,48,300607,拓斯达,35.29,4.22,1.43,0.0,32.2,0.82,13.59,37.05亿,3.26亿,115.19亿,1365.93
48,49,603416,信捷电气,42.61,3.42,1.41,0.05,4.47,1.24,7.09,2.66亿,1.41亿,59.89亿,25.78
49,50,603583,捷昌驱动,28.38,5.11,1.38,0.0,13.43,1.07,12.22,14.60亿,3.82亿,108.48亿,27.84
50,51,003028,振邦智能,39.67,3.55,1.36,0.13,6.62,1.1,4.75,1.40亿,0.54亿,21.44亿,24.82
51,52,688071,华依科技,32.67,4.34,1.36,0.06,8.76,1.44,15.55,2.46亿,0.85亿,27.70亿,--
52,53,603666,亿嘉和,27.75,5.11,1.35,0.04,11.43,1.22,11.36,6.42亿,2.06亿,57.30亿,--
53,54,300580,贝斯特,26.02,5.22,1.29,-0.04,11.66,0.92,12.49,13.96亿,4.69亿,122.14亿,43.33
54,55,300632,光莆股份,14.39,9.68,1.27,0.0,24.22,4.54,11.66,8.08亿,2.21亿,31.83亿,45.93
55,56,002182,宝武镁业,13.29,10.02,1.21,0.0,11.05,1.78,10.68,11.12亿,7.79亿,103.49亿,64.29
56,57,002896,中大力德,39.65,3.15,1.21,0.03,16.5,1.16,12.93,9.90亿,1.51亿,59.94亿,78.95
57,58,001339,智微智能,41.0,2.89,1.15,0.0,15.26,0.72,5.75,4.51亿,0.73亿,29.94亿,93.92
58,59,300720,海川智能,21.13,5.65,1.13,0.14,7.15,1.62,13.1,2.61亿,1.73亿,36.62亿,84.07
59,60,002530,金财互联,12.06,10.04,1.1,0.0,20.31,1.11,6.48,16.95亿,6.95亿,83.83亿,2202.78
60,61,600501,航天晨光,20.61,5.53,1.08,0.0,5.82,3.01,8.96,5.03亿,4.25亿,87.51亿,--
61,62,300378,鼎捷数智,31.26,3.51,1.06,0.03,14.06,1.14,9.14,12.09亿,2.70亿,84.28亿,127.54
62,63,301328,维峰电子,42.54,2.53,1.05,0.02,10.99,1.29,5.4,1.59亿,0.34亿,14.52亿,51.54
63,64,688187,时代电气,48.28,2.22,1.05,-0.04,2.16,1.22,2.84,2.93亿,2.79亿,134.86亿,20.43
64,65,300938,信测标准,26.15,4.14,1.04,0.08,12.04,2.14,9.04,3.51亿,1.13亿,29.48亿,22.10
65,66,300503,昊志机电,21.35,5.07,1.03,-0.05,22.47,1.11,8.51,11.35亿,2.39亿,51.05亿,60.63
66,67,002209,达意隆,11.25,9.97,1.02,0.0,5.28,0.45,10.36,0.91亿,1.55亿,17.47亿,40.04
67,68,300403,汉宇集团,11.53,9.6,1.01,-0.09,21.53,1.14,12.26,10.11亿,4.23亿,48.76亿,29.24
68,69,300873,海晨股份,19.76,5.39,1.01,0.05,9.54,1.84,13.33,3.15亿,1.69亿,33.44亿,15.67
69,70,002347,泰尔股份,11.01,9.99,1.0,0.0,13.26,0.44,0.0,7.20亿,4.93亿,54.32亿,--
70,71,002265,建设工业,19.29,5.12,0.94,-0.57,28.34,3.1,18.86,21.74亿,4.03亿,77.76亿,81.58
71,72,301186,超达装备,43.11,2.18,0.92,0.09,9.52,0.84,4.22,0.99亿,0.24亿,10.43亿,32.38
72,73,001306,夏厦精密,63.0,1.47,0.91,-0.03,16.09,0.7,4.25,1.57亿,0.15亿,9.77亿,61.37
73,74,603095,越剑智能,25.03,3.69,0.89,-0.2,2.93,1.27,5.51,1.33亿,1.85亿,46.26亿,48.01
74,75,002813,路畅科技,27.74,3.28,0.88,0.14,5.82,3.24,7.48,1.89亿,1.18亿,32.86亿,--
75,76,002230,科大讯飞,52.68,1.66,0.86,-0.02,4.19,1.11,4.57,48.62亿,21.84亿,1150.56亿,--
76,77,002975,博杰股份,34.26,2.54,0.85,0.0,9.28,1.66,4.4,2.27亿,0.72亿,24.59亿,2371.03
77,78,300852,四会富仕,27.8,3.15,0.85,0.0,4.11,3.16,5.01,1.56亿,1.37亿,38.05亿,24.19
78,79,300787,海能实业,14.66,6.08,0.84,0.07,8.5,2.42,8.68,2.00亿,1.62亿,23.68亿,56.78
79,80,301525,儒竞科技,66.27,1.27,0.83,-0.02,4.5,0.71,4.09,1.47亿,0.49亿,32.74亿,31.50
80,81,688768,容知日新,38.4,2.21,0.83,0.0,1.72,1.55,5.38,0.55亿,0.82亿,31.34亿,926.4
81,82,300007,汉威科技,20.92,4.08,0.82,-0.05,18.88,1.08,7.56,11.08亿,2.83亿,59.20亿,64.39
82,83,603306,华懋科技,31.24,2.7,0.82,0.0,5.64,1.16,5.26,5.69亿,3.28亿,102.49亿,39.19
83,84,600967,内蒙一机,8.78,10.03,0.8,0.0,3.14,4.11,8.65,4.59亿,16.99亿,149.16亿,30.81
84,85,002681,奋达科技,8.67,10.03,0.79,0.0,17.54,0.7,14.59,21.59亿,14.80亿,128.35亿,76.65
85,86,300638,广和通,18.16,4.43,0.77,-0.06,8.59,1.89,5.58,8.22亿,5.32亿,96.68亿,15.99
86,87,301368,丰立智能,53.8,1.43,0.76,0.07,19.88,0.89,6.11,6.86亿,0.64亿,34.50亿,306.26
87,88,300718,长盛轴承,21.22,3.61,0.74,0.0,12.52,1.01,7.13,5.14亿,1.94亿,41.14亿,28.11
88,89,301503,智迪科技,36.38,2.05,0.73,0.11,6.64,1.08,4.43,0.78亿,0.32亿,11.82亿,32.13
89,90,603375,盛景微,42.05,1.77,0.73,0.0,12.73,0.82,3.7,1.06亿,0.20亿,8.47亿,166.9
90,91,688155,先惠技术,43.05,1.65,0.7,-0.02,1.84,1.18,4.13,0.99亿,1.25亿,53.83亿,21.47
91,92,688219,会通股份,10.68,6.91,0.69,0.28,4.12,2.03,6.81,1.97亿,4.59亿,49.05亿,24.12
